,class,beta1,cn_ratio_log2,truth_log2FC_aware,truth_log2FC_naive,empirical_log2FC_naive,empirical_log2FC_aware,DE_truth
DNAJB14,NEUTRAL,0.025760239192505332,0.13750352374993502,0.03716416933514096,0.174667693085076,-0.011004962840003065,-0.011004962840003227,False
GAL3ST3,DIG,-1.2528113257458098,0.45943161863729726,-1.8074246868230075,-1.3479930681857102,-1.5182965601579657,-1.8555938189981285,True
KCTD3,DCG,-0.8516512201657215,0.7548875021634686,-1.2286729919001211,-0.4737854897366526,-0.6602724819939466,-1.2768421240752665,True
SFRP2,NEUTRAL,-0.032689704437725106,0.13750352374993502,-0.04716127448043195,0.09034224926950307,-0.09533040665557706,-0.09533040665557724,False
WDR1,NEUTRAL,0.04768141640203843,0.13750352374993502,0.06878974298578253,0.20629326673571755,0.02062061081063843,0.02062061081063843,False
UPK2,NEUTRAL,0.03541475437752923,0.13750352374993502,0.05109269051476213,0.18859621426469714,0.0029235583396166453,0.0029235583396166453,False
DLEU2L,NEUTRAL,-9.62823588664846e-05,0.13750352374993502,-0.00013890608166176885,0.13736461766827324,-0.04830803825680618,-0.04830803825680601,False
TFAP4,DCG,-0.7977322725248753,0.9541963103868752,-1.1508843935287207,-0.1966880831418455,-0.3708861543939557,-1.199053525703867,True
RPS4XP14,DSG,0.007592643697120165,0.8777442499490021,0.010953869409072108,0.8886981193580742,0.6956133946278926,-0.037215262766075334,False
NLE1,DIG,-1.4586348837763574,0.4195388915137848,-2.1043653132918005,-1.6848264217780158,-1.8723325834549542,-2.1525344454669453,True
C9orf153,NEUTRAL,0.06264118155833485,0.13750352374993502,0.09037212198963489,0.22787564573956992,0.04220298981448985,0.04220298981448985,False
CFAP65,NEUTRAL,-0.003061279066262308,0.13750352374993502,-0.004416492127673828,0.13308703162226118,-0.05258562430281862,-0.052585624302818955,False
WDPCP,DIG,0.7379491237437802,0.49825086752782544,1.0646355412535078,1.5628864087813332,1.3717764669737078,1.0164664090783613,True
SLFN14,DIG,0.6656726987909868,0.49825086752782544,0.9603627014009294,1.458613568928755,1.2699335771093014,0.9121935692257834,True
BCAR3,NEUTRAL,-0.02852077937887235,0.13750352374993502,-0.04114678697218735,0.09635673677774767,-0.08931591914733313,-0.08931591914733279,False
LRRC2-AS1,NEUTRAL,-0.05471531047852273,0.13750352374993502,-0.07893750708806468,0.058566016661870335,-0.12710663926320864,-0.1271066392632088,False
NUP210P3,DSG,0.03534256894121593,0.8777442499490021,0.05098854894376852,0.9287327988927706,0.7352948857249466,0.0028194167686233862,False
REEP5,NEUTRAL,-0.01830961871830567,0.13750352374993502,-0.026415196125467333,0.11108832762446769,-0.07458432830061203,-0.07458432830061186,False
VCAM1,NEUTRAL,-0.01949632940440872,0.13750352374993502,-0.02812725774727814,0.10937626600265687,-0.076296389922422,-0.0762963899224215,False
RELL2,DIG,1.116508045197763,0.45943161863729726,1.6107806199194432,2.0702122385567403,1.8895605161208908,1.562611487744298,True
BTG2,DCG,-0.8687990611929467,0.9448584458075391,-1.2534120971120513,-0.3085536513045122,-0.48658319027568186,-1.3015812292871973,True
GRID1,NEUTRAL,-0.004370853389210629,0.13750352374993502,-0.006305808509066893,0.13119771524086812,-0.054474940684213165,-0.054474940684213165,False
SELP,DCG,2.0794415416798357,-3.321928094887362,3.0,-0.3219280948873622,-0.5076007508124417,2.9518308678248557,True
IQUB,DIG,-1.7132572521008846,0.560714954474479,-2.471707741372999,-1.91099278689852,-2.0875643149493692,-2.5198768735481436,True
SLC2A1,DIG,-1.5289255382370754,0.3923174227787603,-2.205773291903118,-1.8134558691243576,-1.986863167977282,-2.253942424078264,True
CAPNS2,NEUTRAL,0.0029519222697532324,0.13750352374993502,0.004258723619662681,0.1417622473695977,-0.04391040855548168,-0.043910408555481846,False
C6orf118,NEUTRAL,0.012966094999262993,0.13750352374993502,0.018706120955131907,0.15620964470506693,-0.029463011220012842,-0.02946301122001268,False
ZFYVE16,NEUTRAL,-0.010952340037388857,0.13750352374993502,-0.01580088665807055,0.12170263709186446,-0.06397001883321482,-0.06397001883321499,False
SH3BGRL3,NEUTRAL,0.030700706820437438,0.13750352374993502,0.04429175748163107,0.18179528123156607,-0.0038773746935126044,-0.003877374693512765,False
PRKCA,DCG,-0.7832499073475654,0.9354597478052895,-1.1299907571070726,-0.19453100930178313,-0.37428205471850323,-1.1781598892822192,True
NBL1,NEUTRAL,0.015548658822701683,0.13750352374993502,0.022431972975986147,0.15993549672592117,-0.025737159199158425,-0.025737159199157936,False
LINC02551,NEUTRAL,0.007662810989156223,0.13750352374993502,0.011055099413325135,0.14855862316326016,-0.037114032761819425,-0.03711403276181893,False
EDC3,NEUTRAL,-0.025049052255463024,0.13750352374993502,-0.03613814346792501,0.10136538028201,-0.08430727564306986,-0.08430727564307003,False
XPNPEP3,NEUTRAL,0.020132582949486933,0.13750352374993502,0.0290451775815105,0.16654870133144553,-0.01912395459363538,-0.019123954593635542,False
CTSO,NEUTRAL,-0.016691972573210208,0.13750352374993502,-0.024081426054024958,0.11342209769591007,-0.0722505582291712,-0.07225055822917104,False
ADPRS,NEUTRAL,0.005722124532134763,0.13750352374993502,0.008255280685859902,0.14575880443579492,-0.03991385148928525,-0.03991385148928525,False
IARS2,DCG,-0.9207798493889274,0.7441610955704102,-1.3284045224638923,-0.5842434268934821,-0.7702866444142281,-1.376573654639038,True
HROB,NEUTRAL,-0.029437756595816628,0.13750352374993502,-0.042469705455681024,0.095033818294254,-0.09063883763082584,-0.09063883763082635,False
TNNC2,DCG,0.6799282379230727,-0.7369655941662062,0.9809290970119882,0.24396350284578194,0.058290846920699954,0.9327599648368411,True
HOXA-AS3,DSG,-0.07373481503030332,0.8176232575114314,-0.1063768519850836,0.7112464055263478,0.5263968000387468,-0.1545459841602293,False
DCAKD,NEUTRAL,0.013432607746625136,0.13750352374993502,0.019379156582262757,0.15688268033219777,-0.028789975592882697,-0.02878997559288286,False
LINC01165,NEUTRAL,0.007742620209034189,0.13750352374993502,0.011170239779060294,0.1486737635289953,-0.03699889239608495,-0.03699889239608528,False
FAM47E,DIG,-1.2234452733962353,0.5484366246960424,-1.7650584287277908,-1.2166218040317485,-1.397024480433122,-1.8132275609029365,True
NOS2,DSG,-0.12063554701554914,1.0443941193584534,-0.17404030543426013,0.8703538139241933,0.6897085941660055,-0.22220943760940626,False
PCDHA9,DIG,1.0699095069805717,0.4462562298895641,1.5435531399208267,1.9898093698103907,1.814403927075189,1.4953840077456815,True
EDN1,DSG,0.029025826208073518,0.9068905956085185,0.04187541552809257,0.9487660111366111,0.7593171494748615,-0.006293716647053913,False
RGCC,NEUTRAL,0.0655994752112843,0.13750352374993502,0.09464003757223835,0.23214356132217337,0.04647090539709347,0.04647090539709378,False
CLEC7A,DSG,-0.07240014738457372,0.8678964639926551,-0.10445133359135457,0.7634451304013005,0.582939377185734,-0.15262046576650104,False
KLHDC1,DIG,-1.7226311425572052,0.3923174227787603,-2.485231406648169,-2.092913983869409,-2.269525077519364,-2.5334005388233143,True
