,class,beta1,cn_ratio_log2,truth_log2FC_aware,truth_log2FC_naive,empirical_log2FC_naive,empirical_log2FC_aware,DE_truth
SPHKAP,NEUTRAL,0.02715560294844713,0.13750352374993502,0.03917725370607439,0.1766807774560094,0.04307253183729605,0.04307253183729574,False
P2RX3,DIG,-0.6073528180521072,0.5193741590935794,-0.876224898673712,-0.3568507395801326,-0.49540320323996095,-0.8723296205424825,True
SRSF5,NEUTRAL,0.013652863066530092,0.13750352374993502,0.01969691784001905,0.15720044158995405,0.023592195971240862,0.023592195971240862,False
MFSD2A,DIG,-1.4014821451402748,0.5193741590935794,-2.021911340688301,-1.5025371815947215,-1.6338704500412422,-2.0180160625570807,True
SMOC2,NEUTRAL,-0.0500289855924838,0.13750352374993502,-0.07217656941498178,0.06532695433495324,-0.0682812912837601,-0.06828129128375994,False
SEC24B,NEUTRAL,0.03524874488601174,0.13750352374993502,0.05085318944460935,0.18835671319454436,0.05474846757583036,0.05474846757583036,False
SPSB1,NEUTRAL,0.0725754551915663,0.13750352374993502,0.10470424929513188,0.2422077730450669,0.10859952742635327,0.10859952742635387,False
ADAM1B,NEUTRAL,0.025254434266801642,0.13750352374993502,0.036434447077171035,0.17393797082710605,0.04032972520839191,0.04032972520839191,False
SUN1,DSG,0.01396606937126014,1.2120504771149891,0.02014877902262825,1.2321992561376174,1.1017238544521635,0.02404405715384884,False
NELL2,DIG,1.0137897339645883,0.4768136968655339,1.4625894216948532,1.939403118560387,1.7982788163196195,1.4664846998260723,True
CNBP,DSG,0.09657345826410477,1.2680350868921602,0.13932604931912124,1.4073611362112814,1.277825388715349,0.14322132745034286,False
TM9SF1,NEUTRAL,0.05755331145883015,0.13750352374993502,0.08303187702839221,0.22053540077832723,0.08692715515961406,0.08692715515961406,False
RN7SL32P,NEUTRAL,0.021980394199110957,0.13750352374993502,0.03171100570784192,0.16921452945777693,0.03560628383906255,0.03560628383906255,False
ATP5PD,DCG,-0.9529617630829305,1.222392421336448,-1.374833209756547,-0.1524407884200989,-0.28914416930124903,-1.370937931625327,True
ATP6V1E1,NEUTRAL,-0.05408418468793958,0.13750352374993502,-0.07802698503981324,0.059476538710121776,-0.07413170690859142,-0.07413170690859158,False
LINC02094,NEUTRAL,0.02394749285932906,0.13750352374993502,0.0345489291898779,0.17205245293981292,0.038444207321098975,0.03844420732109866,False
GALNT10,DIG,1.2471378443598782,0.4329594072761063,1.7992395833629482,2.2321989906390547,2.097928324438545,1.8031348614941687,True
LINC01010,DIG,-1.497361288280961,0.5277376320282061,-2.160235705022052,-1.6324980729938459,-1.7751477621186775,-2.1563404268908273,True
NSMCE2,DCG,-0.8263857371836232,1.1699250014423124,-1.1922226048961835,-0.022297603453871107,-0.1491526072379368,-1.1883273267649619,True
POC1B-AS1,DIG,0.6433010529778131,0.5929552914746871,0.9280872389297394,1.5210425304044266,1.3837878013344913,0.9319825170609596,True
ZNF24,NEUTRAL,0.025606328211871476,0.13750352374993502,0.036942122726642136,0.17444564647657715,0.04083740085786316,0.040837400857862846,False
CYP3A43,DSG,-0.05008718427634221,1.3692338096657193,-0.07226053236757057,1.2969732772981488,1.166890059852216,-0.06836525423634825,False
RANBP20P,DIG,-0.7923126453109726,0.4768136968655339,-1.1430655242237564,-0.6662518273582225,-0.7910115541673961,-1.139170246092536,True
MIR4775,NEUTRAL,-0.04554780513898795,0.13750352374993502,-0.06571159259739476,0.07179193115254026,-0.06181631446617415,-0.06181631446617415,False
