"","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86"
"A2M",3,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,0.5
"A2M-AS1",3,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,0.5
"A2ML1",3,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,0.5
"A4GALT",1,1.5,2,2,0.5,2,1.5,1.5,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1.5,1,1,1,1,1,2,1.5,1,1
"AAAS",1,1.5,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1.5,1,0.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,2,1.5,2,1,1,1,1,2,1.5,1,1,1
"AACS",1,1.5,1.5,2,1,2,1.5,1.5,2,1,1,1.5,1,1,1,1,0.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,0.5,1,2,1,1,1
"AADAC",2,3.5,3.5,3,1.5,2,2,2,2,1,1,3.5,1,1.5,2.5,1.5,1,1,1.5,1,1,1,1.5,2,1,1.5,1.5,1,2.5,1,1.5,3,2,1.5,1,1.5,1.5,1.5,3.5,3.5,1,1.5,1
"AADACL2",2,3.5,3.5,3,1.5,2,2,2,2,1,1,3.5,1,1.5,2.5,1.5,1,1,1.5,1,1,1,1.5,2,1,1.5,1.5,1,2.5,1,1.5,3,2,1.5,1,1.5,1.5,1.5,3.5,3.5,1,1.5,1
"AADACL3",1,1,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,2,1.5,1,1.5,1,1,0.5,1.5,1,1,1,0.5
"AADACP1",2,3.5,3.5,3,1.5,2,2,2,2,1,1,3.5,1,1.5,2.5,1.5,1,1,1.5,1,1,1,1.5,2,1,1.5,1.5,1,2.5,1,1.5,3,2,1.5,1,1.5,1.5,1.5,3.5,3.5,1,1.5,1
"AADAT",1,0.5,1,2,1,1.5,1,2,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1.5,2,1.5,2,0.5,0.5,1,0.5,0.5,1.5,1,1,1
"AAGAB",1,1,2,1.5,1,2,1.5,1,1.5,1.5,1,2,1,1,2,1,0.5,2,1,1,1,1,1.5,2,0.5,1,0.5,1,1.5,1,1,2,1,1.5,1,1,1,1,1.5,1.5,1.5,1,1
"AAK1",1,1.5,2,1.5,1,2,2,1,1.5,1.5,1,2.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5,2,3,1.5,1,1,1.5,1,2,2.5,1.5,1,1
"AAMDC",1,1,2,1.5,1,2,1,3.5,2,1,1,1.5,1,0.5,1.5,1,1.5,1,1,1,1,1,2,2,1,1.5,1,1,1.5,1.5,0.5,3.5,2,2,1,1,1,0.5,1.5,3,2.5,1,1
"AAMP",0.5,1,0.5,1.5,1,2,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,2.5,1,1,1,0.5,1.5,1,1,1,1,1,1
"AAR2",1,1.5,1.5,2,1,3,1,2,2,1,1,1.5,1,2,1.5,1,1.5,1,1,1,1,1,2,2.5,1,1,1,1,2,2,3,3,3,1.5,1,1,1,1,1.5,2,1.5,1.5,1
"AARD",1,2,1.5,2,2,2,3.5,2,2,1,1.5,2,1,1.5,1.5,1,1,2,2,1.5,1,1.5,2,3,2,1,1.5,1.5,2,1,1,3,2,2.5,2,1,1,1,1.5,2,2.5,1,1
"AARS1",1.5,1,1,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1.5,2,1
"AARS2",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1.5,2,1,0.5,1,1,1.5,2,1.5,1,1
"AARSD1",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,1.5,1,1,2,1,1,1
"AASDH",1,1,2,2,1,1.5,1.5,2,1.5,1,1,2.5,1,1,2.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,3,1.5,1.5,1,0.5,1,0.5,1.5,2,1,1,1
"AASDHPPT",0.5,1,2,1.5,1,2,1,1,2,1,1,1.5,1,0.5,1.5,1,1.5,1,1,1,1,1,2,2,1,0.5,1,1,1.5,0.5,0.5,1,2,2,1.5,1,1,0.5,1.5,1.5,1,0.5,1
"AASS",1,1,2.5,2,1,2,1,2,1.5,1,1,2.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,0,1.5,1,1,1,1,1,1,2,1.5,1
"AATBC",1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,0.5,0.5,1,1,1,1.5,1,1.5,1,0.5,1,1,1,1.5,1,1,1
"AATF",1,1,1.5,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,1.5,1,1,2,1,1,1
"AATK",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,2,2,1.5,1.5,1,1.5,1,1,2,1,1,1
"ABAT",1,1,1.5,1.5,1,2,1.5,1.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,2.5,0.5,1,1,1,1,1,1,2.5,2,2,1,1,1,1,2,2,1,1,1
"ABCA1",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,1.5,1,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"ABCA10",1,1.5,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"ABCA12",0.5,1,0.5,1.5,1,2,1,2,1.5,1.5,1,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,2.5,1,1,1,0.5,1.5,1,1,1,1,1,1
"ABCA13",1,1.5,1.5,2,1,2,1.5,2,1.5,1,1,2.5,1,1.5,2,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,1,1.5,1
"ABCA2",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1.5,1,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"ABCA3",1,1,1.5,1.5,1,2,1.5,1.5,1.5,1,1,1,1,0.5,1.5,1,1,1,1,1,1,1,1,2.5,0.5,1,1,1,1,1,1,2.5,2,2,1,1,1,1,2,2.5,1.5,1,1
"ABCA4",1,1,1,1,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,2.5,1.5,1.5,1.5,0.5,1,0.5,1,1.5,1,1,1
"ABCA5",1,1.5,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"ABCA6",1,1.5,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"ABCA7",1,1,1,1,0.5,1,1,2,1.5,1,1,1.5,1,0.5,1,1,1,1.5,1,1,1,1,1,1.5,1,0.5,1,1,1.5,1,1,2,1,1,0.5,1,1,1,1,1,1,1,1
"ABCA8",1,1.5,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"ABCA9",1,1.5,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"ABCB1",1,1,2.5,2,1,2,3,2,1.5,1,1,2.5,1,1.5,2,1,3.5,2,1,1,1,1,1.5,1.5,1,1,1,1,2.5,1,1,2,2,2.5,1,1,1,1,1,3.5,3.5,1.5,1
"ABCB10",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"ABCB11",0.5,1.5,2,1.5,1,2,1,2,1.5,1.5,1,1.5,1,1,1.5,1,1,3.5,1,1,1,1,1,1.5,1,1,1,1,2,1.5,1,2.5,2,1.5,1,1.5,1.5,1.5,1,2.5,1,1,1
"ABCB4",1,1,2.5,2,1,2,3,2,1.5,1,1,2.5,1,1.5,2,1,3.5,2,1,1,1,1,1.5,1.5,1,1,1,1,2.5,1,1,2,2,2.5,1,1,1,1,1,3.5,3.5,1.5,1
"ABCB5",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1.5,2,2,3,1.5,1
"ABCB6",0.5,1,0.5,1.5,1,2,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,2.5,1,1,1,0.5,1.5,1,1,1,1,1,1
"ABCB8",1,1.5,2.5,2,1,2,1,2,1.5,1,1,1.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1.5,1,1.5,0.5,1,1,2,1.5,1
"ABCB9",1,1.5,1.5,2,1,2,1.5,1.5,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,0.5,1,2,1,1,1
"ABCC10",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1.5,2,1,0.5,1,1,1.5,2,1.5,1,1
"ABCC11",1.5,1.5,2,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1.5,2,1
"ABCC12",1.5,1.5,2,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1.5,2,1
"ABCC2",0.5,1,1.5,1.5,1,2,1,1.5,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1,1,1.5,1,0.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1
"ABCC3",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,2,1,1.5,2,1,1,1
"ABCC4",0.5,1.5,1,1,1,3,1,2,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,1,1.5,0.5,1,1,1.5,1.5,2.5,2,2,0.5,0.5,1,1,1,2,1.5,0.5,1
"ABCC8",1,1,2,1.5,1,1.5,1,2,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,0.5,1,2,1,1,1,1,1,1,1,1.5,2,1.5,0.5,0.5,1,1,1,1,1,1,1
"ABCC9",1,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,2.5,2,1,1,2,2.5,1.5,2,1
"ABCD2",1,1,1.5,2,1,2,2.5,2,2,1,1,1.5,1,1,1.5,1,0.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,2,1.5,2,0.5,1,1,1,2,1.5,1,1,1
"ABCD3",1,1,1,1,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,2.5,1.5,1.5,1.5,0.5,1,0.5,1,1.5,1,1,1
"ABCD4",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"ABCE1",1,0.5,1,2,1,1.5,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1.5,2,1.5,2,1,0.5,1,0.5,1,1.5,1,1,1
"ABCF1",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,0.5,1,1,1.5,2,1.5,1,1
"ABCF2",1,1.5,2.5,2,1,2,1,2,1.5,1,1,1.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1.5,1,1.5,0.5,1,1,2,1.5,1
"ABCG1",1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,0.5,0.5,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1.5,1,1,1
"ABCG2",1,1,1,2,1,1.5,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,2,1.5,1.5,1,0.5,1,1,2,1.5,1,1,1
"ABCG4",0.5,1,2,1,1,2,1,1,1,1,1,1.5,1,0.5,1.5,1,1.5,1,1,1,1,1,2,2,1,0.5,1,1,1.5,0.5,0.5,1,2,2,1.5,1,1,0.5,1,1.5,1,0.5,1
"ABHD1",1,2,2,1.5,1,2,2,1,1.5,1.5,1,2,1,1,1.5,1,1,2,0.5,1,1,1.5,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1.5,2.5,1.5,1,1
"ABHD10",1,1,2.5,2.5,1.5,2,2,2,2,1,1,3.5,1,1.5,2.5,0.5,1,1,1.5,1,1,0.5,1.5,2,1,1.5,1,1,2,1,1.5,2,2,1.5,1,1.5,1.5,1.5,2,2,1,1,1
"ABHD11",1,2,2.5,2,1,1,1,2,1.5,1,1,2.5,1,1.5,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1,1,1,2.5,1,1,3,2,2.5,1,1,1,1,1,2,3.5,1.5,1
"ABHD11-AS1",1,2,2.5,2,1,1,1,2,1.5,1,1,2.5,1,1.5,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1,1,1,2.5,1,1,3,2,2.5,1,1,1,1,1,2,3.5,1.5,1
"ABHD12",0.5,1.5,1.5,2,1,3,1.5,2,2.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,2,2.5,1,1,1,1,3,1,1,3,3,1.5,1,1,1,1,1,2,1.5,2,1
"ABHD12B",3.5,1.5,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"ABHD13",0.5,1.5,1,1,1,3,1,2,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,3.5,2.5,1,1.5,0.5,1,1,1.5,1,2.5,2,2,0.5,0.5,1,1,1,2,1.5,0.5,1
"ABHD14A",1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,0.5,1,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1
"ABHD14B",1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,0.5,1,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1
"ABHD15",1,1,1.5,2,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,1.5,1,1,2,1,1,1
"ABHD17A",1,1,1,1,0.5,1,1,2,1.5,1,1,1.5,1,0.5,1,1,1,1.5,1,1,1,1,1,1.5,1,0.5,1,1,1.5,1,1,2,1,1,0.5,1,1,1,1,1,1,1,1
"ABHD17C",1,1,2,1.5,1,2,1.5,1,1.5,1.5,1,2,1,1,2,1,0.5,2,1,1,1,1,1.5,2,0.5,1,1,1,3,1,1,2,2,1.5,1,1,1,1,1.5,1.5,1.5,0.5,1
"ABHD5",1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,0.5,1,1,1.5,0.5,0.5,1,0.5,1,1,0.5,0.5,1
"ABHD6",1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,0.5,1,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1
"ABHD8",1,1,2,2,0.5,1.5,2,2,1.5,1,1,1.5,1,1,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1,1,1,1,1,1.5,2,1,1,1
"ABI2",0.5,1.5,2,1.5,1,2,1,2,1.5,1.5,1,3.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,2.5,1,1,1,1.5,1.5,1.5,1,2,1,1,1
"ABI3",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,2,1,1.5,2,1,1,1
"ABI3BP",1,1,2.5,1.5,1.5,3,1.5,2,2,1,1,3.5,1,1.5,2.5,0.5,1,1,1.5,1,1,0.5,1.5,2,1,1.5,1,1,1,1,1.5,2,2,1.5,1,1.5,1.5,1.5,2,2,1,1,1
"ABITRAM",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,1.5,1,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"ABL1",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"ABL2",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,2.5,2,2.5,1.5,1
"ABLIM1",0.5,1,1.5,1.5,1,2,1,1.5,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1
"ABLIM2",0.5,1,1,1,0.5,1.5,1,1.5,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1.5,3,0.5,0.5,0.5,0.5,1,1,0.5,1.5,1,1.5,1,1,1,0.5,1,1,1,1,1
"ABLIM3",1,1,1,1,1,1,1.5,2,1,1,1,1,1,1,1,1,0.5,1.5,1,1,1,0.5,1,1.5,1,1,0.5,1,1.5,1,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"ABO",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1.5,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"ABR",0.5,1,1.5,1,1,2,2,2,1.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1,0.5,1,1,1,1.5,2,1,1,1
"ABRA",1,2,1.5,2,2,1.5,3,2,2,1,1.5,2,1,1.5,1.5,1,1,2,2,1.5,1,1.5,2,3,2,1,1.5,1.5,2,1,1,3,2,2.5,2,1,1,1,1.5,1.5,2.5,1,1
"ABRACL",1,1,1.5,1.5,1,2,1,2,2,1.5,1,2.5,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"ABRAXAS1",1,1,1,2,1,1.5,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,0.5,1.5,1.5,1,0.5,1,1,0.5,1.5,1,1,1
"ABRAXAS2",0.5,1,1.5,1.5,1,2,1,1.5,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1
"ABT1",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1.5,2,1,1,1
"ABTB1",2,1,2.5,3,1.5,2,2,2,2,1,1,3.5,1,1.5,2.5,0.5,1,1,1.5,1,1,1,1.5,2,1,1.5,1,1,2,1,1.5,3,2,1.5,1,1.5,1.5,1.5,2,2,1,1,1
"ABTB2",1,1,2,1.5,1,2,1,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,2,1,1,1,1,2,1,1,1.5,2,1.5,0.5,1,1,1,1,1,1,1,1
"AC000123.1",1,1,3,2,1,2,1,2,1.5,1,1,2.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1,1,1.5,1,1,1,2,1.5,1
"AC000123.3",1,1,3,2,1,2,1,2,1.5,1,1,2.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1,1,1.5,1,1,1,2,1.5,1
"AC000403.1",0.5,1.5,3,1,1,2,1.5,2,1.5,1,1,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1.5,1,1,0.5,1,1,1.5,1.5,2.5,2,2,0.5,0.5,1,1,1,2,1.5,0.5,1
"AC002070.1",1,1.5,1.5,2,1,2,1.5,1.5,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,0.5,1,2,1,1,1
"AC002350.2",1,1.5,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,0.5,1,1.5,1,1,1
"AC002401.4",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,2,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,2,1,1.5,2,1,1,1
"AC002451.1",1,1,2.5,2,1,2,3,2,1.5,1,1,2.5,1,1.5,2,1,3.5,2,1,1,1,1,1.5,1.5,1,1,1,1,2.5,1,1,2,2,1.5,1,1,1,1,1,3.5,2,1.5,1
"AC002467.1",1,1,2.5,2,1,2,1.5,2,1.5,1,1,2.5,1,1.5,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2.5,1,1,2,2,1.5,1,1,1,1,1,3.5,2,1.5,1
"AC002511.1",1.5,1.5,1,2,0.5,1.5,2,2,1.5,1,1,1.5,1,1,2,1,0.5,3,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC002511.2",1.5,1.5,1,2,0.5,1.5,2,2,1.5,1,1,1.5,1,1,2,1,0.5,3,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC002546.1",1,1.5,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"AC003072.1",1,1.5,2,2,0.5,2,1.5,1.5,1.5,1,1,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,1,2,1.5,1,1
"AC003086.1",1,1,2.5,2,1,2,3.5,2,1.5,1,1,2.5,1,1.5,2,1,3.5,2,1,1,1,1,1.5,1.5,1,1,1,1,2.5,1,1,2,2,2.5,1,1,1,1,1,3.5,2,1.5,1
"AC003102.1",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,2,1,1,2,1,1,1
"AC003681.1",1,1.5,2,2,0.5,2,1.5,1.5,1.5,1,1,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,1,2,1.5,1,1
"AC004067.1",1,1,1,2,1,1.5,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,2,1.5,2,1,0.5,1,0.5,1,1.5,1,1,1
"AC004076.2",1.5,1.5,1,1.5,0.5,1.5,2.5,2,1.5,1,1,1.5,1,1,2,1,0.5,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC004130.2",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1.5,2,2,3,1.5,1
"AC004148.1",0.5,1,1.5,1,1,2,2,2,1.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1,0.5,1,1,1,1.5,2,1,1,1
"AC004231.1",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,1.5,1,1,2,1,1,1
"AC004233.2",1,1,1.5,1.5,1,2,1.5,1.5,1.5,1,1,1,1,0.5,1.5,1,1,1,1,1,1,1,1,2.5,0.5,1,1,1,1,1,1,2.5,2,2,1,1,1,1,2,2.5,1.5,1,1
"AC004241.1",1,1,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1.5,1,1.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,2,1.5,2,1,1,1,1,2,1.5,1,1,1
