"","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86"
"Z97653.2",1,1,1.5,1.5,1,2,1.5,1.5,1.5,1,1,1,1,0.5,1.5,1,1,1,1,1,1,1,1,2.5,0.5,1,1,1,1,1,1,2.5,2,2,1,1,1,1,2,2.5,1.5,1,1
"Z97989.1",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,1,2,1,1,1
"Z99129.4",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,1,1,1,1,1
"Z99572.1",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"ZADH2",1.5,1,1,0.5,1,2,1,1.5,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,1,1,2,1,0.5,1.5,1,0.5,1,1,0.5,1,1
"ZAP70",1,1.5,2,1.5,1,2,2,2,1.5,1.5,1,2.5,1,1,1.5,1,2.5,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,2.5,1,1,1.5,1,1,2,1.5,1,1
"ZBED2",1,1,2.5,2.5,1.5,2,2,2,2,1,1,3.5,1,1.5,2.5,0.5,1,1,1.5,1,1,0.5,1.5,2,1,1.5,1,1,2,1,1.5,2,2,1.5,1,1.5,1.5,1.5,2,2,1,1,1
"ZBED3",1.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,0.5,1,1,0.5,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"ZBED3-AS1",1.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,0.5,1,1,0.5,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"ZBED5",1,1,1,1.5,1,1.5,1,2,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,0.5,1,2,1,1,1,1,1,1,1,1.5,2,1.5,0.5,0.5,1,1,1,1,1,1.5,1
"ZBED5-AS1",1,1,1,1.5,1,1.5,1,2,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,0.5,1,2,1,1,1,1,1,1,1,1.5,2,1.5,0.5,0.5,1,1,1,1,1,1.5,1
"ZBED6",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"ZBED6CL",1,1.5,2.5,2,1,2,1,2,1.5,1,1,1.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1.5,1,1.5,0.5,1,1,2,1.5,1
"ZBED8",1,1,1,1,1,1,1.5,2,1,1,1,1,1,1,1,1,0.5,1.5,1,1,1,0.5,1,1.5,1,1,0.5,1,1.5,1,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"ZBED9",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,0.5,1,1,1.5,2,1,1,1
"ZBP1",1,1.5,1.5,2,1,3,1,2,2,1,1,1.5,1,2,1.5,1,1.5,1,1,1,1,1,2,2.5,1,1,1,1,2,1.5,1,3,3,1.5,1,1,1,1,1.5,2,1.5,1.5,1
"ZBTB1",0.5,1.5,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"ZBTB10",1,2,1.5,2,2,1.5,1.5,2,2,1,1.5,2,1,1.5,1.5,1,1,2,2,1.5,1,1.5,2,2.5,2,1,0.5,1.5,2,1,1,3,2,2.5,2,1,1,1,1.5,1.5,2.5,1,1
"ZBTB11",1,1,2.5,1.5,1.5,3,1.5,2,2,1,1,3.5,1,1.5,2.5,0.5,1,1,1.5,1,1,0.5,1.5,2,1,1.5,1,1,1,1,1.5,2,2,1.5,1,1.5,1.5,1.5,2,2,1,1,1
"ZBTB11-AS1",1,1,2.5,1.5,1.5,3,1.5,2,2,1,1,3.5,1,1.5,2.5,0.5,1,1,1.5,1,1,0.5,1.5,2,1,1.5,1,1,1,1,1.5,2,2,1.5,1,1.5,1.5,1.5,2,2,1,1,1
"ZBTB14",1,1.5,1,1.5,1,2,2,1.5,1.5,1,1,1,1,1,3,1,1,1.5,2.5,1,1,1,1,2,1,0.5,1,1,2,1,1,1.5,0.5,3,1,0.5,1,1.5,1,1,1,1,1
"ZBTB16",0.5,1,2,0.5,1,2,1,1,1,1,1,1.5,1,0.5,1.5,1,1.5,1,1,1,1,1,2,2,1,0.5,1,1,1.5,0.5,0.5,1,2,2,1.5,1,1,0.5,1,1.5,1,0.5,1
"ZBTB17",1,1,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,2,1.5,1,1.5,1,1,0.5,1.5,1,1,1,0.5
"ZBTB18",1,1,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,3,1.5,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"ZBTB2",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,2,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"ZBTB21",1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,0.5,0.5,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1.5,1,1,1
"ZBTB22",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,0.5,1,1,1.5,2,1.5,1,1
"ZBTB24",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,1,2,1,1,1
"ZBTB25",0.5,1.5,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"ZBTB26",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"ZBTB3",1,2,2,1.5,1,2.5,1,2,2,1,1,1.5,1,1,1.5,1,1.5,2,1,1,1,1,2,2,1,1,1,1,1.5,1,0.5,2.5,2,2,1.5,1,1,1,1.5,3,1.5,1,1
"ZBTB32",1.5,1.5,1,2,0.5,1.5,2,2,1.5,1,1,1.5,1,1,2,1,0.5,3,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"ZBTB34",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"ZBTB37",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1.5,1,1.5,1.5,1.5,2,2.5,1.5,1
"ZBTB39",1,1.5,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1.5,1,0.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,2,1.5,2,1,1,1,1,2,1.5,1,1,1
"ZBTB4",0.5,1,1.5,1,1,2,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1,0.5,1,1,1,1.5,2,1,1,1
"ZBTB40",1.5,1,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,2,1.5,1,1,1,1,0.5,1.5,1,1,1,1
"ZBTB41",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"ZBTB43",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"ZBTB44",0.5,1,2,1,1,2,1,1,1,1,1,1.5,1,0.5,1.5,1,1.5,1,1,1,1,1,2,2,1,0.5,1,1,1.5,0.5,0.5,1,2,2,1.5,1,1,0.5,1,1.5,1,1,1
"ZBTB44-DT",0.5,1,2,1,1,2,1,1,1,1,1,1.5,1,0.5,1.5,1,1.5,1,1,1,1,1,2,2,1,0.5,1,1,1.5,0.5,0.5,1,2,2,1.5,1,1,0.5,1,1.5,1,1,1
"ZBTB47",1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,0.5,1,1,1.5,0.5,0.5,1,0.5,1,1,0.5,0.5,1
"ZBTB48",2,1,1,1.5,1,2,1,2,1.5,0.5,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,2,1.5,1,1.5,1,1,0.5,1.5,1,1,1,0.5
"ZBTB49",0.5,1,1,1,0.5,1.5,1,1.5,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1.5,3,0.5,0.5,0.5,0.5,1,1,0.5,1.5,1,1.5,1,1,1,0.5,1,1,1,1,1
"ZBTB5",1,1,1.5,1,1,2,1,1.5,1.5,2,1.5,1.5,0.5,1,1,0.5,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,2,1,1.5,1.5,1,1.5,1,1,1,1,1,1,1,0.5,3.5
"ZBTB7A",1,1,2,1,0.5,1.5,1,2,1.5,1,1,1.5,1,2,1,1,1,1.5,1,1,1,1,1,1.5,1,0.5,1,1,1.5,1,1,2,1,1,0.5,1,1,1,1,1,1,1,1
"ZBTB7C",1.5,1,1.5,0.5,1,2,1,1.5,1.5,1,1,1,1,1,1,1,0.5,1,0.5,1,1,0.5,1.5,1,0.5,1,1.5,1,1,0.5,1,1,2,1,0.5,1.5,1,0.5,1,1,1,1,1
"ZBTB8A",1,1.5,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1.5,1.5,1,1,1,0.5,1.5,2,1,1,1
"ZBTB8OS",1,1.5,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1.5,1.5,1,1,1,0.5,1.5,2,1,1,1
"ZBTB9",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,0.5,1,1,1.5,2,1.5,1,1
"ZC2HC1A",1,2,1.5,2,2,1.5,1.5,2,2,1,1.5,2,1,1.5,1.5,1,1,2,2,1.5,1,1.5,2,2.5,2,1,0.5,1.5,2,1,0.5,3,2,2.5,2,1,1,1,1.5,1.5,2.5,1,1
"ZC2HC1C",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"ZC3H10",1,1.5,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1.5,1,0.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,2,1.5,2,1,1,1,1,2,1.5,1,1,1
"ZC3H12A",1,1.5,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,2,1.5,1.5,1,1,1,0.5,1.5,2,1,1,1
"ZC3H12C",0.5,1,2,1,1,2,1,1,2,1,1,1.5,1,0.5,1.5,1,1.5,1,1,1,1,1,2,2,1,0.5,1,1,1.5,0.5,0.5,1,2,2,1.5,1,1,0.5,1,1.5,1,0.5,1
"ZC3H12D",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"ZC3H13",0.5,1.5,1.5,1,1,2,1,2,1.5,1,1,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1.5,1,1,0.5,1,1,1.5,0.5,2.5,2.5,1,0.5,0.5,1,1,1,2,1.5,0.5,1
"ZC3H14",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,2,2,1.5,1
"ZC3H15",0.5,1.5,2,1.5,1,2,1,2,1.5,0.5,1,2,1,1,1.5,1,1,3,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2.5,0,1.5,1,1.5,1.5,1.5,2,2,1.5,1,0
"ZC3H3",1,2,1.5,2,0.5,1,1.5,2,2,1,1.5,2,1,1.5,1.5,1,1,2,2,1.5,1,1.5,2,3,2,1,1.5,1.5,2,1,1,3,2.5,2.5,2,1,1,2,1.5,2,2.5,1,1
"ZC3H4",1.5,1.5,1,1.5,0.5,1.5,2.5,2,1.5,1,1,1.5,1,1,2,1,0.5,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"ZC3H7A",1,1,1.5,1.5,1,2,1.5,1.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,2.5,0.5,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1,1,1
"ZC3H7B",1,1.5,2,2,0.5,2,1.5,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1,2,2,1.5,1,1,1,1,1,2,1.5,1,1
"ZC3HAV1",1,1.5,3,2,1,2,1,2,1.5,1,1,2.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1,1,1.5,0.5,1,1,2,1.5,1
"ZC3HAV1L",1,1.5,3,2,1,2,1,2,1.5,1,1,2.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1,1,1.5,0.5,1,1,2,1.5,1
"ZC3HC1",1,1,3,2,1,2,1,2,1.5,1,1,2.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1,1,1.5,0.5,1,1,2,1.5,1
"ZCCHC10",1,1,1,1,1,1,1.5,2,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1.5,1,1,0.5,1,1,1,1,2,1,1.5,1,0.5,1,1,1,2,1,0.5,1
"ZCCHC14",1.5,1,1,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,3,2,1.5,1,1,1,1,2,2,1.5,2,1
"ZCCHC17",1,1,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,2,1.5,1.5,1,1,1,0.5,1.5,1,1,1,1
"ZCCHC2",1.5,1,1.5,0.5,1,2,1,1.5,1.5,1,1,1,1,1,1,1,0.5,1,0.5,1,1,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,1,1,2,1,0.5,1.5,1,0.5,1,1,0.5,1,1
"ZCCHC24",0.5,1,1.5,1.5,1,2,1,1.5,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,0.5,0.5,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1.5,1,1,1
"ZCCHC4",0.5,1,1,1,0.5,1.5,1,1.5,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1.5,3,0.5,0.5,0.5,0.5,1,1,0.5,1.5,1.5,1.5,1,0.5,1,0.5,1,1,1,1,1
"ZCCHC7",1,1,1.5,1,2,2,1,1.5,1.5,2,1.5,1.5,0.5,1,1,0.5,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,2,1,1.5,1.5,1,1.5,0.5,1,1,1,1,1,1,0.5,3.5
"ZCCHC8",1,1.5,1.5,2,1,2,1.5,1.5,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,0.5,1,2,1,1,1
"ZCCHC9",1.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,0.5,1,1,0.5,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"ZCRB1",1,1,1.5,2,1,2,3.5,2,2,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,2,1.5,1,1,1
"ZCWPW1",1,1,2.5,2,1,2,2.5,2,1.5,1,1,2.5,1,1.5,2,1,3.5,2,1,1,1,1,1.5,1.5,1,1,1,1,2.5,1,1,2,2,1.5,1,1,1,1,1,3.5,2,1.5,1
"ZDBF2",0.5,1.5,0.5,1.5,1,2,1,2,1.5,1.5,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,2.5,1,1,1,1.5,1.5,1.5,1,3,1,1,1
"ZDHHC1",1.5,1,2,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1.5,2,1
"ZDHHC12",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"ZDHHC13",1,1,2,1.5,1,1.5,1,2,2,1,1,1.5,1,1.5,1.5,1,1,1,1,1,1,0.5,1,2,1,1,1,1,1,1,1,1.5,2,1.5,0.5,0.5,1,1,1,1,1,1,1
"ZDHHC14",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"ZDHHC16",0.5,1,1.5,1.5,1,2,1,1.5,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1,1,1.5,1,0.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1
"ZDHHC17",1,1,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1,1,0.5,1.5,1,1,1,1,1.5,1.5,0.5,1,1,1,1.5,1,1,2,1.5,2,1,1,1,0.5,1,1.5,1,1,1
"ZDHHC18",1,1,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,2,1.5,1,1,1,1,0.5,1.5,1,1,1,1
"ZDHHC2",1,1,1,1.5,0.5,1.5,1.5,2,1,1,1.5,1.5,1,0.5,1.5,1,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1.5,1,0.5,1,1,1,2.5,0.5,1,1,0.5,1.5,1,1,1,1
