,padjScreen,p_naive,p_aware
BAG1,0.002559957670273508,0.0015053278620261944,0.008111407272049984
BAG2,0.019931253823153614,0.011720143677963119,0.12324407417071599
BAG3,0.011503927847932197,0.0239409433191972,0.006764636506814269
BAHCC1,0.00011235086439156526,0.11208255758919157,6.606550118200994e-05
BAHD1,0.012725947587971565,0.046729229735144685,0.007483218842759976
BAIAP2,0.0005836722608921063,0.2052343379108846,0.0003432158768933228
BAIAP2-DT,2.863189628856373e-36,5.919065209146496e-25,1.683636871277426e-36
BAIAP2L2,4.790235504327141e-58,2.8167946111235225e-58,7.594448659825149e-47
BAIAP3,1.3888647418691753e-06,8.955501351976911e-07,1.63338387724053e-06
BAK1,4.0442080525741176e-20,2.378109268002109e-20,2.965009835149228e-13
BANF1,8.667459037926067e-28,5.096712236404624e-28,5.398898807793149e-13
BANK1,6.683935814535662e-26,3.930344210941698e-26,3.277903251028269e-23
BANP,2.9277787077545783e-15,3.6582117980730196e-14,1.7216170852384205e-15
BAP1,4.5838086621866784e-21,0.001535251277119847,2.6954097614627384e-21
BARD1,1.2157865949244762e-33,7.149170694772596e-34,1.1533798700704605e-29
BARX2,4.197108339978605e-58,2.468018982297188e-58,8.845270893384833e-58
BASP1,7.153378922435061e-25,4.206390099576112e-25,1.0003248740997238e-10
BATF,0.0001581539251249736,0.0013886896685456308,9.299900257881663e-05
BATF3,1.9411559961795489e-13,9.152602651149987e-08,1.1414548918209618e-13
BAX,0.007202859647873085,0.004235486172335459,0.4495794715755632
BAZ1A,5.585275850463701e-06,3.2843009290488686e-06,0.0017452712373264938
BAZ1B,2.523171669252069e-12,1.4836966479974956e-12,0.0012698457676521935
BAZ2A,0.01696808734680108,0.009977717579097631,0.23594444383582722
BAZ2B,2.828455377323623e-17,3.9811474290744747e-07,1.66321214425712e-17
BBC3,0.1884680383921095,,
BBIP1,1.3846618107244625e-19,8.142204956633046e-20,2.242052834164614e-18
BBOF1,1.763801076189545e-12,1.970251573704507e-11,1.0371651585849214e-12
BBOX1,2.5433170712561726e-20,1.4955427168917735e-20,2.2715179902102603e-18
BBS1,0.2515032617304542,,
BBS10,0.0008892894730896961,0.4467799109478012,0.0005229274830569712
BBS2,0.00035257165710770905,0.000628903024487941,0.0002073221541777587
BBS4,2.8145493497210775e-06,0.004316709733636482,1.6550350048288808e-06
BBS9,3.024290777756219e-10,0.004404012430358204,1.7783689251935594e-10
