,padjScreen,p_naive,p_aware
GADL1,6.234109683535618e-09,1.6910825881240305e-09,2.369239052837402e-08
GAL3ST1,3.1689908553768015e-12,2.9014008004300985e-08,6.754070573064674e-13
GAL3ST4,6.009319310697387e-06,2.0684999460075197e-06,0.00853448950752315
GALC,2.700430174329871e-22,1.1158389397849926e-19,2.986944887843392e-23
GALK1,0.1344146181094627,,
GALK2,0.05341401820601866,,
GALM,4.885532210954099e-23,8.826645651719073e-11,5.171291075240289e-24
GALNT1,1.80927176903042e-22,1.9846483203246992e-23,3.4242556690136128e-18
GALNT10,4.178507787739219e-06,1.4193105812520565e-06,0.0012503920468616473
GALNT11,0.09112608268523857,,
GALNT13,0.6835095722921481,,
GALNT14,8.615212163149755e-56,1.788668046472959e-57,8.306248984507017e-43
GALNT15,0.00010998869288601522,4.206862770214321e-05,0.018695164875593757
GALNT16,2.5030163100368094e-17,3.7873174192889435e-18,4.687233565429804e-10
GALNT17,2.8675960542446762e-05,1.0458883231922611e-05,0.11986603015267108
GALNT18,1.2843461229250355e-08,2.8212577617476034e-07,3.582339987769142e-09
GALNT2,3.2164893054779775e-21,3.8030012084742845e-22,1.823690807958568e-11
