"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36"
"CPA3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1.5,2
"CPA4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1.5,2,3,1,1,1,1.5,2
"CPA5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1.5,2,3,1,1,1,1.5,2
"CPA6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2.5,1,1.5,1,1,1,4,1.5,2,1,3.5,1,2,2
"CPAMD8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,0.5,2,1,3,1,1,1,1.5,2
"CPB1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1.5,2
"CPB2-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,1,0.5,1,1,2,0.5,1,1,1.5,1
"CPD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,0.5,1,1.5,2,1.5,2,1,1.5,1,1,2
"CPE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,1,2,1.5,2,0.5,1,1,0.5,2
"CPEB1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2,0.5,1,1,2,2
"CPEB2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,1.5,2,0.5,1,1,1,2
"CPEB3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,0.5,2,1.5,2,1,1,1,1,2
"CPEB4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,0.5,2,2,2,1,1,1,2,2
"CPED1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,2,3,1,1,1,1.5,2
"CPHL1P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1.5,2
"CPLANE1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5,1,1,1,1,1,2,2,2,1,1,1,1,2
"CPLANE2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,0.5,1,1,1,1.5,1,2,0.5,1,1,1.5,2
"CPLX1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,1.5,2,0.5,1,1,0.5,2
"CPM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2
"CPNE1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,4.5,2,2,1,1,1,2,2
"CPNE2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1.5,0.5,0.5,0.5,1,1.5,1,1,1,0.5,0.5,0.5,1,2
"CPNE3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2.5,1,0.5,1,1,1,5,1.5,2,1,3.5,1,3.5,2
"CPNE4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1.5,2
"CPNE5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,0.5,1,1,1,1,2,2,2,1,1,1,1.5,2
"CPNE7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1.5,0.5,0.5,0.5,1,1.5,1,1,1,0.5,0.5,0.5,1,2
"CPNE8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,2,2,1,1,1,1,2
"CPNE8-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,2,2,1,1,1,1,2
"CPO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,1,2,1,1,1,4,2
"CPOX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,0.5,1,1,2,2
"CPPED1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,1,3,1,2.5,2,1.5,2
"CPQ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2.5,1,0.5,1,1,1,5,1.5,2,1,3.5,1,4,2
"CPS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,1,2,1,1,1,1.5,2
"CPSF1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,1.5,1,0.5,1,1,2,5,1.5,2,1,3.5,1,2.5,1.5
"CPSF2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"CPSF3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1.5,1.5,1,2,1,1,1,1.5,2
"CPSF4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,2,3,0.5,1,1,1.5,2
"CPSF4L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1.5,2,1.5,2,1,1.5,2,1.5,3
"CPSF6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2
"CPSF7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1.5,3,1,1,0.5,2,2
"CPT1A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,5,1.5,3,1,1,7.5,2,2
"CPT1B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1.5,0.5,0.5,1,1,1,2,1,2,1,1,0.5,2,2
"CPT1C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,2,1,3,1,1,1,1,2
"CPT2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1,2,0.5,1,1,1.5,2
"CPTP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,1,1,1,1,1.5,1,2,0.5,1,1,2.5,2
"CPVL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,1,1,1,1.5,2,3,1,1,1,1,2
"CPXM1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,1,3,2,2,1,1,1,2,2
"CPXM2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,0.5,2,1.5,2,1,1,1,1,2
"CR1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1,1.5,3.5,4,1,1,1.5,3,4.5
"CR2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1,1.5,3.5,4,1,1,1.5,3,4.5
"CR589904.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,0.5,1,1,2.5,1.5,3.5,4,1,1,1.5,2.5,4.5
"CRABP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2,0.5,1,1,2,2
"CRABP2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1.5,1.5,3,4,1,1,2,3,4.5
"CRACD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,2,1.5,2,0.5,1,1,1,2
"CRACDL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,0.5,1,1.5,1.5,2,1,1,1,1,2
"CRACR2A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,2,2,1,1,1,2,2
"CRACR2B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,2.5,1.5,3,0.5,1,0.5,1,2
"CRADD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2
"CRAMP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,2,3,1,2.5,2,2.5,2
"CRAT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,1.5,1.5,2,0.5,1,0.5,1,2
"CRB1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1,1.5,3.5,4,1,1,1.5,3,4.5
"CRB2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,1.5,1.5,2,0.5,1,0.5,1,1
"CRB3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,2,1,3,1,1,1,1.5,2
"CRBN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1,2,0.5,1,1,1,2
"CRCP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,3,1,1,1,1.5,2
"CREB1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,1,2,1,1,1,6,2
"CREB3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,1,1,0.5,1.5,1.5,2,0.5,1,0.5,1,2
"CREB3L1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,2.5,1.5,3,1,1,0.5,1,2
"CREB3L2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,1.5,2,3,0.5,1,1,2,2
"CREB3L4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1.5,1.5,3,4,1,1,2,3,4.5
"CREB5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,1,1,1,1.5,2,3,1,1,1,1,2
"CREBBP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,2,3,1,2.5,2,1.5,2
"CREBL2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,2,2,1,1,1,2,2
"CREBRF",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,0.5,2,2,2,1,1,1,2,2
"CREBZF",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,3,0.5,1,0.5,1,2
"CREG1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3.5,2,1,1,1,1,1,1.5,3,4,1,1,2,3,4.5
"CREG2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1,2
"CRELD1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1.5,2,0.5,1,1,1,2
"CRELD2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1.5,0.5,0.5,1,1,1,2,1,2,1,1,0.5,2,2
"CREM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,2,1.5,2,1,1,1,2.5,2
"CRHBP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1.5,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"CRHR2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,1,1,1,1.5,2,3,1,1,1,1,2
"CRIM1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1.5,1.5,1.5,2,1,1,1,1,2
"CRIM1-DT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1.5,1.5,1.5,2,1,1,1,1,2
"CRIP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"CRIP2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"CRIP3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5,2,0.5,1,1,1,1,2,2,2,1,1,1,3,2
"CRIPT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1.5,1.5,1.5,2,1,1,1,1,2
"CRISP2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,0.5,1,1,1,1,2,2,2,1,1,0.5,2,2
"CRISP3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,0.5,1,1,1,1,2,2,2,1,1,0.5,2,2
"CRISPLD1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2.5,1,0.5,1,1,1,4,1.5,2,1,3.5,1,2,2
"CRISPLD2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1.5,0.5,0.5,0.5,1,1.5,1,1,1,0.5,0.5,0.5,1,2
"CRK",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1.5,0.5,0.5,0.5,0.5,0.5,2,1.5,2,1,0.5,0.5,1,1
"CRKL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"CRLF1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0.5,2,1.5,3,1,1,1,1,2
"CRLF3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,0.5,1,1.5,2,1.5,2,1,1.5,1,1,2
"CRLS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,1,3,2,2,1,1,1,2,2
"CRMP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,1.5,2,0.5,1,1,1,2
"CRNDE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,0.5,1.5,0.5,0.5,0.5,1,1.5,1,2.5,1,0.5,0.5,0.5,1,2
"CRNKL1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,1,3,2,2,1,1,1,1.5,2
"CROCC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,0.5,1,1,1,1.5,1,2,0.5,1,1,1.5,2
"CROCCP2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,0.5,1,1,1,1.5,1,2,0.5,1,1,1.5,2
"CROCCP3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,0.5,1,1,1,1.5,1,2,0.5,1,1,1.5,2
"CROT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,3,0.5,1,1,1.5,2
"CRPPA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,1,1,0.5,1.5,2,3,1,1,1,1,2
"CRTAC1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,0.5,2,1.5,2,1,1,1,1,2
"CRTAM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,1,1,1.5,3,0.5,1,0.5,1.5,2
"CRTAP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1.5,2,0.5,1,1,0.5,2
"CRTC1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0.5,2,1.5,3,1,1,1,1,2
"CRTC2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1.5,1.5,3,4,1,1,2,3,4.5
"CRTC3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2,0.5,1,1,2,2
"CRTC3-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2,0.5,1,1,2,2
"CRY1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1.5,1,1,1,2,2,2,1,1,1,1,2
"CRY2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,2.5,1.5,3,1,1,0.5,1,2
"CRYAB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,1,1,1.5,3,0.5,1,0.5,1.5,0.5
"CRYBB1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2,1.5,0.5,0.5,1,0.5,1,2,1,2,1,1,0.5,1.5,2
"CRYBB2P1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"CRYBG1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,2,1.5,2,0.5,1,0.5,6.5,1
"CRYBG2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,1,1,1,1,1.5,1,2,0.5,1,1,1.5,2
"CRYBG3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,0.5,1,1,2,2
"CRYGN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1.5,2,3,0.5,1,1,1.5,2
"CRYGS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2
"CRYL1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,1,2,2,0.5,1,1,1,3
"CRYM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,1,3,1,2.5,2,1.5,2
"CRYM-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,1,3,1,2.5,2,1.5,2
"CRYZ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1,2,0.5,1,1,2,2
"CRYZL1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0.5,2,1.5,2,1,1,1,4.5,2
"CRYZL2P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1,1.5,3,4,1,1,2,3,4.5
"CRYZL2P-SEC16B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1,1.5,3,4,1,1,2,3,4.5
"CRYZP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,2,3,0.5,1,1,1.5,2
"CS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,2,2,1,1,1,1,2
"CSAD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0.5,2,2,2,1,1,1,1,2
"CSDC2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1.5,0.5,0.5,1,0.5,1,2,1,2,1,1,0.5,2.5,2
"CSDE1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,1,1,1,1,1,1.5,1,2,1,1,1,1,2
"CSE1L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,4.5,2,2,1,1,1,3,2
"CSF1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,1,2,0.5,1,1,1,2
"CSF1R",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,1,1,1,0.5,2,2,2,1,1,1,1,2
"CSF2RA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0.5,1,0.5,1,1,1,1,2,2,2,1,1,1,0.5,2
"CSF2RB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1.5,0.5,0.5,1,0.5,0.5,2,1,2,1,1,0.5,2.5,2
"CSF3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,7.5,0.5,0.5,1,1,1.5,2,1.5,2,1,1.5,1.5,1.5,3
"CSF3R",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1,2
"CSGALNACT1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,2,0.5,0.5,1,1,1.5
"CSGALNACT2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,0.5,2,1.5,2,1,1,1,1.5,2
"CSK",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2,0.5,1,1,2,2
"CSKMT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,0.5,1,1,2,1.5,3,1,1,0.5,2,2
"CSMD1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,2,0.5,0.5,1,1,1.5
"CSMD2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,1,1,1,1,1.5,1,2,0.5,1,1,1,2
"CSN1S1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1.5,2,1.5,2,0.5,1,1,1,2
"CSN2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1.5,2,1.5,2,0.5,1,1,1,2
"CSN3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1.5,2,1.5,2,0.5,1,1,1,2
"CSNK1A1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,1,1,1,0.5,2,2,2,1,1,1,1,2
"CSNK1D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1.5,1,1.5,2,1,1.5,1.5,1.5,3
"CSNK1E",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1.5,0.5,0.5,1,0.5,1,2,1,2,1,1,0.5,2.5,2
"CSNK1G1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2,0.5,1,1,1,2
"CSNK1G2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,2,1,3,1,1,1,1,2
"CSNK1G3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,1,1,1,0.5,2,2,2,1,1,1,1,2
"CSNK2A1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,1,3,2,2,1,1,1,2,2
"CSNK2A2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1.5,0.5,0.5,0.5,1,1.5,1,1,1,0.5,0.5,0.5,1,2
