"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50"
"BCHE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,3,1,1.5,1.5,1,1,1.5,3,2,2.5,1.5,2,1,2,4,2,1.5,1,2,1,2,1
"BCKDHB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,1.5,1,1,1,1,0.5,1.5,3,1,1,1.5,2,1,1,1.5,1.5,2,0.5,1,1,1.5,1
"BCKDK",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,3,1.5,1,1.5,1.5,2.5,1.5,1,2,1.5,2,3,2,2,1,2.5,1,4,1
"BCL10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1,1,1.5,3.5,3.5,2.5,1.5,1,1,1.5,1.5,1.5,2,1,1.5,1,1,1
"BCL11A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,3,2,1.5,2,2,1,1,2.5,2,2,0.5,2,1,1.5,1
"BCL11B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,2,3.5,1.5,1,1,1,1,1.5,2,7.5,1,1,1.5,0.5,2,1
"BCL2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2,1,1,1,1,1,1,1,5,1,1.5,2,1,1,1,2,1,1,0.5,2,0.5,1.5,1
"BCL2A1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1,1,5,3.5,2,3,1,2,1,1,2,1.5,1.5,1,1.5,1.5,1,1
"BCL2L1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,2,1,1,3,3,4,1.5,2,3,1,3,4.5,2.5,2,1,2,1,2.5,1
"BCL2L10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,2,1,1,1,1,1,1,1,1.5,1,3,1,2,1,1,2,2.5,1,1,1.5,1,2,1
"BCL2L11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1,1,1.5,3,2,1.5,1,2,1,2.5,2.5,1.5,2,0.5,2,0.5,1.5,1
"BCL2L12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,6.5,2.5,1.5,2,2,2,1.5,2,3,2,1.5,1,2,1,1.5,1
"BCL2L13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,2,1,1,1,0.5,1,1,3,7.5,2,1,1,1.5,1.5,3,1,1,1,1,1,1,1
"BCL2L14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,1.5,1,1,2,1,1,1.5,2.5,1.5,2,2,2,1,1.5,2,1.5,1,1,2.5,0.5,2,1
"BCL2L15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1,1,1.5,3,1,2.5,1.5,1,1,1.5,1.5,1.5,2,1,1.5,1,1,1
"BCL2L2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,2,3,2.5,1,1,1,1,1.5,2,4,2,1,1.5,1,2,1
"BCL3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,1.5,2.5,1.5,2,2,2,1.5,1,3,1.5,1.5,1,2,1,1.5,1
"BCL6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,2.5,1,1.5,1.5,1,1,1.5,3,2,2,1.5,2,1,3,3.5,2,1.5,1,2,1,2,1
"BCL6B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0.5,1,1,1,1,1.5,1,1.5,1,1,0.5,1,1.5,1.5,2.5,1,1,0.5,1.5,1
"BCL7A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1.5,1,1,2,1,1,2,1,1.5,2,1,2,1,3,2.5,2.5,1.5,1,2.5,1,2,1
"BCL7B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,1,1,1.5,3,1.5,2,2,3,1,2.5,2,2,1.5,1,2,0.5,2,1
"BCL7C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,3,1.5,1,1.5,1.5,2.5,1.5,1,2,1.5,2,3,2,2,1,2.5,1,4,1
"BCL9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3.5,2.5,1,1.5,3,1,3,2.5,3,2,3.5,5,1,1,2,3.5,2,3,1,3.5,1.5,3.5,1.5
"BCL9L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,1.5,1,0.5,1,0.5,1,1,1.5,1,1.5,1,1,1,1,4,2,1,1,1.5,0.5,1.5,1
"BCLAF1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,1.5,1,1,1,1,0.5,1,3,1,1,1.5,2,0.5,1,2,1.5,1,0.5,1,1,1.5,1
"BCLAF3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,2,1,0.5,1,1,1,1.5,2.5,2,2.5,2,2,1,1,3,1,1.5,1,2,1,1.5,1
"BCO1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,1,1,1.5,1,1,0.5,2,1.5,1.5,1,0.5,1,0.5,1.5,1
"BCO2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,1.5,1,0.5,1,0.5,1,0.5,1.5,1,1.5,3,1,1,1,4,2,1,1,1.5,0.5,1.5,1
"BCOR",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,1,0.5,1,1,1,1,2.5,2,2.5,2,2,1,1,3,1,1,1,2,1,1.5,1
"BCORL1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1,3,1.5,2.5,2,1,1,1,3.5,1.5,1.5,1,2,1,1.5,1
"BCR",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,2,1,1,1,0.5,1,1,3,1.5,2,1,1,1.5,1,3,1,1,1,1,1,1,1
"BCS1L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1,1,1.5,3,2,1.5,1,2,1,2.5,2.5,1,2,0.5,2,1,1.5,1
"BCYRN1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,3,2,1.5,2,2,1,2,2.5,2,2,0.5,2,1,1.5,1
"BDH1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,2.5,1,1.5,1.5,1,1,1.5,3,2,2.5,1.5,2,1,4,3.5,2,1.5,1,2,1,2,1
"BDH2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0.5,1,1,1,1.5,1,1.5,1.5,1,1,1,1.5,1.5,2,1,1,1.5,1,2,1
"BDKRB1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,2,3.5,1.5,1,1,1,1,1.5,2,2,1,1,1.5,0.5,2,1
"BDKRB2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,2,3.5,1.5,1,1,1,1,1.5,2,2,1,1,1.5,0.5,2,1
"BDNF",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1.5,1,2,4.5,2.5,1.5,1.5,2,1,2,2.5,2,2,1,1.5,1,1.5,1
"BDNF-AS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1.5,1,2,4.5,2.5,1.5,1.5,2,1,2,2.5,2,2,1,1.5,1,1.5,1
"BDP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2.5,2,1.5,1,1,2,1.5,1,1.5,1,1,2.5,1,2,1,2,3,1.5,1.5,1,2.5,1.5,2,1
"BEAN1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1.5,1,1,1.5,1,1,0.5,2,2,1.5,1,0.5,1,1,1.5,1
"BEAN1-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1.5,1,1,1.5,1,1,0.5,2,2,1.5,1,0.5,1,1,1.5,1
"BECN1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,0.5,1,1,1,1,1.5,1.5,3,1,2,2,2,3,1,2,1,1.5,1.5,1.5,1
"BEGAIN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1.5,2,1,1,2,3.5,1.5,1,1,1,1,1.5,2,7.5,1,1,1.5,0.5,2,1
"BEND3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,6,1,1,1,1,0.5,7.5,5,1,1,1.5,2,0.5,1,3.5,1.5,0.5,0.5,1,1,1.5,1
"BEND3P1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,3,1.5,1.5,1.5,2,1,1.5,2,1,1.5,1,2,1,1.5,1
"BEND3P3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,3,2.5,1.5,1.5,1,1,1.5,2,1,1.5,1,2,1,1.5,1
"BEND4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1.5,1,1,1,1,1,1.5,3,2,1.5,1,1,1,2,1.5,2,1,1,1.5,1,2,1
"BEND5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,1,1,1,1,1.5,3.5,1.5,2,1.5,1,1,1.5,2,1.5,1.5,1,1.5,1,1,1
"BEND6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,2,1,1,2,1,1,2,3,2.5,1,1.5,2,1,2,1.5,1.5,2,1,1.5,1,1.5,1
"BEND7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1.5,3,2.5,1.5,1.5,2,1,2,2.5,1.5,1,1,2,1,1.5,1
"BEST1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1.5,1,1.5,3,2.5,1.5,1.5,1,1,1.5,3.5,2,2,1,1.5,1,1.5,1
"BEST4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,1,1,1,1,1,1.5,3.5,1.5,2,1.5,1,1,1.5,2,1.5,1.5,1,1.5,1,1,1
"BET1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,1,1,1,1,1.5,2.5,2,2,1,1.5,2.5,2,2.5,1,2,0.5,2,1
"BET1-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,1,1,1,1,1.5,2.5,2,2,1,1.5,2.5,2,2.5,1,2,0.5,2,1
"BET1L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1,1.5,1,1,1,2.5,1.5,1.5,2,1,2,1.5,2,1,1,1.5,1,1.5,1
"BEX1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1,3,1.5,2.5,2,1,1,1,4,1.5,1,1,2,1,1.5,1
"BEX2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1,3,1.5,2.5,2,1,1,1,4,1.5,1,1,2,1,1.5,1
"BEX3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1,3,1.5,2.5,2,1,1,1,4,1.5,1,1,2,1,1.5,1
"BEX4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1,3,1.5,2.5,2,1,1,1,4,1.5,1,1,2,1,1.5,1
"BEX5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1,3,1.5,2.5,2,1,1,1,4,1.5,1,1,2,1,1.5,1
"BFAR",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,3,1.5,1,1.5,1.5,2,1.5,1,2,1.5,1.5,4,2,2,1,2.5,1,4,1
"BFSP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,3,3,4,1.5,2,3,1,3,4.5,1,2,1,2,1,2.5,1
"BGN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1,3,1.5,2.5,2,1,1,1,3,1.5,1,1,2,1,1.5,1
"BHLHA15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,1,1,1,1,1.5,2.5,2,2,1,1.5,2.5,2,2.5,1,2,0.5,2,1
"BHLHE22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.5,7,2,2.5,1,1,2,1,1,1.5,5.5,2.5,3,1.5,2,1,7.5,4.5,3,2.5,1,2,1,3,1
"BHLHE40",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,3.5,1,1,1.5,1,1,2.5,3,2,2.5,1,1,1,1,3.5,2,1.5,1,1.5,1,2,1
"BHLHE40-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,3.5,1,1,1.5,1,1,2.5,3,2,2.5,1,1,1,1,3.5,2,1.5,1,1.5,1,2,1
"BHLHE41",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,4.5,1,1,2,1,1,1.5,2.5,1.5,2,2,2,1,1.5,2,2.5,1.5,1,2.5,1,2,1
"BHMT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2.5,2,1.5,1,1,2,1.5,1,1.5,2.5,1,2.5,1,2,1,2,3,1.5,1.5,1,2.5,1.5,2.5,1
"BHMT2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2.5,2,1.5,1,1,2,1.5,1,1.5,2.5,1,2.5,1,2,1,2,3,1.5,1.5,1,2.5,1.5,2.5,1
"BICC1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,3,1.5,1.5,1.5,2,1,1.5,2,1,1.5,1,2,1,1.5,1
"BICD1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2,2,4,1,1,2,1,1,1.5,2.5,1.5,2,2,2,1,1.5,2,2,1.5,1,2.5,1,2,1
"BICD2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1.5,1,1,2,1,1,2,3,2.5,1.5,1,1,1,1.5,2.5,1,1,0.5,1.5,1,1.5,1
"BICDL1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1.5,1,1,2,1,1,2,1,1.5,2,1,2,1,3,2.5,2.5,2,1,2.5,1,2,1
"BICDL2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3.5,2,2,1,1,3,1.5,1,1.5,1.5,2.5,1.5,1,2,1.5,1.5,2.5,2,2,1,2.5,1,4,1
"BICRA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,1.5,2.5,1.5,2,2,2,1.5,1,3,1.5,1.5,1,2,1,1.5,1
"BICRAL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,3,2.5,2.5,1.5,2,1,2,3,1.5,2,1,1.5,1,1.5,1
"BID",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,2,1,1,1,0.5,1,1,3,7.5,2,1,1,1.5,1.5,3,1,1,1,1,1,1,1
"BIK",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0.5,1,2,2.5,1.5,2,1,1,0.5,1,3.5,1,1,1,1,1,1,1
"BIN1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1,1,1.5,3,2,1.5,1,2,1,1.5,2.5,1,2,0.5,2,1,1.5,1
"BIN2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2.5,1,1,2,1,1,1.5,2.5,1.5,2,1,2,1,2.5,2.5,2,2,1,2.5,1,2,1
"BIN3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,2,1,1,2,1,1,0.5,1,0.5,3,1.5,1,1,0,2,1.5,2,1,2,0.5,3,1
"BIRC2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,1.5,1,0.5,1,1.5,1,0.5,3,1,1.5,2.5,1,1,1,4,2,1,1,1.5,0.5,1.5,1
"BIRC3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,1.5,1,0.5,1,1.5,1,0.5,3,1,1.5,2.5,1,1,1,4,2,1,1,1.5,0.5,1.5,1
"BIRC5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,0.5,1,1,1,2.5,4,3,3,1,2,2,2,2.5,2.5,4,1,1.5,1.5,1.5,1
"BIRC6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,3,2,1.5,2,2,1,2,2.5,2,1.5,0.5,2,1,1.5,1
"BIRC7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,3,2,2,1,1,2,1,1,3,3,4,1.5,2,3,1,3.5,4,2.5,4.5,1,2,0.5,2.5,1
"BISPR",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,1.5,1,1,2,1,1,1.5,3,1.5,2,1,1,1,1,2.5,1.5,1.5,1,2,1,1.5,1
"BIVM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1,1,0.5,1,1,0.5,2.5,3,1.5,1,2,1,1,1.5,1.5,2,1,1,2,1,1.5,1
"BLACAT1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3.5,3.5,1,1.5,3,2,3,3,3,3,3.5,1.5,2,1,2.5,3.5,3,2.5,1,3.5,2.5,3.5,1.5
"BLCAP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,2,1,1,3,3,3,6,2,3,1,2,4,3,3,1,2,1,2.5,1
"BLK",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,2,1,1,2,1,1,0.5,1.5,0.5,3,1.5,1,1,0,2,2,2,1,2,1,3,1
"BLM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,2,1.5,1,1,1,1,1,5.5,3.5,2,3,1,2,1,1,2,1.5,2,1,1.5,1.5,2,1
"BLMH",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7.5,1,0.5,1,1,1,2,1.5,1,3,1,2,2,2,2.5,1,1.5,1,1.5,1,1.5,1
"BLNK",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,1,1,1,1,1.5,1,1.5,1.5,1,1,1.5,2,1,1,1,2,1,1.5,1
"BLOC1S1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1.5,2.5,1.5,2,1,2,1,2.5,2.5,2,2,1,2.5,1,2,1
"BLOC1S2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1.5,1,1.5,2,1,1,1.5,2.5,1,1,1,2,1,1.5,1
"BLOC1S3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,1.5,2.5,1.5,2,2,2,1.5,1,3,1.5,1.5,1,2,1,1.5,1
"BLOC1S4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1.5,3,1.5,1.5,1,1,1,1.5,1.5,2,2,0.5,1.5,0.5,1,1
"BLOC1S5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,2,1,1,2,1,2.5,2,1.5,2,1,2,1.5,1.5,2.5,1,1.5,1,1.5,1
"BLOC1S6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1,1,1,1.5,1,3,1,2,1,1,2,2.5,1,1,1.5,1,2,1
"BLVRA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.5,2,2.5,1,1,2,1,1,1,3,1.5,2.5,2,1,1,2,2,2,1.5,1,2,1.5,2,1
"BLVRB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,2.5,2.5,1.5,2,2,2,1.5,2,3,1.5,1.5,1,2,1,1.5,1
"BLZF1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3.5,2.5,1,1.5,3,1,3,2.5,3,2,3.5,5,1,1,2.5,3.5,2,3,1,3.5,2,3.5,1.5
"BMERB1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,3,1.5,1,1.5,1.5,2,1.5,1,2,1.5,1.5,4,2,2,1,2.5,1,4,1
"BMF",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,4,1,1,1,1,1,1,1.5,1,3,1,2,1,1,2,2.5,1,1,1.5,1,1,1
"BMI1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1.5,3,2.5,1.5,1.5,2,1,2,2.5,1.5,1,1,2,1,1.5,1
"BMP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,2,1,1,2,1,1,0.5,1,0.5,3,1.5,1,1,0.5,2,1.5,2,1,2,0.5,3,1
"BMP2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,3,3,2.5,1.5,2,3,1,3,4.5,1,1.5,1,2,1,2.5,1
"BMP2K",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2,2,1,1,1,1,1,1,1.5,1,2,1.5,1,1,1,2,3,2,1,1,1.5,1,2,1
"BMP3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2,2,1,1,1,1,1,1,1.5,1,2,1.5,1,1,1,1,3,2,1,1,1.5,1,2,1
"BMP4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,2,3,2.5,1,1,1,1,1.5,1.5,1,2,1,1.5,1,2,1
