"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50"
"AARSD1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2.5,1,0.5,1,1,1,1,1.5,1.5,3,1,2,2,2,3,1,2,1,1.5,1.5,1.5,1
"AARSD1P1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,2,1.5,1,0.5,1,1,1,2,3,1.5,2,2,1,1,1,2.5,1.5,1,1,2,1,1.5,1
"AASDH",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1.5,1,1,1,1,1,1.5,3,2,1.5,1,1,1,1.5,1.5,2,1,1,1.5,1,2,1
"AASDHPPT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,1.5,1,0.5,1,0.5,1,0.5,1.5,1,1.5,2.5,1,1,1,4,2,1,1,1.5,0.5,1.5,1
"AASS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,1,1,1.5,1,1.5,2.5,2,2,1,1.5,2.5,2,2,1,2,0.5,2,1
"AATBC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,2,1,1,1.5,1,1,1.5,3,2,2,1.5,2,1,1.5,2.5,1.5,1.5,1,2,1.5,1.5,1
"AATF",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,0.5,1,1,1,0.5,1.5,1,3,1,2,2,2,3,1,2,1,1.5,1.5,1.5,1
"AATK",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,0.5,1,1,1,0.5,4,3,3,1,2,2,1.5,3,2.5,4,1,1.5,1.5,1.5,1
"ABAT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,3,1.5,1,1.5,1.5,2.5,1.5,1,2,1.5,1.5,2.5,2,2,1,2.5,1,4,1
"ABCA1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1.5,1,1,2,1,1,2,1.5,2.5,1.5,1,1,1,1.5,3,1,2,0.5,1.5,1,1.5,1
"ABCA10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,3,2,1,1,0.5,1,1,1,4,3,3,3,1,2,2,2,4,2.5,4,1,1.5,1.5,1.5,1
"ABCA11P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1.5,1,1,1,1,1,1.5,3,1.5,1.5,1,1,1,1,1.5,2,2,0.5,1.5,0.5,2,1
"ABCA12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1,1,1.5,3,2,1.5,1,2,1,2.5,2.5,1,2,0.5,2,1,1.5,1
"ABCA13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3.5,2,2.5,1,1,2,1,1,1,3,1.5,2.5,2,1,1,2,2,2,1.5,1,2,1.5,2,1
"ABCA17P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3.5,2,2,1,1,3,1.5,1,1.5,1.5,2.5,1.5,1,2,1.5,1.5,2.5,2,2,1,2.5,1,4,1
"ABCA2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1.5,1.5,2.5,1.5,1,1,1,1.5,3.5,2.5,2.5,1,1.5,1,1.5,1
"ABCA3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3.5,2,2,1,1,3,1.5,1,1.5,1.5,2.5,1.5,1,2,1.5,1.5,2.5,2,2,1,2.5,1,4,1
"ABCA4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1,1,1,1,1,1,1.5,3.5,3.5,2.5,1.5,1,1,1.5,1.5,1.5,2,0.5,1.5,0.5,1,1
"ABCA5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,3,2,1,1,0.5,1,1,1,4,3,3,3,1,2,2,2,4,2.5,4,1,1.5,1.5,1.5,1
"ABCA6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,3,2,1,1,0.5,1,1,1,4,3,3,3,1,2,2,2,4,2.5,4,1,1.5,1.5,1.5,1
"ABCA7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,1.5,1,1,2,1,1,1.5,3,1.5,2,1,1,0.5,1,2,1,1.5,1,2,1,1,1
"ABCA8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,3,2,1,1,0.5,1,1,1,4,3,3,3,1,2,2,2,4,3.5,4,1,1.5,1.5,1.5,1
"ABCA9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,3,2,1,1,0.5,1,1,1,4,3,3,3,1,2,2,2,4,3.5,4,1,1.5,1.5,1.5,1
"ABCB1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,1,1,1.5,1,1.5,2.5,2,2,1,1.5,2.5,2,2.5,1,2,0.5,2,1
"ABCB10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3.5,2,1,1.5,3,2,3,3,3,3,3.5,1.5,2,1,2.5,4,3,2.5,1,3.5,1.5,3.5,1.5
"ABCB11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1,1,1.5,3,2,1.5,1,2,1,1.5,2.5,1,2,0.5,2,1,1,1
"ABCB4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,1,1,1.5,1,1.5,2.5,2,2,1,1.5,2.5,2,2.5,1,2,0.5,2,1
"ABCB5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.5,2,2.5,1,1,2,1,1,2.5,1,1.5,2.5,2,1,1,2.5,3,2,2.5,1,2,1.5,2,1
"ABCB6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1,1,1.5,3,2,1.5,1,2,1,2.5,2.5,1,2,0.5,2,1,1.5,1
"ABCB7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,2,1.5,1,0.5,1,1,1,2,3,1.5,2,2,1,1,1,2.5,1.5,1,1,2,1,1.5,1
"ABCB8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,1,1,1,1,1.5,2,2,2,1,1.5,2,2,2.5,1,2,0.5,1,1
