"","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90","sample91","sample92","sample93","sample94","sample95","sample96","sample97","sample98","sample99","sample100"
"A1BG",1,1,1,3,1,2.5,2,1,1,3,1,1,2,2,1,3,1,1,1,1.5,0.5,1,1.5,1,2,1,2,2.5,1.5,1,1,1,3,1.5,1,2.5,2,1,2,1,1,1,1,1,1,1,1,2,1,1
"A1BG-AS1",1,1,1,3,1,2.5,2,1,1,3,1,1,2,2,1,3,1,1,1,1.5,0.5,1,1.5,1,2,1,2,2.5,1.5,1,1,1,3,1.5,1,2.5,2,1,2,1,1,1,1,1,1,1,1,2,1,1
"A1CF",1,1,1,2,1,2,2.5,1,1,2,1,1,1.5,1,1,2.5,1,1,1,1,1,1,1.5,1,2,1,1.5,1.5,1,1,1,1,2,2,1,1.5,3,1,1.5,1,0.5,1,1,1,1,0.5,1,2,1,1
"A2M",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1.5,1.5,1.5,1,2,1,1,1,1,0.5,1,1.5,1,1.5,1,2,2,0.5,1,0.5,1,2,1,1,1.5,2,0.5,1.5,1,1,1,0.5,1.5,1,1,1,2,1,1
"A2M-AS1",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1.5,1.5,1.5,1,2,1,1,1,1,0.5,1,1.5,1,1.5,1,2,2,0.5,1,0.5,1,2,1,1,1.5,2,0.5,1.5,1,1,1,0.5,1.5,1,1,1,2,1,1
"A2MP1",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1.5,1.5,1.5,1,2,1,1,1,1,0.5,1,1.5,1,1.5,1,2,2,0.5,1,0.5,1,2,1,1,1.5,2,0.5,1.5,1,1,1,0.5,1.5,1,1,1,2,1,1
"A4GALT",1,1,1,3,1.5,1.5,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1.5,1,2,0.5,2,1.5,1,1,1,1,2,3,1,2,2,1,2.5,1,0.5,1,1,0.5,1,0.5,1,2,1,0.5
"AAAS",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1,1.5,1.5,1,2,1,1,1,1,1,1,2,1,1.5,1,2,2,1,1,1,1,2,2,1,1.5,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1.5
"AACS",1,1,1,3.5,0.5,1.5,1,1,1,2,1,1,2,1.5,1,2,1,1,1,1,1,1,2,1,1.5,1,3,2,1,1,1,1,2,2,1,1.5,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1
"AADAC",1,1,1,2.5,1,2,2,1,1,2,1,1,2,1,1,1.5,1,1.5,0.5,1,1,1,3,1,2,1,2.5,2,1,1,1.5,1,2,2.5,1,2,2,1,2,1,1,1,1,1.5,1,1.5,1,2,1,2.5
"AADACP1",1,1,1,2.5,1,2,2,1,1,2,1,1,2,1,1,1.5,1,1.5,0.5,1,1,1,3,1,2,1,2.5,2,1,1,1.5,1,2,2.5,1,2,2,1,2,1,1,1,1,1.5,1,1.5,1,2,1,2.5
"AADAT",0.5,1,1,2.5,1,1.5,1,1,1,2,0.5,1,1.5,2,1,1.5,0.5,1,1.5,1,1.5,1,1,1,1.5,1,2,2,1,1,1,1,3,2,1,1.5,2,1,1.5,0.5,0.5,1,1,0.5,1,0.5,1,1,1,1
"AAGAB",1,1,1,2.5,1,2,1,1,1,2,1,1,1.5,1.5,1,1.5,1,1,1,1,2,1,1.5,1,2,1,2,2.5,1,1,1,1,2,1.5,1,2,2,1,1.5,1,0.5,1,1,1,1,1,1,2,1,1
"AAK1",1,1,1,2.5,1,2,3,1,1,2,1,1,1.5,1.5,1,2.5,1,1,0.5,1,1,1,2,1,2,1,1.5,2.5,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1.5,1,0.5,1,2,1,1
"AAMDC",1,1,1,2.5,1,1.5,2,1,1,2,1,1,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,2,1,2,1.5,1,1,1,1,2,1.5,1,2,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"AAMP",1,1,1,2,1,2,1.5,1.5,1,2,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,2,0.5,2.5,2.5,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,0.5,1,2,1,1
"AAR2",1,1,1,2.5,1,2,2,1,1,2,1,1,2,2,1,3,1,1,1,1.5,1,1,2,1,2,1,3,2.5,1.5,1,1.5,1,2,2.5,1,2.5,2,1.5,2,1.5,1,1,1,1,1,1,1,2,1,1.5
"AARS1",0.5,1,1,2,1,2,2,1,1,1,0.5,0.5,1.5,1.5,1,1,0.5,0.5,1,1,1,1,1,1,2,1,2,2,0.5,1,0.5,1,2,1,1,2,1,1,1,0.5,0.5,1,1,1,1,0.5,1,1,1,1
"AARS2",1,1,1,4,1,2.5,2,1,1,2,1,1,3,2,1,2,2,1.5,1,1,1,1,2.5,1,2,1,2.5,2,1,2.5,1.5,1,2,1.5,1.5,3.5,3,1.5,2,1,1.5,1,1,1,1,1,1,2,1,4
"AASDH",1,1,1,2.5,1,1.5,2,1,1,2,1,1,1.5,2.5,1,2.5,1.5,1,1,1,0.5,1,1.5,1,2,1,2,2,1,1,1,1,3,1.5,1,2,2,1,2,1,0.5,1,1,1,1,0.5,1,1,1,1
"AASDHPPT",1,1,1,2.5,1,1.5,2,1,1,2,1,1,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,2,1,2,1.5,1,1,1,1,2,1.5,1,2,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"AASS",1,1,1,2.5,1.5,1.5,1,1,1.5,2,1,1,1.5,1.5,1,2,1,1,1,1,1,1,2,1,2.5,1,2,3.5,1,2,1.5,1,4.5,2,1.5,2,3,1,2,1,1,1,1,1,1,1.5,1,2,1.5,1
"AATF",1,1,1.5,2,1,2,2,1,1,2,1,1,2,1,1,2.5,1,1.5,1,1,1,1,2.5,1,2,1,2,2.5,1,1,1,1,2,2,1,1.5,2,1,1,1,0.5,1,1,1,1,1,1,2,1,0.5
"AATK",1.5,1,1.5,2,1,2,2,1,1,2,1,1.5,2,1.5,1.5,2.5,1,1.5,1.5,1,1.5,1,2.5,1,2,2,2.5,2.5,1,2,1,1,2,2,1,1.5,2,1,1,1,1.5,1,2,1.5,1,1,1,3,1,1
"ABAT",1,1,1,2,1,2,2,1,1,2,0.5,1,1.5,1.5,1,2.5,0.5,1,1,1,1,1,2.5,1,2,1,2,2,0.5,1,0.5,1,2,2,1,2,1,1,2,0.5,0.5,1,1,1,1,0.5,1,2,1,1.5
"ABCA1",1,1,1,1.5,1,1.5,2,1,1,1.5,1,1,1.5,1.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1.5,2,1,0.5,0.5,1,2,1.5,1,1.5,2,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1
"ABCA10",1.5,1,1.5,2,1,2,2,1,1,2,1,1,2,1.5,1.5,2.5,1,1.5,1.5,1,1.5,1,2.5,1,2,2,2.5,2.5,1,2,1,1,2,2,1,1.5,2,1,1,1,1.5,1,2,1,1,1,1,2,1,1
"ABCA13",1,1,1,2.5,1.5,1.5,2,1,1.5,2,1,1,1.5,2,1,2.5,1,1,1,1.5,1,1,2.5,1,1,1,2,3.5,1,2,1.5,1,4.5,2,1.5,2,3,1,2,1,1,1,1,1,1,1.5,1,2,1,1
"ABCA2",1,1,1,1.5,1,1.5,2,1,1,1.5,1,1,1.5,1.5,1,1.5,1,1,1,1,1,1,1,1,1,0.5,1.5,2,1,0.5,0.5,1,2,1.5,1,1.5,2,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1
"ABCA3",1,1,1,2,1,2,2,1,1,2,0.5,1,1.5,1.5,1,2.5,0.5,1,1,1,1,1,2,1,2,1,2,2,0.5,1,0.5,1,2,2,1,2,1,1,2,0.5,0.5,1,1,1,1,0.5,1,2,1,1.5
"ABCA4",2.5,1,1,2,1,1,2,1,1,2,1,2.5,1.5,1,1,1.5,0.5,1,1,1,1,1,2,1,2,1,2,2.5,1,1,1,1,2,2,1,2,2,1,1.5,0.5,1,1,1.5,1,1,1,1,2,1,1
"ABCA5",1.5,1,1.5,2,1,2,2,1,1,2,1,1,2,1.5,1.5,2.5,1,1.5,1.5,1,1.5,1,2.5,1,2,2,2.5,2.5,1,2,1,1,2,2,1,1.5,2,1,1,1,1.5,1,2,1,1,1,1,2,1,1
"ABCA6",1.5,1,1.5,2,1,2,2,1,1,2,1,1,2,1.5,1.5,2.5,1,1.5,1.5,1,1.5,1,2.5,1,2,2,2.5,2.5,1,2,1,1,2,2,1,1.5,2,1,1,1,1.5,1,2,1,1,1,1,2,1,1
"ABCA7",0.5,1,1,3,1,1,1,1,1,1,0.5,1,2,1,1,1.5,1,1.5,1,1.5,1,1,1,1,1,1,2,2.5,1.5,1,1,1,3,1.5,1,1.5,2,1,2,1,1.5,1,1,1,1.5,1,1,2,1,1
"ABCA8",1.5,1,1.5,2,1,2,2,1,1,2,1,1,2,1.5,1.5,2.5,1,1.5,1.5,1,1.5,1,2.5,1,2,2,2.5,2.5,1,2,1,1,2,2,1,1.5,2,1,1,1,1.5,1,2,1,1,1,1,2,1,1
"ABCA9",1.5,1,1.5,2,1,2,2,1,1,2,1,1,2,1.5,1.5,2.5,1,1.5,1.5,1,1.5,1,2.5,1,2,2,2.5,2.5,1,2,1,1,2,2,1,1.5,2,1,1,1,1.5,1,2,1,1,1,1,2,1,1
"ABCB1",1,1,1,2.5,1.5,1.5,1,1,1.5,2,1,1.5,1.5,2,1,2,1,1,2.5,1.5,1,1,3,1,2.5,1,2,3.5,1,2,1.5,1,4.5,2,1.5,2,3,1,2,1,1,1,1,1,1,1.5,1,2,1.5,1
"ABCB10",0.5,1,2,2.5,1.5,2,3,1.5,1,2.5,1,2.5,3,2,1,4,2,1,2,2,1,1.5,2.5,1,3,1,2,2.5,1.5,2,1,1,2,2.5,2,4,3,1,3,1.5,2,3,1.5,1,1.5,1,2,2,1.5,1
"ABCB11",1,1,1,2.5,1,2,3.5,1.5,1,2,1,1,1.5,1.5,1,2.5,1,1,1,1,1,1,2,1,1.5,1,2.5,2.5,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,0.5,1,2,1,1
"ABCB4",1,1,1,2.5,1.5,1.5,1,1,1.5,2,1,1,1.5,2,1,2,1,1,2.5,1.5,1,1,3,1,2.5,1,2,3.5,1,2,1.5,1,4.5,2,1.5,2,3,1,2,1,1,1,1,1,1,1.5,1,2,1.5,1
"ABCB6",1,1,1,2,1,2,1.5,1.5,1,2,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,2,0.5,2.5,2.5,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,0.5,1,2,1,1
"ABCB7",0.5,1,0.5,2,1,1,1.5,1,1,1,0.5,1,1,2,0.5,1.5,0.5,1,0.5,1,0.5,0.5,1,1,2,1,1,2.5,1,1.5,0.5,1,2,1,1,1,1,0.5,1.5,0.5,1,1,0.5,0.5,0.5,0.5,1,1,0.5,1
"ABCB8",1,1,1,2.5,1.5,1.5,1,1,1.5,2,1,1,1.5,1.5,1,2,1,1,1.5,1.5,1,1,2,1,2.5,1.5,2,3.5,1.5,2,1.5,1,4.5,2,1.5,2,3,1,2,1,1,1,1,1,1,1.5,1,2,1.5,1
"ABCB9",1,1,1,3.5,0.5,1.5,1.5,1,1,2,1,1,2,1.5,1,2,1,1,1,1,1,1,2,1,1.5,1,2,2,1,1,1,1,2,2,1,1.5,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1
"ABCC1",1,1,1,2,1,2,2,1,1,2,0.5,1,1.5,1.5,1,2.5,0.5,1,1,1,1,1,2.5,1,2,1,2,2,0.5,1,0.5,1,2,2,1,2,1,1,2,0.5,0.5,1,1,1,1,0.5,1,2,1,1.5
"ABCC10",1,1,1,4,1,2.5,2,1,1,2,1,3,3,2,1,2,2,1.5,1,1,1,1,2.5,1,2,1.5,2.5,2,2,2.5,1.5,1,2,1.5,1.5,3.5,3,1.5,1.5,1,1.5,1,1,1,1,1,1,2,1,1
"ABCC11",0.5,1,1,2,1,2,2,1,1,1,0.5,0.5,1.5,1.5,1,2.5,0.5,1,1,1,1,1,1.5,1,2,1,2,2,0.5,1,0.5,1,2,2,1,2,1,1,1.5,0.5,0.5,1,1,1,1,0.5,1,1,1,0.5
"ABCC2",0.5,1,1,2,1,2,1.5,1,1,2,1,1,1.5,1,1,2.5,1,1,0.5,1,1,1,1.5,1,2,1,1.5,1.5,1,1,1,1,2,2,1,1.5,3,0.5,1,1,0.5,1,1,1.5,1,0.5,1,2,1,1
"ABCC3",1.5,1,1.5,2,1,2,2,1,1,2,1,1,2,1.5,1,2.5,1,1.5,1,1,1.5,1,2.5,1,2,1,2.5,2.5,1,1.5,1,1,2,2,1,1.5,2,1,1.5,1,1.5,1,1,1.5,1,1,1,2,1,1
"ABCC4",1.5,1,1,4,1,3.5,3.5,1,1,1,0.5,1,1.5,0.5,1,2.5,1,1,1,1,0.5,1,2,1,2,1,1.5,1.5,1.5,1,0.5,1,2,2.5,1,2.5,2,1,1,1,1,1,1,0.5,1,1,0.5,1,1,0.5
"ABCC5",1,1,1,2.5,1,2,2,1,1,2,1,1,2,1,1,1.5,1,1.5,1,1,1,1,1.5,1,2,1,3,2,1,1,1.5,1,2,2.5,1,2,2,1,2,1,1,1,1,1.5,1,1,1,2,1,2.5
"ABCC6",1,1,1,2,1,2,2,1,1,2,0.5,1,1.5,1.5,1,2.5,0.5,1,1,1,1,1,2.5,1,2,1,2,2,0.5,1,0.5,1,2,2,1,2,1,1,2,0.5,0.5,1,1,1,1,0.5,1,2,1,1.5
"ABCC6P1",1,1,1,2,1,2,2,1,1,2,0.5,1,1.5,1.5,1,2.5,0.5,1,1,1,1,1,2.5,1,2,1,2,2,0.5,1,0.5,1,2,2,1,2,1,1,2,0.5,0.5,1,1,1,1,0.5,1,2,1,1.5
"ABCC9",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1,1.5,1.5,1,2,1,1,1,1,0.5,1,2,1,1.5,1,2,2,1,1,0.5,1,2,1,1,1.5,2,0.5,1.5,1,1,1,0.5,1,1,1,1,2,1,1
"ABCD1",0.5,1,0.5,2,1,1,1.5,1,1,1,0.5,1,1,2,0.5,1.5,0.5,0.5,1,1,0.5,0.5,1,1,2,1,1,2.5,1,1.5,0.5,1,2,1,1,1,1,0.5,1.5,0.5,1,1,0.5,0.5,1,0.5,1,1,0.5,1
"ABCD2",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1,1.5,1.5,1,2,1,1,1,1,1,1,2,1,1.5,1,2,2,1,1,1,1,2,2,1,1.5,2,1,2,1,1,1,1,1,1,1,1,2,1,1
"ABCD3",2.5,1,1,2,1,1,2,1,1,2,1,2,1.5,1,1,1.5,0.5,1,1,1,1,1,2,1,2,1,2,2.5,1,1,1,1,2,2,1,2,2,1,1.5,0.5,1,1,1.5,1,1,1,1,2,1,1
"ABCD4",1,1,1,1,1,1.5,1,1,1,1.5,0.5,1,2,1,1,1.5,1,0.5,1,1,1,1,1,1,2,1,1.5,1.5,1,1,1,1,2,1,1,1.5,2,1.5,1,1,1,1,0.5,1,0.5,0.5,0.5,2,1,1.5
"ABCE1",1,1,1,2.5,1,1.5,1,1,1,2,0.5,1,1.5,1.5,1,1.5,0.5,1,1,1,1.5,1,1,1,1.5,1,2,2,1,1,1,1,3,1.5,1,1.5,2,1,1.5,0.5,0.5,1,1,0.5,1,0.5,1,1,1,1
"ABCF1",1,1,1,4,1,2.5,2,1,1,2,1,1,3,2,1,2,2,1.5,1,1,1,1,2.5,1,2,1,3,2,1,2.5,1.5,1,2,1.5,1.5,3.5,3,1.5,1.5,1,1.5,1,1,1,1,1,1,2,1,1
"ABCF2",1,1,1,2.5,1.5,1.5,1,1,1.5,2,1,1,1.5,1.5,1,2,1,1,1.5,1.5,1,1,2,1,2.5,1.5,2,3.5,1.5,2,1.5,1,4.5,2,1.5,2,3,1,2,1,1,1,1,1,1,1.5,1,2,1.5,1
"ABCF3",1,1,1,2.5,1,2,2,1,1,2,1,1,2,1,1,1.5,1,1.5,1,1,1,1,1.5,1,2,1,3,2,1,1,1.5,1,2,2.5,1,2,2,1,2,1,1,1,1,1.5,1,1,1,2,1,2.5
"ABCG1",1,1,1,3,1,2,1,0.5,1,2,1,1,1.5,1.5,1,3,1,1,1,0.5,1,1,1,1,2,1,2,2,0.5,0.5,1,1,2,1.5,1,1.5,2,1,1.5,1,1,1,0.5,1,1,0.5,0.5,2,1,1.5
"ABCG2",1,1,1,2.5,1,1.5,1,1,1,2,0.5,1,1.5,1.5,1,1.5,0.5,0.5,1,1,0.5,1,1,1,1.5,0.5,2,2,1,0.5,1,1,3,0.5,1,1,2,1,2,1,0.5,1,1,0.5,1,0.5,1,1,1,0.5
"ABCG5",1,1,1,2.5,1,2,3,1,1,2,1,1,1.5,1.5,1,2.5,1,1,1,1,1,1,3,1,2,1,1.5,2.5,1,1,1,1,2,2,1,3,2,1,2,1,1,1,1,1.5,1,0.5,1,2,1,1
"ABCG8",1,1,1,2.5,1,2,3,1,1,2,1,1,1.5,1.5,1,2.5,1,1,1,1,1,1,3,1,2,1,1.5,2.5,1,1,1,1,2,2,1,3,2,1,2,1,1,1,1,1.5,1,0.5,1,2,1,1
"ABHD1",1,1,1,2.5,1,2,3,1,1,2,1,1,1.5,1.5,1,2.5,1,1,1,1,1,1,4,1,2,1,1.5,2.5,1,1,1,1,2,2,1,3,2,1,2,1,1,1,1,1.5,1,0.5,1,2,1,1
"ABHD10",1,1,1,2.5,1,2,2,1,1,2,1,1,2,1.5,1,1.5,1,1,1,1,1,1,2,1,2,1,2.5,1.5,1,1,1.5,1,2,2.5,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1
"ABHD11",1,1,1,2.5,1.5,1.5,1,1,1.5,2,1,1,1.5,2,1,2.5,1,1,2.5,1.5,1,1,3,1,3,1,2,3.5,1,2,1.5,1,4.5,2,1.5,2,3,1,2,1,1,1,1,1,1,1.5,1,2,1.5,1.5
"ABHD12",1,1,1,2.5,1,2,2,1,1,2,1,1,2,2,1,2.5,1,1,1,1.5,1,1,2,1,2,1,2,2.5,1.5,1,1.5,1,2,2.5,1,2.5,2,1.5,2,1,1,1,1,1,1,1,1,2,1,1.5
"ABHD12B",1,1,1,3,1,1.5,1,1,1,1.5,0.5,1,2,1,1,1.5,1,0.5,1,1,1,1,1,1,2,1,1,1.5,1,1,1,1,2,1,1,1.5,2,1.5,1,1,1,1,0.5,1,1,1.5,0.5,2,1,1
"ABHD13",4.5,1,1,4,1,3.5,3.5,1,1,1,0.5,1,1.5,0.5,1,3.5,1,1,1,1,1,1,2,1,2,1,1.5,1.5,1.5,1,0.5,1,2,2.5,1,2.5,2,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1
"ABHD14A",1,1,1,1.5,1,2,2,1,1,2,1,1.5,2,1,1,1.5,1,1,1,1,1,1,2,1,2,1,2.5,1.5,1,1,1.5,1,2,2.5,1,2,2,1,1.5,1,1,1,1,1.5,1,1,1,2,1,1
"ABHD14B",1,1,1,1.5,1,2,2,1,1,2,1,1.5,2,1,1,1.5,1,1,1,1,1,1,2,1,2,1,2.5,1.5,1,1,1.5,1,2,2.5,1,2,2,1,1.5,1,1,1,1,1.5,1,1,1,2,1,1
"ABHD15",1,1,1.5,2,1,2,2,1,1,2,1,1,2,1,1,2.5,1,1,1,1,1,1,2.5,1,2,1,2,2.5,1,1,1,1,2,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,2,1,1
"ABHD16A",1,1,1,4,1,2.5,2,1,1,2,1,1,3,2,1,2,2,1.5,1,1,1,1,2.5,1,2,1,1.5,2,1,2.5,1.5,1,2,1.5,1.5,3.5,3,1.5,1.5,1,1.5,1,1,1,1,1,1,2,1,1
"ABHD17A",0.5,1,1,3,1,1,1,1,1,1,0.5,1,2,1,1,1.5,1,1.5,1,1.5,1,1,1,1,1,1,2,2.5,1.5,1,1,1,3,1.5,1,1.5,2,1,2,1,1.5,1,1,1,1.5,1,1,2,1,1
"ABHD17B",1,1,1,1,1,1.5,2,1,1,1.5,1,1,1.5,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1.5,2,1,0.5,1,1,2,1.5,1,1.5,2,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1
"ABHD17C",1,1,1,2.5,1,2,1,1,1,2,1,0.5,1.5,1.5,1,1.5,1,1,1,1,1.5,1,1.5,1,2,1,3,2.5,1,1,1,1,2,1.5,1,2,2,1,1.5,1,0.5,1,1,1,1,1,1,2,1,0.5
"ABHD18",1,1,1,2.5,1,1.5,1,1,1,2,0.5,1,1.5,1.5,1,1.5,0.5,1,1,1,1.5,1,1,1,1.5,1,1,2,1,1,1,1,3,1.5,1,1.5,2,1,1,0.5,0.5,1,1,0.5,1,0.5,1,1,1,1
"ABHD2",1,1,1,2.5,1,2,1,1,1,2,1,0.5,1.5,1.5,1,1.5,1,1,1,1,1.5,1,2,1,2,1,1.5,2.5,1,1,1,1,2,1.5,1,2,2,1,1.5,1,0.5,1,1,1,1,1,1,2,1,0.5
"ABHD3",1,1,1,2.5,1,1.5,1.5,1,1,2,1,1,2,1,0.5,2.5,1,1,1,1,1,1,1.5,1,2,1,2,2,1,1,1,1,2,1.5,1,2,2,1,1,0.5,1,1,1,1,1,1,1,2,1,1
"ABHD4",1,1,1,3,1,1.5,1,1,1,1.5,0.5,1,2,1.5,1,1.5,1,1,1,1,1,1,2,1,2,1,2,1.5,1,1,1,1,2,2.5,1,1.5,2,1.5,1.5,1,1,1,0.5,1,1,1.5,0.5,2,1,1
"ABHD5",1,1,1,1.5,1,2,2,1,1,2,1,1,2,1.5,1,1.5,1,1,1,1,1,1,2,1,2,1,2.5,1.5,1,1,1.5,1,2,2.5,1,2,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"ABHD6",1,1,1,1.5,1,2,2,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1.5,1,2,1,2,1,2.5,1.5,1,1,1.5,1,2,2.5,1,2,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"ABHD8",0.5,1,1,3,1,4,2,1,1,1.5,0.5,1,2,2,1,4.5,1,1,1,1.5,1,1,1,1,1,0.5,2,2.5,1,1,1,1,3,1.5,1,1.5,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"ABI1",1,1,1,2,1,2,2.5,1,1,2,1,1,1.5,1.5,1,2.5,1,1,1,1,1,1,2,1,2,1,1.5,3.5,1,1,1,1,2,2,1,2,2,1,4.5,1,1.5,1,1,1,1,1,1,2,1,1
"ABI2",1,1,1,2,1,2,1.5,1.5,1,2,1,1,1.5,1.5,1,2.5,1,1,1,1,1,1,2,1,2,1,2.5,2.5,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,0.5,1,2,1,1
"ABI3",1.5,1,1.5,2,1,2,2,1,1,2,1,1,2,1.5,1,2.5,1,1.5,1,1,1.5,1,2.5,1,2,1,2,2.5,1,1.5,1,1,2,2,1,1.5,2,1,1,1,2,1,1,1,1,1,1,2,1,1
"ABI3BP",1,1,1,2.5,1,2,2,1,1,2,1,1,2,1.5,1,1.5,1,1,1,1,1,1,3,1,2,1,2.5,1.5,1,1,1.5,1,2,2.5,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1
"ABITRAM",1,1,1,1.5,1,1.5,2,1,1,1.5,1,1,1.5,1.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1.5,2,1,0.5,0.5,1,2,1.5,1,1.5,2,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1
"ABL1",1,1,1,1.5,1,1.5,2,1,1,1.5,1,1,1.5,1.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1.5,2,1,0.5,0.5,1,2,1.5,1,1.5,2,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1
"ABL2",4.5,1,2,2.5,1.5,2,2.5,1.5,1,2.5,1,3,3,2,1,4,2,1.5,3,2,1.5,1.5,2.5,1,3,1.5,4.5,2.5,1,2,1,1,2,2.5,2,4,3,1,2,1.5,2,3,1.5,1.5,1.5,1,1,2,1.5,1
"ABLIM1",0.5,1,1,2,1,2,1.5,1,1,2,1,1,1.5,1.5,1,2.5,1,1,0.5,1,0.5,1,1,1,2,1,1.5,1.5,1,1,1,1,2,2,1,1.5,3,0.5,1,1,0.5,1,1,1,1,0.5,1,2,1,1
"ABLIM2",1,1,1,2.5,1,1.5,2,1,1,1,1,1,1.5,2.5,1,2.5,1.5,1,1,1,0.5,1,2,1,2,1,2,2,1,1,1,1,4.5,1.5,1,2.5,2,1,2,1,0.5,1,1,1,1,1,1,2,1,1
"ABLIM3",1.5,1,1.5,3,1.5,2,2,1.5,1,2,1,1.5,3,2,0.5,2.5,1,1,1,1.5,1,1.5,1.5,1,2,1,2,2.5,1,1,1.5,1,2,1.5,1,2,2,1,1,1,1,1.5,1.5,1.5,1,1,1,2.5,1,1
"ABO",1,1,1,1.5,1,1.5,2,1,1,1.5,1,1,1.5,1.5,1,1.5,1,1,1,1,1,1,1,1,1,0.5,1.5,2,1,0.5,0.5,1,2,1.5,1,1.5,2,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1
"ABR",1,1,0.5,2,0.5,2,1,1,1,1,0.5,1,1,1,0.5,2.5,0.5,0.5,0.5,1,0.5,1,1,1,2,0.5,1,2.5,0.5,0.5,1,1,2,1,1,1,2,0.5,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5
"ABRACL",1,1,1,1.5,1,1,2,1,1,2,1,1,1,1,1,1.5,0.5,1,0.5,1,1,0.5,1.5,1,2,1,1.5,1,0.5,1,0.5,1,2,1.5,0.5,1.5,1,1.5,1.5,1,0.5,1,0.5,1,0.5,1,0.5,2,1,1
"ABRAXAS1",1,1,1,2.5,1,1.5,1,1,1,2,0.5,1,1.5,1.5,1,1.5,1.5,0.5,1,1,0.5,1,1,1,1.5,0.5,2,2,1,0.5,1,1,3,0.5,1,1,2,0.5,2,1,0.5,1,1,0.5,1,0.5,1,1,1,0.5
"ABRAXAS2",0.5,1,1,2,1,2,1.5,1,1,2,1,1,1.5,1.5,1,2.5,1,1,0.5,1,0.5,1,1,1,2,1,1.5,1.5,1,1,1,1,2,2,1,1.5,3,1,1,1,0.5,1,1,1,1,0.5,1,2,1,1
"ABT1",1,1,1,4,1,2.5,2,1,1,2,1,1,3,2,1,2,2,1.5,1,1,1,1,2.5,1,2,1,3,2,1,2.5,1.5,1,2,1.5,1.5,3.5,3,1.5,2,1,1.5,1,1,1,1,1,1,2,1,1
"ABTB1",1,1,1,2.5,1,2,2,1,1,2,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,2,1,2,1,2.5,1.5,1,1,1.5,1,2,2.5,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1
"ABTB2",1,1,1,2.5,1,1.5,2,1,1,2,1,1,2,1.5,1,1.5,1,1,1,1,1,1,2,1,2,1,2,1.5,1,1,1,1,2,1.5,1,2.5,2,1,1.5,1,1,1,1,1.5,1,1,1,2,1,1
"AC000068.1",1,1,1,3,1.5,1.5,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,2,1,2,1,2,1.5,1,1,1,1,2,1.5,1,2,2,1,2.5,1,0.5,1,1,0.5,1,0.5,1,2,1,1
