"","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90","sample91","sample92","sample93","sample94","sample95","sample96","sample97","sample98","sample99","sample100"
"TAF5",0.5,1,1,2,1,2,1.5,1,1,2,1,1,1.5,1.5,1,2.5,1,1,0.5,1,1,1,1.5,1,2,1,1.5,1.5,1,1,1,1,2,2,1,1.5,3,0.5,1,1,0.5,1,1,1,1,0.5,1,2,1,0.5
"TAF5L",0.5,1,2,2.5,1.5,2,3,1.5,1,2.5,1,2.5,3,2,1,4,2,1,2,2,1,1.5,2.5,1,3,1,2,2.5,1.5,2,1,1,2,2.5,2,4,3,1,3,1.5,2,3,1.5,1,1.5,1,2,2,1.5,1
"TAF5LP1",1,1,1.5,2,1,2,2,1,1,2,1,1,2,1,1,2.5,1,1.5,1,1,1,1,2.5,1,2,1,2,2.5,1,1,1,1,2,2,1,1.5,2,1,1,1,0.5,1,1,1,1,1,1,2,1,0.5
"TAF6",1,1,1,2.5,1.5,1.5,1,1,1.5,2,1,1,1.5,2,1,2,1,1,1,1.5,0.5,1,3,1,2.5,1.5,2,3.5,1,2,1.5,1,4.5,2,1.5,2,3,1,2,1,1,1,1,1,1,1.5,1,2,1.5,1
"TAF6L",1,1,1,2.5,1,1.5,2,1,1,2,1,1,2,1.5,1,1.5,1,1,1,1,1,1,2,1,2,1,2,1.5,1,1,1,1,2,1.5,1,2.5,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"TAF7",1.5,1,1.5,3,1.5,2,2,1.5,1,2,1,1.5,3,2,0.5,2.5,1,1,1,1.5,1,1.5,1.5,1,2,1,2,2.5,1,1,1.5,1,2,1.5,1,2,2,1,1,1,1,1.5,1.5,1.5,1,1,1,2.5,1,1
"TAF8",1,1,1,4,1,2.5,2,1,1,2,1,1,3,2,1,2,2,1.5,1,1,1,1,2.5,1,2,1,2.5,2,2,2.5,1.5,1,2,1.5,1.5,3.5,3,1.5,1.5,1,1.5,1,1,1,1,1,1,2,1,1
"TAF9",1.5,1,1.5,2,1.5,2,2,1,1,2,1,0.5,2,2,1,2.5,1,1,1,1.5,1,0.5,1.5,1,2,1,2,2.5,1,1,1.5,1,2,1.5,1,2,2,1,1,1,1,1.5,1.5,0.5,1,1,1,1.5,1,1
"TAF9B",0.5,1,0.5,2,1,1,1.5,1,1,1,0.5,1,1,2,0.5,1.5,0.5,1,0.5,1,0.5,0.5,1,1,2,1,1,2.5,1,1.5,0.5,1,2,1,1,1,1,0.5,1.5,0.5,1,1,0.5,0.5,0.5,0.5,1,1,0.5,1
"TAFA2",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1,1.5,1.5,1,2,1,1,1,1,1,1,2,1,1.5,1,2,2,1,1,1,1,2,2,1,1.5,2,1,1.5,1,1,1,1,1.5,1,1,1,2,1,1
"TAFA5",1,1,1,3,1.5,1.5,2,1,1,2,1,1,1.5,2,1,1,1.5,1,0.5,1,0.5,1,2,1,2,0.5,2,1.5,1,1,1,1,2,3,1,2,2,1,2.5,1,0.5,1,1,0.5,1,0.5,1,2,1,0.5
"TAGAP",1,1,1,1.5,1,1,2,1,1,2,1,1,1,1,1,1.5,0.5,1,0.5,1,1,0.5,1.5,1,2,1,1.5,1,0.5,1,0.5,1,2,1.5,0.5,1.5,1,1.5,1.5,1,0.5,1,0.5,1,0.5,1,0.5,2,1,1
"TAGLN",1,1,1,2.5,1,1.5,2,1,1,2,1,1,2,1.5,1,1.5,1,1,1,1,1,1,1,1,2,1,2,1.5,1,1,1,1,2,1.5,1,2,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"TAGLN2",4.5,1,2,2.5,1.5,6,2.5,1.5,1,2.5,1,1.5,3,2,1,4,2,1.5,3,2,1.5,1.5,4,1,3,1.5,4.5,2.5,1.5,2,1,1,2,2.5,2,4,3,1,2.5,1.5,2,3,1.5,1.5,1.5,1,1.5,2,1.5,1
"TAL1",2.5,1,1,2,1,2,2,1,1,2,1,2,1.5,1,1,1.5,0.5,1,1,1,1,1,1.5,1,2,1,2,1.5,0.5,1.5,1,1,2,2,1,2,2,1,1.5,0.5,1,1,1.5,1,1,1,1,2,1,1
"TALDO1",1,1,1,2.5,1,1.5,2,1,1,2,1,1,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,2,1,2,1.5,1,1,1,1,2,1.5,1,2.5,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"TAMALIN",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1,1.5,1.5,1,2,1,1,1,1,1,1,2,1,1.5,1,2,2,1,1,1,1,2,2,1,1.5,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"TAMM41",1,1,1,1.5,1,2,2,1,1,2,1,1,2,2,1,1.5,1,1,1,1,1,1,2,1,2,1,1.5,2.5,1,1,1.5,1,2,3,1,2,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"TANC1",1,1,1,2.5,1,2,3.5,1.5,1,2,1,1,1.5,1.5,1,2.5,1,1,1,1,1,1,2,1,1.5,1,2.5,2.5,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,0.5,1,2,1,1
"TANC2",1.5,1,1.5,2,1,2,2,1,1,2,1,1,2,1.5,1.5,2.5,1,1.5,1.5,1,1.5,1,2.5,1,2,2,1.5,2.5,1,2,1,1,2,2,1,1.5,2,1,1,1,0.5,1,1,1,1,1,1,2,1,1
"TANGO2",1,1,1,3,1.5,1.5,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,2,1,2,1,2,1.5,1,1,1,1,2,1.5,1,2,2,1,2.5,1,0.5,1,1,0.5,1,0.5,1,2,1,1
"TANGO6",0.5,1,1,2,1,2,2,1,1,1,0.5,0.5,1.5,1.5,1,1,0.5,0.5,1,1,1,1,1,1,2,1,2,2,0.5,1,0.5,1,2,1,1,2,1,1,1,0.5,0.5,1,1,1,1,0.5,1,1,1,1
"TANK",1,1,1,2.5,1,2,3.5,1,1,2,1,1,1.5,1.5,1,2.5,1,1,1,1,1,1,2,1,1.5,1,2.5,2.5,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,0.5,1,2,1,1
"TAOK1",1,1,1.5,2,1,2,2,1,1,2,1,1,2,1,1,2.5,1,1,1,1,1,1,2.5,1,2,1,2,2.5,1,1,1,1,2,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,2,1,1
"TAOK2",1,1,1,2,1,2,2,1,1,2,0.5,1.5,1.5,1.5,1,2.5,0.5,1,1,1,1,1,2.5,1,2,1,3,2,0.5,1,0.5,1,2,2,1,2,1,1,2,0.5,0.5,1,1,1,1,0.5,1,2,1,1
"TAOK3",1,1,1,3.5,0.5,1.5,1.5,1,1,2,1,1,2,1.5,1,2,1,1,1,1,1,1,2,1,1.5,1,2,2,1,1,1,1,2,2,1,1.5,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1
"TAP1",1,1,1,4,1,2.5,2,1,1,2,1,1,3,2,1,2,2,1.5,1,1,1,1,2.5,1,2,1,1.5,2,1,2.5,1.5,1,2,1.5,1.5,3.5,3,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1
"TAP2",1,1,1,4,1,2.5,2,1,1,2,1,1,3,2,1,2,2,1.5,1,1,1,1,2.5,1,2,1,1.5,2,1,2.5,1.5,1,2,1.5,1.5,3.5,3,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1
"TAPBP",1,1,1,4,1,2.5,2,1,1,2,1,1,3,2,1,2,2,1.5,1,1,1,1,2.5,1,2,1,1.5,2,1,2.5,1.5,1,2,1.5,1.5,3.5,3,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1
"TAPBPL",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1.5,1.5,1.5,1,2,1,1,1,1,1,1,1.5,1,1.5,1.5,2,2,0.5,1,0.5,1,2,1,1,1.5,2,0.5,1.5,1,1,1,0.5,1,1,1,1,2,1,1
"TAPT1",1,1,1,2.5,1,1.5,2,1,1,1,1,1,1.5,2.5,1,2.5,1.5,1,1,1,0.5,1,2,1,2,1,2,2,1,1,1,1,4.5,1.5,1,2,2,1,2,1,0.5,1,1,1,1,1,1,2,1,1
"TAPT1-AS1",1,1,1,2.5,1,1.5,2,1,1,1,1,1,1.5,2.5,1,2.5,1.5,1,1,1,0.5,1,2,1,2,1,2,2,1,1,1,1,4.5,1.5,1,2,2,1,2,1,0.5,1,1,1,1,1,1,2,1,1
"TARBP1",0.5,1,2,2.5,1.5,2,3,1.5,1,2.5,1,2.5,3,2,1,4,2,1,2,2,1,1.5,1.5,1,3,1,2,2.5,1.5,2,1,1,2,2.5,2,4,3,1,3,1.5,2,3,1.5,2.5,1.5,1,2,2,1.5,1
"TARBP2",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1,1.5,1.5,1,2,1,1,1,1,1,1,2,1,1.5,1,2,2,1,1,1,1,2,2,1,1.5,2,1,1.5,1,1,1,1,1.5,1,1,1,2,1,1.5
"TARDBP",0.5,1,1,2,1,1,2,1,1,2,1,1.5,1.5,1,1,1.5,0.5,1,0.5,1,1,1,1.5,1,2,0.5,2,1.5,0.5,1,1,1,2,1,1,2,2,1,1.5,0.5,1,1,0.5,0.5,1,1,0.5,1,1,1
"TARS1",1.5,1,1.5,4,1.5,2,2,1,1,2,1,1,2,2,1,2.5,1,1,1.5,1.5,1,1,2,1,2,1.5,2,2.5,1,1,1,1,2,1.5,1,2,2,1,2,1,1,1.5,1.5,1,1,1,1,3,1,1
"TARS2",4.5,1,2,2.5,1.5,6,2.5,1.5,1,2.5,1,1.5,3,2,1,4,2,1.5,3,2,1.5,1.5,1.5,1,3,1.5,3,2.5,1.5,2,1,1,2,2.5,2,4,3,1,2.5,1.5,2,3,1.5,1,1.5,1,1.5,2,1.5,1
"TARS3",1,1,1,2.5,1,2,1,1,1,3,1,0.5,1.5,1.5,1,1.5,1,1,1,1,1.5,1,2,1,2,1,1.5,2.5,2.5,1,1,1,2,1,1,2,2,1,1.5,1,0.5,1,1,1,1,1,1,2,1,0.5
"TAS1R3",0.5,1,1,2,1,1,2,1,1,2,1,1.5,1.5,1,1,1.5,0.5,1,0.5,1,0.5,1,1.5,1,2,0.5,1,1.5,0.5,1,1,1,2,1,1,2,2,1,1.5,0.5,1,1,0.5,0.5,1,1,0.5,1,1,1
"TAS2R14",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1.5,1.5,1.5,1,2,1,1,1,1,0.5,1,1,1,1.5,1,2,2,0.5,1,0.5,1,2,1,1,1.5,2,0.5,1.5,1,1,1,0.5,1,1,1,1,2,1,1
"TASOR",1,1,1,1.5,1,2,2,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1,1,2,1,2,1,2.5,1.5,1,1,1.5,1,2,2.5,1,2,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"TASOR2",1,1,1,2,1,2,4,1,1,2,1,1,1.5,1.5,1,2.5,1,1,1,1,1,1,1,1,2,1,1.5,4,1,1,1,1,2,2,1,2,2,1,4.5,1,1.5,1,1,1,1,1,1,2,1,1
"TASP1",1,1,0.5,2.5,1,2,2,1,1,2,1,1,2,2,1,2.5,1,0.5,1,1.5,1,1,2,1,2,1,2,2.5,1.5,1,1.5,1,2,2.5,1,2.5,2,1.5,2,1,1,1,1,1,1,1,1,2,1,0.5
"TAT",0.5,1,1,2,1,2,2,1,1,1,0.5,0.5,1.5,1.5,1,1,0.5,0.5,1,1,1,1,1,1,2,1,2,2,0.5,1,0.5,1,2,1,1,2,1,1,1,0.5,0.5,1,1,1,1,0.5,1,1,1,1
"TATDN1",3,1,5,3,1,6,3.5,1,1,3,2.5,1,5.5,2,1,3,1,1,1,3,1,2,3,1,4.5,1,3,2,1,2,1.5,1,3,2,2,6,3,1,1.5,1,1,2,1.5,1.5,2.5,1.5,1.5,4.5,1,1
"TATDN2",1,1,1,1.5,1,2,2,1,1,2,1,1,2,2,1,1.5,1,1,1,1,1,1,2,1,2,1,1.5,2.5,1,1,1.5,1,2,3,1,2,2,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1.5
"TATDN3",0.5,1,2,2.5,1.5,2,3,1.5,1,2.5,1,2.5,3,2,1,4,2,1,2,2,1.5,1.5,4,1,3,1,4.5,2.5,1.5,2,1,1,2,2.5,2,4,3,1,3,1.5,2,3,1.5,1,1.5,1,2,2,1.5,1
"TAX1BP1",1,1,1,2.5,1.5,1.5,2,1,1.5,2,1,1,1.5,2,1,2.5,1,1,1,1.5,1,1,3.5,1,1,1.5,2,3.5,1,2,1.5,1,4.5,2,1.5,2,3,1,2,1,1,1,1,1,1,1.5,1,2,1,1
"TAZ",0.5,1,0.5,2,1,1,1.5,1,1,1,0.5,1,1,2,0.5,1.5,0.5,0.5,1,1,0.5,0.5,1,1,2,1,1,2.5,1,1.5,0.5,1,2,1,1,1,1,0.5,1.5,0.5,1,1,0.5,0.5,1,0.5,1,1,0.5,1
"TBC1D1",1,1,1,2.5,1,1.5,2,1,1,2,4.5,1,1.5,2.5,1,2.5,1.5,1,1,1,0.5,1,2,1,2,1,2,2,1,1,1,1,3,1.5,1,2,2,1,2,1,0.5,1,1,1,1,1,1,2,1,1
"TBC1D10A",1,1,1,3,1.5,1.5,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1.5,1,2,1,2,1.5,1,1,1,1,2,3,1,2,2,1,2.5,1,0.5,1,1,0.5,1,0.5,1,2,1,1
"TBC1D10B",1,1,1,2,1,2,2,1,1,2,0.5,1.5,1.5,1.5,1,2.5,0.5,1,1,1,1,1,2.5,1,2,1,3,2,0.5,1,0.5,1,2,2,1,2,1,1,2,0.5,0.5,1,1,1,1,0.5,1,2,1,1
"TBC1D12",0.5,1,1,2,1,2,1.5,1,1,2,1,0.5,1.5,1.5,1,2.5,1,1,0.5,1,1,1,1.5,1,2,1,1.5,1.5,1,1,1,1,2,2,1,1.5,3,0.5,1,1,0.5,1,1,1,1,0.5,1,2,1,1
"TBC1D13",1,1,1,1.5,1,1.5,2,1,1,1.5,1,1,1.5,1.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1.5,2,1,0.5,0.5,1,2,1.5,1,1.5,2,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1
"TBC1D14",1,1,1,2.5,1,1.5,2,1,1,1,1,1,1.5,2.5,1,2.5,1.5,1,1,1,0.5,1,2,1,2,1,2,2,1,1,1,1,4.5,3,1,2.5,2,1,2,1,0.5,1,1,1,1,1,1,2,1,1
"TBC1D15",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1,1.5,1.5,1,2,1,1,1,1,1,1,2,1,1.5,1,2,2,1,1,1,1,2,2,1,1.5,2,1,1.5,1,1,1,1,1.5,1,1,1,2,1,1
"TBC1D16",1.5,1,1.5,2,1,2,2,1,1,2,1,1,2,1.5,1.5,2.5,1,1.5,1.5,1,1.5,1,2.5,1,2,2,2.5,2.5,1,2,1,1,2,2,1,1.5,2,1,1,1,1.5,1,2,1.5,1,1,1,3,1,1
"TBC1D17",1,1,1,3,1,2.5,2,1,1,3,1,1,2,2,1,3,1,1,1,1.5,0.5,1,1.5,1,2,1,2,2.5,1.5,1,1,1,3,1.5,1,2.5,2,1,2,1,1,1,0.5,1,1,1,1,2,1,1
"TBC1D19",1,1,1,2.5,1,1.5,2,1,1,1,1,1,1.5,2.5,1,2.5,1.5,1,1,1,0.5,1,2,1,2,1,2,2,1,1,1,1,4.5,1.5,1,2,2,1,2,1,0.5,1,1,1,1,1,1,2,1,1
"TBC1D2",1,1,1,1.5,1,1.5,2,1,1,1.5,1,1,1.5,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1.5,2,1,0.5,0.5,1,2,1.5,1,1.5,2,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1
"TBC1D20",1,1,0.5,2.5,1,2,2,1,1,2,1,1.5,2,2,1,1,1,0.5,1,1.5,1,1,2,1,2,1,1.5,2,1.5,1,1.5,1,2,2.5,1,2.5,2,1.5,2,1,1,1,1,1,1,1,1,2,1,0.5
"TBC1D22A",1,1,1,3,1.5,1.5,2,1,1,2,1,1,1.5,2,1,1,1,1,0.5,1,0.5,1,2,1,2,0.5,2,1.5,1,1,1,1,2,3,1,2,2,1,2.5,1,0.5,1,1,0.5,1,0.5,1,2,1,0.5
"TBC1D22B",1,1,1,4,1,2.5,2,1,1,2,1,1.5,3,2,1,2,2,1.5,1,1,1,1,2.5,1,2,1,2.5,2,1,2.5,1.5,1,2,1.5,1.5,3.5,3,1.5,1.5,1,1.5,1,1,1,1,1,1,2,1,1
"TBC1D23",1,1,1,2.5,1,2,2,1,1,2,1,1,2,1.5,1,1.5,1,1,1,1,1,1,3,1,2,1,2.5,1.5,1,1,1.5,1,2,2.5,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1
"TBC1D24",1,1,1,2,1,2,2,1,1,2,0.5,1,1.5,1.5,1,2.5,0.5,1,1,1,1,1,2,1,2,1,2,2,0.5,1,0.5,1,2,2,1,2,1,1,2,0.5,0.5,1,1,1,1,0.5,1,2,1,1.5
"TBC1D25",0.5,1,0.5,2,1,1,1.5,1,1,1,0.5,1,1,2,0.5,1.5,0.5,1,0.5,0.5,0.5,0.5,1,1,2,1,1,2.5,1,0.5,0.5,1,2,1,1,1,1,0.5,2,0.5,0.5,1,0.5,0.5,0.5,0.5,1,1,0.5,1
"TBC1D2B",1,1,1,2.5,1,2,1,1,1,2,1,0.5,1.5,1.5,1,1.5,1,1,1,1,1.5,1,1.5,1,2,1,3,2.5,1,1,1,1,2,1.5,1,2,2,1,1.5,1,0.5,1,1,1,1,1,1,2,1,0.5
"TBC1D30",1,1,1,3.5,1,1.5,1.5,1,1,2,1,1,1.5,1.5,1,2,1,1,1,1,1,1,2,1,1.5,1,2,2,1,1,1,1,1,2,1,1.5,2,1,1.5,1,1,1,1,1.5,1,1,1,2,1,1
"TBC1D31",3,1,5,3,1,6,3.5,1,1,3,2.5,1,5.5,2,1,3,1,1,1,3,1,2,3,1,4.5,1,4.5,2,1,2,1.5,1,3,2,2,4.5,3,1,1.5,1,1,2,1.5,1.5,2.5,1.5,1.5,4.5,1,1
"TBC1D32",1,1,1,1.5,1,1,2,1,1,2,1,1,1,1,1,1.5,0.5,1,0.5,1,1,0.5,1.5,1,2,1,1.5,1,0.5,1,0.5,1,1,1.5,0.5,1.5,1,1.5,1.5,1,0.5,1,0.5,1,0.5,1,0.5,2,1,1
"TBC1D3L",1,1,1.5,2,1,2,2,1,1,2,1,1,2,1.5,1,2.5,1,1.5,1,1,1,1,2.5,1,2,1,2,2.5,1,1,1,1,2,2,1,1.5,2,1,1,1,0.5,1,1,1,1,1,1,2,1,0.5
"TBC1D4",0.5,1,1,0.5,1,0.5,2,1,1,1,0.5,1,1.5,0.5,1,1,1,1,1,1,0.5,1,2,1,2,1,1.5,1.5,1,1,0.5,1,2,2.5,1,2.5,2,1,1,1,1,1,1,0.5,1,1,0.5,1,1,0.5
"TBC1D5",1,1,1,1.5,1,2,2,1,1,2,1,1,2,2,1,1.5,1,1,1,1,1,1,2,1,2,1,1.5,2,1,1,1.5,1,2,3,1,2,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1
"TBC1D7",1,1,1,4,1,2.5,2,1,1,2,1,1,3,2,1,2,2,1,1,1,1,1,2,1,2,1,3,2,1,2.5,1.5,1,2,2.5,1.5,3.5,3,1.5,2,1,1.5,1,1,1,1,1,1,2,1,1
"TBC1D8",1,1,1,2.5,1,2,2,1,1,2,1,1,1.5,1.5,1,2.5,1,1,1,1,1,1,2,1,2,1,1.5,2.5,1,1.5,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,0.5,1,2,1,1
"TBC1D8-AS1",1,1,1,2.5,1,2,2,1,1,2,1,1,1.5,1.5,1,2.5,1,1,1,1,1,1,2,1,2,1,1.5,2.5,1,1.5,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,0.5,1,2,1,1
"TBC1D8B",0.5,1,0.5,2,1,1,1.5,1,1,1,0.5,1,1,2,0.5,1.5,0.5,0.5,1,1,0.5,0.5,1,1,2,1,1,2.5,1,1.5,0.5,1,2,1,1,1,1,0.5,1.5,0.5,1,1,0.5,0.5,1,0.5,1,1,0.5,1
"TBC1D9",1,1,1,2.5,1,1.5,1,1,1,2,0.5,1,1.5,1.5,1,1.5,0.5,1,1,1,1.5,1,1,1,1.5,1,1,2,1,1,1,1,3,1.5,1,1.5,2,1,0.5,0.5,0.5,1,1,0.5,1,0.5,1,1,1,1
