,Unnamed: 0,status,gene,N,n_aneup,cna,mean_b_scaling,sd_b_scaling,mean_b_deviation,sd_b_deviation,z_comp,p_value,mean_phi,Rhat_b_deviation,ess_b_deviation,covar_levels,reason,label_nb,adj_p,aneup_frac,comp_score,signed_comp,shrunk_comp
0,0,ok,DPM1,45.0,27.0,all,0.608314387845,0.1089231027773517,-0.2120123648930074,0.1537935889999678,-1.3785513835238723,0.1680331148416507,7.107501788,1.00128,1646.39,['ALL'],,DSG,0.6627709519837693,0.6,-0.3485243307232586,-0.3485243307232586,-0.28996070183372785
1,1,ok,SCYL3,45.0,33.0,all,0.6907128344774999,0.1183813671046291,-0.2861831867213725,0.1637346374672604,-1.7478475608351125,0.0804904271934079,7.5744301991,1.00016,1504.34,['ALL'],,DCG,0.5901611225302633,0.7333333333333333,-0.41433019981141667,-0.41433019981141667,-0.3809805850294657
2,2,ok,C1orf112,45.0,33.0,all,0.4296579693027499,0.1256946035024686,-0.0722220054537492,0.1694123148172517,-0.426309064554466,0.6698826536494789,4.010699453675,1.00318,1507.24,['ALL'],,DSG,0.95881648312133,0.7333333333333333,-0.16809185588004166,-0.16809185588004166,-0.0554900374062536
3,3,ok,FGR,45.0,23.0,all,0.11656346102605,0.0519533938554886,-0.2969816142338249,0.1031095991003127,-2.8802518565211277,0.0039735760813377,3.3927392273250003,1.00338,1064.7,['ALL'],,DCG,0.5107465101692225,0.5111111111111111,-2.547810537021155,-2.547810537021155,-2.537686618011467
4,4,ok,CFH,45.0,32.0,all,0.41580497061225,0.1492080323761085,-0.2800861756662863,0.1729896878613532,-1.6190917454615452,0.1054275245978297,1.8037701832449995,1.00058,1778.69,['ALL'],,DCG,0.6051534085096762,0.7111111111111111,-0.6735998736471928,-0.6735998736471928,-0.6025839063991584
5,5,ok,GCLC,45.0,25.0,all,0.90074650044,0.2986199961681078,-0.0281762829081444,0.1938980265777277,-0.1453149544915528,0.8844622080720832,0.72234973864,1.00234,2432.25,['ALL'],,DSG,0.9940763816132795,0.5555555555555556,-0.03128103511296546,-0.03128103511296546,-0.003614141726171663
6,6,ok,NFYA,45.0,27.0,all,0.6322963559499999,0.1315017005870751,-0.1177592010238282,0.1705311141506208,-0.6905437849882219,0.4898522850825104,4.881692960575,1.00176,1782.15,['ALL'],,DSG,0.8938947108567327,0.6,-0.18624051825650603,-0.18624051825650603,-0.09501017481360555
7,7,ok,STPG1,45.0,23.0,all,0.945157474125,0.1490395372920285,-0.335877699203625,0.1691410289277939,-1.985784888106662,0.0470572144524306,4.269841301775,1.00172,1879.65,['ALL'],,DCG,0.5563237700272489,0.5111111111111111,-0.35536691863392506,-0.35536691863392506,-0.33864434133446897
8,8,ok,NIPAL3,45.0,23.0,all,0.7521918026825,0.147881925897597,-0.354395362708115,0.1802322273923358,-1.9663262660381753,0.0492609346203463,4.211396309175,1.0011,1865.07,['ALL'],,DCG,0.5563237700272489,0.5111111111111111,-0.47115025907521785,-0.47115025907521785,-0.44794095696655434
9,9,ok,ENPP4,45.0,25.0,all,0.829055599885,0.1548306969165398,-0.1499734213786852,0.1858144311194523,-0.807113960283707,0.4196008298318956,2.596651328075,1.00111,2360.96,['ALL'],,DSG,0.8524778693334198,0.5555555555555556,-0.18089669908687464,-0.18089669908687464,-0.10499229403617133
