,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
LINC01908,113.31137643306738,-0.8842350103273213,1.0872567772203092,-1.9090572244151736,0.05625471003865615,0.1357900479006671,,0.0
PCSK6,187104.32733302965,1.532960622086255,0.29852442227467024,-0.10071139897201069,0.9197795623139889,0.9592096773860022,,0.0
NRF1,260844.51562680857,3.489484218308343,0.08988894237363616,17.1336214943018,8.330399498926475e-66,9.661326116545659e-64,1.8866349818867544e-65,1.0
EFCAB11,37318.10894682749,1.0530964819038482,0.27796820625300944,-0.4190430977448713,0.6751846354308906,0.8220581534216499,,0.0
VANGL1,190298.3407210883,1.4181647698348574,0.2760184624888783,-0.544240965115754,0.5862756653818629,0.7669876031635231,,0.0
LINC02649,6391.891584193027,-0.1512623318676457,0.24684447865489131,-0.449645735954002,0.6529659044136535,0.8106400212374634,1.0,0.0
SLC22A12,938.4747581462154,-0.5157866036224028,0.8550281617175866,-1.4560349477730121,0.14538295887289035,0.2993496349707284,,0.0
RPL9P3,2197.8633958910273,-0.36833775585106876,0.5120480622775652,-0.9550643966763105,0.33954513230819316,0.5547916219018312,,0.0
RPL4,4956608.510920057,2.0833401484738525,0.04505609163595823,-0.2050345237729786,0.837545151906385,0.9155716073119556,,0.0
IL6R,119517.7418213274,0.13986402416562926,0.2322312976782739,-8.060129993551516,7.621335876644492e-16,6.811398210900731e-15,1.7260491379121746e-15,1.0
HOOK1,127943.13091978568,1.31291859769481,0.3539975195314217,-0.5830020643364027,0.5598919105453399,0.7466532646041103,,0.0
NUDT4,727275.0509374279,2.12006202473369,0.12979671927295547,3.0449159332581432,0.00232745356607158,0.007300006876728911,0.005271122131697988,1.0
RPSAP53,1033.6606135431316,-1.0380047413281548,0.5040841181169329,-2.578552622640281,0.009921518696044079,0.028403337392176705,0.022469851833411363,1.0
OTUD7A,19645.83270065759,-0.16418085000049795,0.24920161482603892,-0.9791575859544338,0.3275021218644327,0.5418301763015064,,0.0
FOXP1-AS1,196.02086957278084,-0.1289382394095171,0.5239339626587365,-0.35373849824001935,0.7235348681986028,0.8498041421823909,,0.0
CDC42EP5,179163.9628278021,3.1280039598650817,0.2626960631354291,5.05944877630337,4.204702095452762e-07,1.9290569779229923e-06,9.522638215269266e-07,1.0
TRIM21,103754.33455899684,1.321652924340488,0.2025906152887298,-1.0004893745094499,0.31707373720262844,0.5311544264123305,,0.0
OLA1P1,68514.45813352238,1.2951754099967088,0.21962001259778915,-0.13661326500059634,0.8913364908584523,0.944358419356512,,0.0
MRPL57,186770.4271763772,1.585880234718215,0.17934426539207443,-0.38203649660170313,0.702434293748543,0.838649706230305,,0.0
DPH7,139163.09024617128,1.4508931954456805,0.18364707825353396,-0.6936697153318078,0.48788936243895986,0.6957690164378304,,0.0
GRIK1-AS1,1298.8712881225479,-0.7358459303466506,0.6176684684056329,-1.8499720094874703,0.06431758396121687,0.1522094408029283,,0.0
PLCL2,80933.58248528515,1.4572096022906649,0.21899891086113943,0.32716383467658466,0.7435439727712222,0.8597388806422642,,0.0
LINC02688,4455.928893677483,-0.1761063252083005,0.4880304921165388,-0.17362537056308774,0.8621598920251416,0.9296691551200209,,0.0
CLYBL,23691.416536295605,-2.2503616148068493,0.19551948009797396,-10.21807718030096,1.6457287464461249e-24,2.5409440428875618e-23,3.727179499785115e-24,1.0
UBA52P8,876.7224868519406,0.1852807386411207,0.2928736697649317,0.712038728173891,0.4764407943412101,0.6867081622484436,,0.0
CELF3,2979.704804292315,-1.9109464213753649,0.6379281079450346,-3.538482718881213,0.0004024336222081102,0.0013717952658590879,0.0009114152924395301,1.0
SEMA6A-AS2,742.5334861833733,-0.08737163006883078,0.36686875211456615,-0.23587839673876482,0.8135270322059519,0.9027621604127022,,0.0
MFAP1,171657.30257432495,1.27079702040691,0.161488267910842,-2.552280909779995,0.01070201939701897,0.030515134781551517,0.024237498062186013,1.0
PVRIG,45278.41405093629,1.1773601757932461,0.22429440103517093,-0.4805716049928139,0.6308210004713669,0.7996706480301746,1.0,0.0
LINC01968,320.7148840492146,-0.3351175436196504,0.7107018223030164,-0.9964669277163828,0.3190233284008248,0.5328095575133668,,0.0
NKX2-3,22.83537579127208,0.0931503271189989,0.04154416863021601,-0.891630913626539,0.3725907948132786,0.5881957245121306,,0.0
OR2H2,190.3623811764656,-1.7249807488549658,0.82598095832605,-2.893950985922895,0.003804275409301351,0.011561195287133355,0.008615768149948154,1.0
NT5E,150588.3853517598,1.3495367547928028,0.2553053098866462,-0.46534017095411695,0.6416878717454488,0.8058212256621999,,0.0
HMGN1P3,5570.633619601397,0.014588643441938364,0.31013561088633196,0.3292545772322405,0.741963273799993,0.8596168803043729,,0.0
MARCHF4,3260.7831560103014,0.1330179187028837,0.6898133380379199,0.3741225273501462,0.708313159299061,0.8400990514130524,,0.0
GYS1,227915.7280088746,0.2738255769024498,0.21407842631646634,-12.882689152410135,5.633779661031179e-38,1.7450719981094714e-36,1.2759154936222748e-37,1.0
DDOST,1064146.0442359627,1.986967091122602,0.08738207386044872,0.13586085260623518,0.8919312835495443,0.9445872395543805,,0.0
KBTBD13,150.23606538024302,1.0622670538647112,0.35083250592395243,5.571934641762124,2.5192593825513498e-08,1.2925459404098336e-07,5.705516140228692e-08,1.0
MRPL48,67508.31289023467,-0.10848640020406977,0.27892134370324007,-9.238961249189092,2.4890174893101365e-20,2.9554119569499168e-19,5.637025530967145e-20,1.0
QRSL1P3,647.3087294393723,0.5012955923595082,0.5464242316117304,1.2883767303715046,0.19761485487477293,0.37816779787432564,,0.0
PCIF1,354110.6124536628,4.954858526164718,0.14991805187124657,14.34805782370507,1.0956269871939343e-46,5.0591590603112506e-45,2.4813314192262264e-46,1.0
LRRC46,14402.235691717306,-0.4170531253973769,0.3768548581970573,-3.315989319002213,0.0009131931892671811,0.0029941449275972597,0.0020681627769643194,1.0
VPS52,750156.0776621206,2.623943478805267,0.08925835808699603,8.060423917674923,7.603032154476514e-16,6.807239022329332e-15,1.7219037853939318e-15,1.0
ARFIP1,206533.74730654145,1.6910774161824593,0.15057831071500768,0.42347991111991445,0.6719451524101346,0.8203090549993053,,0.0
TSPAN32,8307.018116469015,0.13159737233111882,0.27132807781545215,0.25209253265295123,0.8009695416955493,0.895814107296637,,0.0
RDM1,2242.9971865538655,-0.7783020111891774,0.7453727770503883,-1.827638438364683,0.06760383293825824,0.15865426581792652,,0.0
TCN1,73651.15197643291,-0.11581260913205227,0.646492955929491,-4.594178253132116,4.344578905940681e-06,1.828389451808116e-05,9.839425524035503e-06,1.0
VPS33A,150491.62094597635,1.2481670627872308,0.15489976540739497,-1.9762753264797743,0.04812360252297991,0.11845627136332715,,0.0
CCDC136,38574.678354576536,2.3599964507199793,0.31115754227128267,4.629250761522461,3.6699114165784847e-06,1.5549573691144354e-05,8.311466046538103e-06,1.0
ARAP3,198963.8733096734,1.146733864028999,0.27229339843076883,-2.0188551948781126,0.04350227229369167,0.10890855016498009,,0.0
FOXC1,500280.71117385186,2.768201126280508,0.17182061609475113,3.6411089407153043,0.00027146622876411084,0.000948705033529517,0.0006148056688676752,1.0
CHMP6,106230.00297101217,1.5755065089662001,0.19717660203133708,-0.7202683452088149,0.4713597906989454,0.6829376165646835,1.0,0.0
ASS1P13,7908.021460195756,0.11217869035024533,0.33930766939783497,-0.20724541872629978,0.835818198190895,0.9144855977134693,,0.0
TMF1,295896.04354025313,1.8847383427698432,0.11903227124504272,-1.2438981307152421,0.21353705743732798,0.3992910781552136,,0.0
FAM110A,153603.4187748274,1.4430859452340579,0.337143052123168,-0.4896035658952784,0.6244144526563962,0.7957973103494628,,0.0
UPF1,448692.37735565845,0.6163212398534398,0.11001930284010118,-22.977048430768434,7.908247153691554e-117,9.859607138864944e-114,1.7910276364877282e-116,1.0
BUB3P1,394.2662438440872,-0.804364438946862,0.530492118429521,-2.016375492345695,0.0437607262300264,0.10944570797850635,,0.0
EIF2AK2,1729148.0118844495,3.58807824602189,0.08698604705161561,10.56308034741218,4.419175254538889e-26,7.370711369359678e-25,1.0008368298994296e-25,1.0
DNAJB4,149274.73367332402,1.4170386247412838,0.1870109486393531,-1.2371306622461602,0.21603857800754311,0.40245961468943503,,0.0
AOX3P-AOX2P,758.0981000724067,-0.08881554140246117,0.6048955634643534,-0.24381349064100302,0.807375271563353,0.899147047629844,,0.0
GSS,247124.6049959773,0.49729086685650575,0.18381289577721038,-7.963241902336977,1.6758937144221673e-15,1.458583238014546e-14,3.795495891836217e-15,1.0
UBIAD1,133549.93670888705,2.0178823733112576,0.11946349660148119,0.5921193951343127,0.5537706401279502,0.7429793334189098,,0.0
SSR3,1438211.0578528654,1.7009393461600606,0.07270567958595808,0.11671134858095236,0.9070887968741007,0.9517466505388471,1.0,0.0
ARHGAP26,226566.96901586716,1.5808055521320017,0.24042312267655538,0.0796037560402195,0.93655240781145,0.96759620007369,,0.0
NRM,68853.75333461867,0.3459706001524455,0.23614025086892318,-5.897580548023609,3.6887021652168734e-09,2.0148475025122175e-08,8.354022569453473e-09,1.0
CYLD,265694.2082081442,1.6821825424026964,0.14445402307790903,-0.31758230899023343,0.7508017953072962,0.8647225296068097,,0.0
CLDN4,1651814.4997453105,2.255825809673533,0.09766237408261329,1.8740246050657765,0.06092703385953375,0.1455187346060799,0.13798506714690953,0.0
WRAP53,61322.142486092445,1.3728199658874223,0.15304873221865703,0.012897975701254755,0.9897091896492053,0.9948586505192644,,0.0
MRPL13,202163.34224842422,0.6179945216153943,0.2918762597298281,-5.021089777402577,5.137913629806327e-07,2.3378444591098677e-06,1.1636137725633129e-06,1.0
USP39,238242.5136569513,0.35984335303952963,0.18892133892787857,-12.161841927075614,4.962693935081324e-34,1.2499472047601293e-32,1.1239307290758656e-33,1.0
