,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
PCGF1,76295.00303203383,0.8189913329498159,0.3536487030424336,-3.143591628716766,0.0016688815823017414,0.00858355692175607,0.006015932235623835,1.0
NPAS3,9277.702037029354,-0.38471892877048974,0.6234579969220262,-1.0086572305796333,0.31313905006047926,0.5746067734286423,,0.0
USP8,292949.07602771337,2.4954539358128134,0.2148251237972623,-0.6863292351816948,0.4925055173547075,0.7418440445884763,,0.0
YRDC,113024.95840111325,1.3318148769321838,0.346798870559005,-0.38701546829283867,0.698744756535885,0.8858158046645251,,0.0
OSR2,158570.23263626924,2.450840306777481,0.5233765078499661,1.8767874908769098,0.0605472256088891,0.1749103118487248,,0.0
LAPTM4BP2,833.1677606971559,-0.5837490104217711,0.5842801239508952,-1.5474749462229769,0.12174876127367629,0.2999528740712943,,0.0
ZNF730,17770.88898952264,3.2833612180343414,0.9395895163476125,2.887674792524797,0.0038810090390440496,0.017994752877128962,0.013990140242623385,1.0
GPR3,9430.981596952643,0.13373275317041183,0.5948106130824183,0.27090828506985615,0.7864615726703146,0.9330931714749582,,0.0
ATMIN,364312.0599799504,1.907744604186038,0.26850511750917255,0.163048528720562,0.8704802254836942,0.9751662184075296,,0.0
ACSM5,108970.63108750852,1.6809418681557657,0.6839862545764394,0.34468767622889546,0.7303291839505388,0.9009921609122744,,0.0
CHRNA1,2742.7790255985624,0.15753683151619918,0.8076166365882091,0.5039130297163912,0.6143224939217837,0.8336578196648493,,0.0
SH2B2,26766.567995557205,0.12320468093277401,0.5097841464662967,-2.8017129932265754,0.005083207375006054,0.022642965708843932,0.018323787278833242,1.0
PDXK,798722.8747505576,1.258015233684813,0.3251438860819022,-1.6039854771634328,0.10871725383044294,0.27495957036010177,,0.0
LRP4,113314.91460705004,2.575461367984691,0.46347105534438937,2.626999479637593,0.008614146576855988,0.035546714037993817,0.031052006699374655,1.0
EYA2,88035.95672402656,0.9800288617207485,0.5193987163726711,-1.0117052951114536,0.3116789829907539,0.5731914208090183,,0.0
SPATS2,253227.01816847772,2.0578339168072235,0.4023578535638571,1.5381934664210615,0.12400131802121697,0.303652860618819,,0.0
CDH16,53.09369498511076,-0.09192990353747733,0.8141413102562027,-0.36421737949263705,0.7156956900266558,0.8950716711623085,,0.0
FMO4,29645.3278372618,-0.560482929095774,0.420766346691927,-3.582706203160293,0.0003400529952115841,0.0020970635267127235,0.0012258124227677695,1.0
TXNRD3,35698.1907206216,-1.8878495596736395,0.26766125754605014,-8.989314921741318,2.4877624416776087e-19,7.757154263455994e-18,8.967808397058953e-19,1.0
GATA4,530.3278344598119,0.9395694034701589,0.02580905417962535,-7.352866283247478,1.9400099218646913e-13,4.379506561168753e-12,6.993287211114845e-13,1.0
RUFY4,10540.701123639356,0.4744209008175223,0.8971153280557641,0.9117627746894074,0.3618936102864114,0.6253989602323686,,0.0
TMEM69,127553.50549758684,1.4616439924518558,0.35219573868522364,-0.196384924984375,0.8443088946418901,0.9624155706329705,,0.0
MIR1244-1,332016.85249891225,1.9369775109464706,0.2732357515759827,0.5117009908885249,0.6088602925295281,0.8306144935970762,,0.0
