,padjScreen,p_naive,p_aware
AC004923.4,1.0,1.0,1.0
AC004938.2,1.0,1.0,0.0
AC004943.2,1.0,1.0,1.0
AC004947.1,1.0,1.0,1.0
AC004947.2,1.0,1.0,1.0
AC004951.2,1.0,0.0,1.0
AC004967.2,1.0,1.0,0.0
AC004980.1,1.0,1.0,1.0
AC004982.1,1.0,1.0,1.0
AC004982.2,1.0,1.0,0.0
AC004990.1,0.0,0.0,0.0
AC005041.1,1.0,0.0,1.0
AC005046.1,1.0,0.0,1.0
AC005052.2,1.0,1.0,1.0
AC005070.3,1.0,1.0,1.0
AC005076.1,1.0,1.0,1.0
AC005077.4,1.0,1.0,1.0
AC005082.1,0.0,0.0,0.0
AC005083.1,1.0,1.0,0.0
AC005100.1,1.0,1.0,1.0
AC005104.1,0.0,0.0,0.0
AC005154.2,1.0,1.0,1.0
AC005162.2,1.0,1.0,1.0
AC005165.1,1.0,1.0,1.0
AC005180.1,1.0,1.0,1.0
AC005180.2,1.0,1.0,1.0
AC005224.3,1.0,1.0,1.0
AC005225.4,1.0,1.0,1.0
AC005229.4,1.0,1.0,0.0
AC005253.1,0.0,0.0,0.0
AC005261.1,1.0,0.0,1.0
AC005264.1,1.0,1.0,1.0
AC005332.1,1.0,0.0,1.0
AC005332.2,1.0,0.0,1.0
AC005332.3,1.0,0.0,1.0
AC005332.4,1.0,1.0,1.0
AC005332.5,1.0,1.0,0.0
AC005332.6,1.0,1.0,1.0
AC005476.2,1.0,0.0,1.0
AC005479.1,1.0,1.0,1.0
AC005479.2,1.0,1.0,1.0
AC005498.3,1.0,1.0,1.0
AC005519.1,0.0,0.0,0.0
AC005520.2,0.0,0.0,0.0
AC005586.1,1.0,1.0,1.0
AC005618.1,1.0,1.0,1.0
AC005632.3,1.0,1.0,1.0
AC005670.3,1.0,1.0,1.0
AC005674.1,1.0,1.0,1.0
AC005682.1,1.0,1.0,1.0
AC005696.4,0.0,0.0,0.0
AC005740.4,1.0,1.0,1.0
AC005753.3,1.0,1.0,1.0
AC005776.2,0.0,0.0,0.0
AC005785.1,1.0,1.0,1.0
AC005785.2,1.0,1.0,1.0
AC005829.2,0.0,0.0,0.0
AC005831.1,1.0,1.0,1.0
AC005839.1,1.0,1.0,0.0
AC005840.2,0.0,0.0,0.0
AC005840.4,1.0,1.0,1.0
AC005856.1,1.0,1.0,1.0
AC005899.6,1.0,1.0,1.0
AC005912.1,0.0,0.0,0.0
AC005962.1,1.0,1.0,1.0
AC005962.2,1.0,0.0,1.0
AC005972.3,0.0,0.0,0.0
AC006001.2,1.0,1.0,1.0
AC006001.3,1.0,0.0,1.0
AC006008.1,0.0,0.0,0.0
AC006033.2,1.0,1.0,1.0
AC006042.1,1.0,1.0,0.0
AC006042.2,0.0,0.0,0.0
AC006042.3,1.0,1.0,1.0
AC006058.1,1.0,1.0,1.0
AC006058.4,1.0,1.0,1.0
AC006059.1,1.0,1.0,1.0
AC006128.1,0.0,0.0,0.0
AC006130.3,1.0,1.0,1.0
AC006160.1,0.0,0.0,0.0
AC006213.2,0.0,0.0,0.0
AC006213.4,0.0,0.0,0.0
AC006230.1,1.0,1.0,1.0
AC006238.1,1.0,1.0,1.0
AC006254.1,1.0,1.0,1.0
AC006273.1,1.0,1.0,1.0
AC006330.1,0.0,0.0,0.0
AC006378.1,0.0,0.0,0.0
AC006435.2,0.0,0.0,0.0
AC006449.2,1.0,0.0,1.0
AC006449.6,1.0,0.0,1.0
AC006460.1,0.0,0.0,0.0
AC006460.2,1.0,0.0,1.0
AC006480.2,0.0,0.0,0.0
AC006504.1,0.0,0.0,0.0
AC006504.5,1.0,1.0,0.0
AC006504.7,0.0,0.0,0.0
AC006511.3,0.0,0.0,0.0
AC006538.1,1.0,1.0,1.0
AC006547.1,1.0,1.0,1.0
AC006978.1,1.0,0.0,1.0
AC006994.1,1.0,1.0,1.0
AC007038.1,0.0,0.0,0.0
AC007066.2,1.0,1.0,1.0
AC007098.1,1.0,0.0,1.0
AC007114.1,1.0,0.0,1.0
AC007114.2,1.0,1.0,1.0
AC007182.1,1.0,1.0,1.0
AC007191.1,1.0,1.0,0.0
AC007216.3,1.0,1.0,1.0
AC007238.1,1.0,0.0,1.0
AC007277.1,1.0,1.0,1.0
AC007278.1,1.0,1.0,1.0
AC007319.1,1.0,0.0,1.0
AC007336.1,1.0,1.0,1.0
AC007342.3,1.0,1.0,1.0
AC007342.4,1.0,1.0,1.0
AC007342.5,1.0,1.0,1.0
AC007342.7,1.0,1.0,1.0
AC007342.8,1.0,1.0,1.0
AC007342.9,1.0,1.0,1.0
AC007383.1,1.0,1.0,1.0
AC007384.1,1.0,0.0,1.0
AC007390.1,1.0,0.0,1.0
AC007405.1,1.0,1.0,1.0
AC007405.3,1.0,1.0,1.0
AC007406.3,1.0,1.0,1.0
AC007406.4,1.0,1.0,1.0
AC007448.5,0.0,0.0,0.0
AC007485.2,1.0,1.0,0.0
AC007541.1,0.0,0.0,0.0
AC007552.2,1.0,1.0,0.0
AC007566.1,1.0,1.0,1.0
AC007608.1,1.0,1.0,1.0
AC007608.3,1.0,0.0,1.0
AC007611.1,1.0,1.0,1.0
AC007613.1,1.0,1.0,1.0
AC007637.1,1.0,1.0,1.0
AC007663.1,1.0,0.0,1.0
AC007663.2,1.0,1.0,1.0
AC007671.1,1.0,1.0,1.0
AC007681.1,1.0,1.0,1.0
AC007686.3,1.0,1.0,1.0
AC007728.2,1.0,1.0,1.0
AC007731.1,1.0,1.0,1.0
AC007743.1,1.0,1.0,1.0
AC007773.1,1.0,1.0,1.0
AC007842.1,1.0,1.0,0.0
AC007877.1,1.0,1.0,1.0
AC007878.1,1.0,1.0,1.0
AC007881.4,0.0,0.0,0.0
AC007906.2,1.0,1.0,1.0
AC007920.2,1.0,1.0,1.0
AC007938.3,1.0,0.0,1.0
AC007996.1,1.0,1.0,1.0
AC007998.3,0.0,0.0,0.0
AC008014.1,1.0,1.0,0.0
AC008026.1,1.0,1.0,0.0
AC008038.1,1.0,1.0,0.0
AC008074.2,0.0,0.0,0.0
AC008079.1,0.0,0.0,0.0
AC008105.1,0.0,0.0,0.0
AC008105.2,1.0,1.0,0.0
AC008105.3,1.0,1.0,0.0
AC008115.3,1.0,1.0,1.0
AC008115.4,1.0,1.0,1.0
AC008124.1,1.0,1.0,1.0
AC008267.3,1.0,1.0,1.0
AC008268.1,1.0,1.0,1.0
AC008269.1,1.0,1.0,1.0
AC008280.2,1.0,1.0,1.0
AC008393.1,1.0,0.0,1.0
AC008397.2,1.0,1.0,1.0
AC008429.1,1.0,1.0,1.0
AC008438.1,1.0,0.0,1.0
AC008453.2,1.0,1.0,1.0
AC008467.1,0.0,0.0,0.0
AC008498.1,1.0,1.0,1.0
AC008507.1,1.0,0.0,1.0
