,truth_class,DE_naive,DE_aware,predicted_class,sample_size,cn_signal,replicate
PSMD10P3,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC00479,DIG,True,True,DIG,60,strong,2
LAMTOR2,DCG,False,True,DCG,60,strong,2
DENND11,DSG,True,False,DSG,60,strong,2
NARS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
ZNF202,NEUTRAL,False,False,NEUTRAL,60,strong,2
TMEM196,DSG,False,False,NEUTRAL,60,strong,2
FAM149B1P1,DIG,True,True,DIG,60,strong,2
LINC02752,NEUTRAL,False,False,NEUTRAL,60,strong,2
NDUFV2P1,DSG,False,False,NEUTRAL,60,strong,2
GAR1,NEUTRAL,False,False,NEUTRAL,60,strong,2
SGTA,NEUTRAL,False,False,NEUTRAL,60,strong,2
ZFAT,DCG,False,True,DCG,60,strong,2
TAL2,NEUTRAL,False,False,NEUTRAL,60,strong,2
PPM1H,DIG,True,True,DIG,60,strong,2
SLC12A3,NEUTRAL,False,False,NEUTRAL,60,strong,2
EDRF1,NEUTRAL,False,False,NEUTRAL,60,strong,2
COPB1,DIG,True,True,DIG,60,strong,2
MIR196B,DSG,False,False,NEUTRAL,60,strong,2
SPTLC1P5,NEUTRAL,False,False,NEUTRAL,60,strong,2
KCTD7,DSG,True,False,DSG,60,strong,2
SNN,DCG,False,True,DCG,60,strong,2
RPL7AP66,NEUTRAL,False,False,NEUTRAL,60,strong,2
RPL12P17,NEUTRAL,False,False,NEUTRAL,60,strong,2
PPAT,DIG,True,True,DIG,60,strong,2
AACS,DIG,True,True,DIG,60,strong,2
ATP6V0D1,NEUTRAL,False,False,NEUTRAL,60,strong,2
TPT1P5,DCG,False,True,DCG,60,strong,2
RPS9,DSG,True,False,DSG,60,strong,2
TBX5,NEUTRAL,False,False,NEUTRAL,60,strong,2
NPAS3,DIG,True,True,DIG,60,strong,2
SLC35C1,DIG,True,True,DIG,60,strong,2
LNCOC1,DCG,False,True,DCG,60,strong,2
SCAT2,DIG,True,True,DIG,60,strong,2
RNMT,DIG,True,True,DIG,60,strong,2
C2CD4D-AS1,DCG,False,True,DCG,60,strong,2
