,truth_class,DE_naive,DE_aware,predicted_class,sample_size,cn_signal,replicate
JMJD6,DCG,True,True,DIG,60,strong,2
PLA2G12AP1,NEUTRAL,False,False,NEUTRAL,60,strong,2
VEGFA,DSG,False,False,NEUTRAL,60,strong,2
RHO,DSG,False,False,NEUTRAL,60,strong,2
TK1,DCG,False,False,NEUTRAL,60,strong,2
DSP,DSG,True,False,DSG,60,strong,2
HIP1,DSG,True,False,DSG,60,strong,2
CD58,DIG,True,True,DIG,60,strong,2
LYRM9,DSG,True,True,DIG,60,strong,2
ZNF700,DIG,True,True,DIG,60,strong,2
ITGA4,DIG,True,True,DIG,60,strong,2
FOXQ1,DIG,True,True,DIG,60,strong,2
UBR7,NEUTRAL,False,False,NEUTRAL,60,strong,2
C14orf93,DIG,True,True,DIG,60,strong,2
GCA,NEUTRAL,False,False,NEUTRAL,60,strong,2
LIG4,DIG,True,True,DIG,60,strong,2
GATAD2B,DCG,False,True,DCG,60,strong,2
OR13E1P,DIG,True,True,DIG,60,strong,2
ZKSCAN3,DSG,True,False,DSG,60,strong,2
AVPR1A,DIG,True,True,DIG,60,strong,2
TP53,NEUTRAL,False,False,NEUTRAL,60,strong,2
NUDT3,DSG,True,False,DSG,60,strong,2
CACNA1G,DCG,False,True,DCG,60,strong,2
GATA3,DCG,False,False,NEUTRAL,60,strong,2
NID1,DCG,False,True,DCG,60,strong,2
DIS3L2,NEUTRAL,False,False,NEUTRAL,60,strong,2
CYP51A1P3,DIG,False,False,NEUTRAL,60,strong,2
SPTY2D1,DIG,True,True,DIG,60,strong,2
FBN3,DIG,True,True,DIG,60,strong,2
DNMT3B,DCG,False,True,DCG,60,strong,2
ANXA6,DIG,True,True,DIG,60,strong,2
EMID1,NEUTRAL,False,False,NEUTRAL,60,strong,2
DPT,DCG,False,True,DCG,60,strong,2
CPO,NEUTRAL,True,True,DIG,60,strong,2
BGLAP,DCG,False,True,DCG,60,strong,2
FNDC3B,DCG,False,True,DCG,60,strong,2
GINM1,DIG,True,True,DIG,60,strong,2
DEF6,DIG,True,True,DIG,60,strong,2
MFFP2,DIG,True,True,DIG,60,strong,2
YBX2,NEUTRAL,False,False,NEUTRAL,60,strong,2
INAVA,DCG,False,False,NEUTRAL,60,strong,2
CCDC158,DIG,True,True,DIG,60,strong,2
IKZF4,DIG,True,True,DIG,60,strong,2
STRIP2,DSG,True,False,DSG,60,strong,2
MAPK14,DSG,True,False,DSG,60,strong,2
AMPH,DSG,True,False,DSG,60,strong,2
MMAB,DIG,True,True,DIG,60,strong,2
CBY2,NEUTRAL,False,False,NEUTRAL,60,strong,2
DSCC1,DCG,False,True,DCG,60,strong,2
JMJD7,NEUTRAL,False,False,NEUTRAL,60,strong,2
PPP4R4,NEUTRAL,False,False,NEUTRAL,60,strong,2
GLYAT,DIG,True,True,DIG,60,strong,2
JCHAIN,DIG,True,False,DSG,60,strong,2
NRADDP,NEUTRAL,False,False,NEUTRAL,60,strong,2
TMPRSS11CP,NEUTRAL,False,False,NEUTRAL,60,strong,2
NAPA,DIG,True,True,DIG,60,strong,2
MAP3K1,DIG,True,True,DIG,60,strong,2
RPL23AP32,DIG,False,False,NEUTRAL,60,strong,2
OR51E2,NEUTRAL,False,False,NEUTRAL,60,strong,2
HDGF,DCG,False,True,DCG,60,strong,2
TLR10,NEUTRAL,False,False,NEUTRAL,60,strong,2
TROAP,DIG,True,True,DIG,60,strong,2
ACO2,NEUTRAL,False,False,NEUTRAL,60,strong,2
TSPEAR-AS1,DSG,True,False,DSG,60,strong,2
PPM1K-DT,NEUTRAL,False,False,NEUTRAL,60,strong,2
UBE2O,DCG,False,True,DCG,60,strong,2
RAC1P5,NEUTRAL,False,False,NEUTRAL,60,strong,2
MAPK6P3,NEUTRAL,False,False,NEUTRAL,60,strong,2
MON1B,NEUTRAL,False,False,NEUTRAL,60,strong,2
COL8A1,DIG,True,True,DIG,60,strong,2
LINC01393,DIG,True,True,DIG,60,strong,2
UCHL5,DCG,False,True,DCG,60,strong,2
MIR3934,DSG,True,False,DSG,60,strong,2
NME6,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC01711,DCG,False,True,DCG,60,strong,2
SLC43A2,NEUTRAL,False,False,NEUTRAL,60,strong,2
PIGH,NEUTRAL,False,False,NEUTRAL,60,strong,2
ZSCAN5B,DSG,True,False,DSG,60,strong,2
ZNF404,DIG,True,True,DIG,60,strong,2
KPRP,DCG,False,True,DCG,60,strong,2
CXCL11,DIG,True,True,DIG,60,strong,2
CACNA2D3,NEUTRAL,False,False,NEUTRAL,60,strong,2
SERPINA11,NEUTRAL,False,False,NEUTRAL,60,strong,2
MED20,DSG,True,False,DSG,60,strong,2
TG,DCG,False,True,DCG,60,strong,2
ALPL,NEUTRAL,False,False,NEUTRAL,60,strong,2
CLEC16A,DCG,True,True,DIG,60,strong,2
ABCA6,DCG,False,True,DCG,60,strong,2
EEF1E1,DSG,True,False,DSG,60,strong,2
IRF2BPL,NEUTRAL,False,False,NEUTRAL,60,strong,2
ADAMTS16,DCG,False,True,DCG,60,strong,2
TMEM170B,DSG,True,False,DSG,60,strong,2
SLC2A3P1,DIG,True,True,DIG,60,strong,2
MUCL3,DSG,False,False,NEUTRAL,60,strong,2
CEACAM1,DIG,True,True,DIG,60,strong,2
NBEAL2,NEUTRAL,False,False,NEUTRAL,60,strong,2
ALDH8A1,DIG,True,False,DSG,60,strong,2
HSPA2,NEUTRAL,False,False,NEUTRAL,60,strong,2
EIF3LP2,DIG,True,True,DIG,60,strong,2
TMEM143,DIG,True,True,DIG,60,strong,2
VRK2,DIG,True,True,DIG,60,strong,2
ZKSCAN8,DSG,True,False,DSG,60,strong,2
RNU4-78P,NEUTRAL,False,False,NEUTRAL,60,strong,2
CRK,NEUTRAL,False,False,NEUTRAL,60,strong,2
MPDZ,DIG,True,True,DIG,60,strong,2
TBC1D8-AS1,DIG,True,True,DIG,60,strong,2
LINC00881,DCG,False,False,NEUTRAL,60,strong,2
LINC01505,NEUTRAL,False,False,NEUTRAL,60,strong,2
EFCAB8,DCG,False,True,DCG,60,strong,2
C15orf48,NEUTRAL,False,False,NEUTRAL,60,strong,2
AXDND1,DCG,False,True,DCG,60,strong,2
DHX15,NEUTRAL,True,True,DIG,60,strong,2
AMIGO3,NEUTRAL,False,False,NEUTRAL,60,strong,2
MED28P3,DIG,False,True,DCG,60,strong,2
SNTA1,DCG,False,True,DCG,60,strong,2
ANAPC4,NEUTRAL,False,False,NEUTRAL,60,strong,2
SERGEF,DIG,True,True,DIG,60,strong,2
RPS25P3,DIG,True,True,DIG,60,strong,2
LINC01936,DIG,True,True,DIG,60,strong,2
NEB,NEUTRAL,False,False,NEUTRAL,60,strong,2
SEMA4F,DIG,True,True,DIG,60,strong,2
TMEM204,DCG,False,True,DCG,60,strong,2
TTC21B-AS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
MAP3K12,DIG,True,True,DIG,60,strong,2
LINC01141,NEUTRAL,False,False,NEUTRAL,60,strong,2
SMIM2-AS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
ZNRF2P2,DSG,True,False,DSG,60,strong,2
GZMB,DIG,True,False,DSG,60,strong,2
TRRAP,DSG,True,False,DSG,60,strong,2
KLHL29,DIG,True,True,DIG,60,strong,2
ZNF879,DIG,True,True,DIG,60,strong,2
UBQLN3,NEUTRAL,False,False,NEUTRAL,60,strong,2
EPAS1,DIG,True,True,DIG,60,strong,2
INSYN2B,DIG,True,True,DIG,60,strong,2
CHID1,NEUTRAL,False,False,NEUTRAL,60,strong,2
PLLP,NEUTRAL,False,False,NEUTRAL,60,strong,2
GDNF,DCG,False,True,DCG,60,strong,2
XPC-AS1,DIG,True,True,DIG,60,strong,2
LINC-PINT,DSG,True,False,DSG,60,strong,2
NCKAP1,DIG,True,True,DIG,60,strong,2
TTK,DIG,True,True,DIG,60,strong,2
DSG3,NEUTRAL,False,False,NEUTRAL,60,strong,2
SLC25A39,NEUTRAL,False,False,NEUTRAL,60,strong,2
ADSL,NEUTRAL,False,False,NEUTRAL,60,strong,2
RPS15AP12,DCG,False,True,DCG,60,strong,2
MIR641,DSG,True,False,DSG,60,strong,2
SMIM17,DSG,True,False,DSG,60,strong,2
C2CD2L,NEUTRAL,False,False,NEUTRAL,60,strong,2
FMN2,DCG,False,True,DCG,60,strong,2
SDHAF3,DSG,True,False,DSG,60,strong,2
SMAD5,NEUTRAL,False,False,NEUTRAL,60,strong,2
IL7R,DCG,False,True,DCG,60,strong,2
MMP20,NEUTRAL,True,True,DIG,60,strong,2
PSMD12,DCG,False,True,DCG,60,strong,2
ESCO2,NEUTRAL,False,False,NEUTRAL,60,strong,2
NCOA4P4,DIG,True,True,DIG,60,strong,2
ERICH3-AS1,NEUTRAL,False,True,DCG,60,strong,2
KRT73,DIG,True,True,DIG,60,strong,2
AGAP2-AS1,DIG,True,True,DIG,60,strong,2
SNX10,DSG,True,False,DSG,60,strong,2
SGK1,DIG,True,True,DIG,60,strong,2
SLC25A1P5,DSG,True,False,DSG,60,strong,2
GOSR1,DIG,True,True,DIG,60,strong,2
HDAC1P2,DCG,False,True,DCG,60,strong,2
TTC39A,NEUTRAL,False,False,NEUTRAL,60,strong,2
RNF38,DIG,True,True,DIG,60,strong,2
YTHDF2,NEUTRAL,False,False,NEUTRAL,60,strong,2
PRKAR2B-AS1,DSG,True,False,DSG,60,strong,2
HAUS4,DIG,True,True,DIG,60,strong,2
ZBTB48,NEUTRAL,False,False,NEUTRAL,60,strong,2
IGFN1,DCG,False,True,DCG,60,strong,2
CYP2B7P,DIG,True,True,DIG,60,strong,2
MKNK1-AS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
KCTD18,NEUTRAL,False,False,NEUTRAL,60,strong,2
PTGR2,NEUTRAL,False,False,NEUTRAL,60,strong,2
DIP2B,DIG,True,True,DIG,60,strong,2
FBXL13,DSG,True,False,DSG,60,strong,2
GORASP1,NEUTRAL,False,False,NEUTRAL,60,strong,2
ETS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
GPATCH2L,NEUTRAL,False,False,NEUTRAL,60,strong,2
SNHG6,DCG,False,True,DCG,60,strong,2
RCOR3,DCG,False,True,DCG,60,strong,2
LDLRAD2,NEUTRAL,False,False,NEUTRAL,60,strong,2
USP46-DT,DIG,True,True,DIG,60,strong,2
RBM24,DSG,True,False,DSG,60,strong,2
CSRNP3,NEUTRAL,False,False,NEUTRAL,60,strong,2
HOXA5,DSG,True,False,DSG,60,strong,2
TENT2,NEUTRAL,False,False,NEUTRAL,60,strong,2
LAMP1,DIG,True,True,DIG,60,strong,2
ZFAT-AS1,DCG,True,True,DIG,60,strong,2
USO1,DIG,True,True,DIG,60,strong,2
PER2,NEUTRAL,False,False,NEUTRAL,60,strong,2
MEF2B,DIG,True,True,DIG,60,strong,2
NEK10,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC00668,NEUTRAL,False,True,DCG,60,strong,2
LINC02561,DCG,False,False,NEUTRAL,60,strong,2
MAILR,DCG,False,True,DCG,60,strong,2
SOX30,DIG,True,True,DIG,60,strong,2
LIN7B,DIG,True,True,DIG,60,strong,2
B3GAT2,DIG,True,True,DIG,60,strong,2
CBL,NEUTRAL,False,False,NEUTRAL,60,strong,2
CCT7P1,DIG,True,True,DIG,60,strong,2
ELL2P1,DCG,False,True,DCG,60,strong,2
SCAPER,NEUTRAL,False,False,NEUTRAL,60,strong,2
DNAJC8,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC01797,DIG,False,False,NEUTRAL,60,strong,2
CCP110,DCG,False,True,DCG,60,strong,2
ASS1P13,NEUTRAL,False,False,NEUTRAL,60,strong,2
DCHS2,NEUTRAL,False,False,NEUTRAL,60,strong,2
MX2,DIG,True,True,DIG,60,strong,2
DHRS4,DIG,True,True,DIG,60,strong,2
TM9SF3,NEUTRAL,False,False,NEUTRAL,60,strong,2
KCMF1,DIG,True,True,DIG,60,strong,2
MTFP1,NEUTRAL,False,False,NEUTRAL,60,strong,2
SRP19,NEUTRAL,False,False,NEUTRAL,60,strong,2
CMPK1,NEUTRAL,False,False,NEUTRAL,60,strong,2
CDH2,DIG,True,True,DIG,60,strong,2
CACHD1,NEUTRAL,False,False,NEUTRAL,60,strong,2
MORN3,DIG,True,True,DIG,60,strong,2
KRT8P45,DCG,False,True,DCG,60,strong,2
CCDC106,DSG,True,False,DSG,60,strong,2
SYT5,DSG,False,False,NEUTRAL,60,strong,2
OTUD4,NEUTRAL,True,True,DIG,60,strong,2
ZNF542P,DSG,True,False,DSG,60,strong,2
ACTG1P9,DSG,True,False,DSG,60,strong,2
MORF4,NEUTRAL,False,False,NEUTRAL,60,strong,2
BORCS7,NEUTRAL,False,False,NEUTRAL,60,strong,2
DLGAP2,NEUTRAL,False,False,NEUTRAL,60,strong,2
UFL1-AS1,DIG,True,True,DIG,60,strong,2
PRAL,NEUTRAL,False,False,NEUTRAL,60,strong,2
TLE3,NEUTRAL,False,False,NEUTRAL,60,strong,2
MS4A6E,DIG,True,True,DIG,60,strong,2
RASA3,DIG,True,True,DIG,60,strong,2
C1QBP,NEUTRAL,True,True,DIG,60,strong,2
KRT18P27,NEUTRAL,False,False,NEUTRAL,60,strong,2
BTBD2,NEUTRAL,False,False,NEUTRAL,60,strong,2
EMILIN3,DCG,False,True,DCG,60,strong,2
RNU6ATAC18P,NEUTRAL,False,False,NEUTRAL,60,strong,2
EP300-AS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
RBPMS,NEUTRAL,False,False,NEUTRAL,60,strong,2
NCOA4P2,NEUTRAL,False,False,NEUTRAL,60,strong,2
DENND4A,NEUTRAL,False,False,NEUTRAL,60,strong,2
RPS8P4,NEUTRAL,False,False,NEUTRAL,60,strong,2
ANXA2P3,DIG,True,True,DIG,60,strong,2
ACADL,NEUTRAL,True,True,DIG,60,strong,2
TMEM200C,NEUTRAL,False,False,NEUTRAL,60,strong,2
MIR622,NEUTRAL,False,False,NEUTRAL,60,strong,2
CARD6,DCG,True,True,DIG,60,strong,2
MYL6P3,DIG,True,True,DIG,60,strong,2
CREB3L3,NEUTRAL,False,False,NEUTRAL,60,strong,2
ADH4,NEUTRAL,False,False,NEUTRAL,60,strong,2
TSEN34,DSG,True,False,DSG,60,strong,2
BTLA,DSG,False,False,NEUTRAL,60,strong,2
THADA,DIG,True,True,DIG,60,strong,2
ZNF569,DSG,True,False,DSG,60,strong,2
ADGRE5,DIG,True,True,DIG,60,strong,2
SLC9A1,NEUTRAL,False,False,NEUTRAL,60,strong,2
NFE2L3,DSG,True,False,DSG,60,strong,2
RPS26P19,NEUTRAL,False,False,NEUTRAL,60,strong,2
AMHR2,DIG,True,True,DIG,60,strong,2
NRXN1,DIG,False,False,NEUTRAL,60,strong,2
PPP2R3A,DSG,True,False,DSG,60,strong,2
PRKAR2B,DSG,False,False,NEUTRAL,60,strong,2
ZNF814,DSG,True,False,DSG,60,strong,2
KRT8P32,NEUTRAL,False,False,NEUTRAL,60,strong,2
STT3A,NEUTRAL,False,False,NEUTRAL,60,strong,2
DDX24,NEUTRAL,False,False,NEUTRAL,60,strong,2
ATP6V1E1P1,DIG,True,True,DIG,60,strong,2
ACOT8,DCG,True,True,DIG,60,strong,2
PTCHD4,DSG,True,False,DSG,60,strong,2
CDKL1,DIG,True,True,DIG,60,strong,2
OSBPL9,NEUTRAL,False,False,NEUTRAL,60,strong,2
HNRNPA1P6,DIG,True,True,DIG,60,strong,2
PIK3R2,DIG,True,True,DIG,60,strong,2
CAP1,DIG,True,True,DIG,60,strong,2
BRCA2,NEUTRAL,False,False,NEUTRAL,60,strong,2
KRT9,DIG,False,True,DCG,60,strong,2
ETV5,DCG,False,True,DCG,60,strong,2
RPAP2,NEUTRAL,False,False,NEUTRAL,60,strong,2
EEPD1,DSG,True,False,DSG,60,strong,2
POLD2P1,NEUTRAL,False,False,NEUTRAL,60,strong,2
CADM3,DCG,True,False,DSG,60,strong,2
ARHGAP32,NEUTRAL,False,False,NEUTRAL,60,strong,2
TENT5B,NEUTRAL,False,False,NEUTRAL,60,strong,2
RDH10,DCG,False,True,DCG,60,strong,2
TELO2,DCG,False,True,DCG,60,strong,2
PRIMPOL,NEUTRAL,False,False,NEUTRAL,60,strong,2
NBPF3,NEUTRAL,False,False,NEUTRAL,60,strong,2
NUDT12,NEUTRAL,False,False,NEUTRAL,60,strong,2
FTH1P20,NEUTRAL,False,False,NEUTRAL,60,strong,2
PCDHGB4,DIG,True,True,DIG,60,strong,2
SETD4-AS1,DIG,True,True,DIG,60,strong,2
LINC00528,NEUTRAL,False,False,NEUTRAL,60,strong,2
RMND5B,DIG,True,True,DIG,60,strong,2
ZFHX2-AS1,DIG,True,True,DIG,60,strong,2
PUM2,DIG,True,True,DIG,60,strong,2
SALL3,NEUTRAL,False,False,NEUTRAL,60,strong,2
DPYSL2,NEUTRAL,False,False,NEUTRAL,60,strong,2
LRRC38,NEUTRAL,False,False,NEUTRAL,60,strong,2
ZNF638,DIG,True,True,DIG,60,strong,2
VWA2,NEUTRAL,False,False,NEUTRAL,60,strong,2
IMPDH1P9,DSG,True,False,DSG,60,strong,2
ERP44,NEUTRAL,False,False,NEUTRAL,60,strong,2
RPS3AP47,NEUTRAL,False,False,NEUTRAL,60,strong,2
MAPRE1,DCG,False,True,DCG,60,strong,2
LINC02450,DIG,False,False,NEUTRAL,60,strong,2
GTSE1-DT,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC00303,DCG,False,False,NEUTRAL,60,strong,2
SNORD107,NEUTRAL,False,False,NEUTRAL,60,strong,2
MIR6796,DSG,True,False,DSG,60,strong,2
MTG1,NEUTRAL,False,False,NEUTRAL,60,strong,2
GNPAT,DCG,False,True,DCG,60,strong,2
RPL3P6,DIG,True,True,DIG,60,strong,2
LINC01668,DIG,True,True,DIG,60,strong,2
CHRNA9,NEUTRAL,False,False,NEUTRAL,60,strong,2
SMAD9-IT1,NEUTRAL,False,False,NEUTRAL,60,strong,2
OR52B3P,NEUTRAL,False,False,NEUTRAL,60,strong,2
CFAP300,NEUTRAL,False,False,NEUTRAL,60,strong,2
SIN3A,NEUTRAL,False,False,NEUTRAL,60,strong,2
NEMP1,DIG,True,True,DIG,60,strong,2
NAA15,NEUTRAL,False,False,NEUTRAL,60,strong,2
TP53INP2,DCG,True,True,DIG,60,strong,2
ELF3,DCG,False,True,DCG,60,strong,2
NEK11,DSG,True,False,DSG,60,strong,2
FBF1,DCG,False,True,DCG,60,strong,2
THAP9-AS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
POU5F2,NEUTRAL,False,False,NEUTRAL,60,strong,2
DHRS2,DIG,True,True,DIG,60,strong,2
RPL21P16,NEUTRAL,False,False,NEUTRAL,60,strong,2
PCDHA13,DIG,True,True,DIG,60,strong,2
H2AZ2P1,DIG,True,True,DIG,60,strong,2
SCHIP1,DSG,True,False,DSG,60,strong,2
TMEM198,NEUTRAL,False,False,NEUTRAL,60,strong,2
ARSJ,NEUTRAL,False,False,NEUTRAL,60,strong,2
MIR3936,DIG,True,True,DIG,60,strong,2
SCN4A,DCG,True,True,DIG,60,strong,2
ZDHHC4,DSG,True,False,DSG,60,strong,2
PEX14,NEUTRAL,False,False,NEUTRAL,60,strong,2
FKRP,DIG,False,True,DCG,60,strong,2
SPINK7,DIG,True,True,DIG,60,strong,2
GLG1,NEUTRAL,False,False,NEUTRAL,60,strong,2
SNORD89,DIG,True,True,DIG,60,strong,2
PDZD2,DCG,False,True,DCG,60,strong,2
IMPACT,DIG,True,True,DIG,60,strong,2
WSB2,DIG,True,True,DIG,60,strong,2
AREG,DIG,False,False,NEUTRAL,60,strong,2
HNRNPA3P8,NEUTRAL,False,False,NEUTRAL,60,strong,2
H3P6,NEUTRAL,False,False,NEUTRAL,60,strong,2
AHNAK,DIG,False,True,DCG,60,strong,2
FXYD3,DSG,True,False,DSG,60,strong,2
CHAF1B,DIG,True,True,DIG,60,strong,2
UCN2,NEUTRAL,False,False,NEUTRAL,60,strong,2
ARL6IP6,NEUTRAL,False,False,NEUTRAL,60,strong,2
HPS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC02145,DCG,False,True,DCG,60,strong,2
GALNT15,DIG,True,True,DIG,60,strong,2
RPS3A,NEUTRAL,False,True,DCG,60,strong,2
ZDHHC22,NEUTRAL,False,False,NEUTRAL,60,strong,2
NEDD8P1,NEUTRAL,False,False,NEUTRAL,60,strong,2
CACNG4,DCG,False,True,DCG,60,strong,2
LAMC1-AS1,DCG,False,False,NEUTRAL,60,strong,2
MMP3,NEUTRAL,False,False,NEUTRAL,60,strong,2
ZFR2,NEUTRAL,False,False,NEUTRAL,60,strong,2
CYP2T1P,DSG,True,False,DSG,60,strong,2
SEC61A1,DSG,True,False,DSG,60,strong,2
MIR940,DCG,True,True,DIG,60,strong,2
TGM1,DIG,False,True,DCG,60,strong,2
MIR4793,NEUTRAL,False,False,NEUTRAL,60,strong,2
RPL9P18,DIG,True,True,DIG,60,strong,2
EAF1-AS1,DIG,True,True,DIG,60,strong,2
PDGFRL,NEUTRAL,False,False,NEUTRAL,60,strong,2
MS4A6A,DIG,True,True,DIG,60,strong,2
BTN3A2,DSG,True,False,DSG,60,strong,2
TINF2,DIG,False,False,NEUTRAL,60,strong,2
PWAR1,NEUTRAL,False,False,NEUTRAL,60,strong,2
ARHGAP17,DCG,False,True,DCG,60,strong,2
SSTR5,DCG,False,True,DCG,60,strong,2
GMCL2,DIG,True,True,DIG,60,strong,2
DSC3,NEUTRAL,False,False,NEUTRAL,60,strong,2
COX6B1P5,NEUTRAL,False,False,NEUTRAL,60,strong,2
CDHR2,DIG,False,False,NEUTRAL,60,strong,2
SYT4,NEUTRAL,False,False,NEUTRAL,60,strong,2
HERC2P10,NEUTRAL,False,False,NEUTRAL,60,strong,2
ALG1L3P,NEUTRAL,False,False,NEUTRAL,60,strong,2
FAM32A,DIG,False,False,NEUTRAL,60,strong,2
LINC01233,DIG,True,True,DIG,60,strong,2
GATM,NEUTRAL,False,False,NEUTRAL,60,strong,2
TSN,NEUTRAL,False,False,NEUTRAL,60,strong,2
TIGD2,NEUTRAL,False,False,NEUTRAL,60,strong,2
RPUSD4,NEUTRAL,False,False,NEUTRAL,60,strong,2
TESC-AS1,DIG,True,True,DIG,60,strong,2
VAV1,DIG,True,True,DIG,60,strong,2
FAM47E,DIG,True,True,DIG,60,strong,2
ERCC3,NEUTRAL,False,False,NEUTRAL,60,strong,2
COX8C,NEUTRAL,False,False,NEUTRAL,60,strong,2
ISCA1P6,NEUTRAL,False,False,NEUTRAL,60,strong,2
HFE,DSG,True,False,DSG,60,strong,2
ATP6V0CP3,DSG,True,False,DSG,60,strong,2
SEMA6A,DIG,True,True,DIG,60,strong,2
NUDT7,NEUTRAL,False,False,NEUTRAL,60,strong,2
CRHBP,NEUTRAL,False,False,NEUTRAL,60,strong,2
NHP2P2,DSG,True,False,DSG,60,strong,2
ARID5B,DIG,True,True,DIG,60,strong,2
ZNF829,DSG,True,False,DSG,60,strong,2
MEIS1,DIG,True,True,DIG,60,strong,2
GATA5,DCG,False,True,DCG,60,strong,2
SNORD97,NEUTRAL,False,False,NEUTRAL,60,strong,2
DNAJC27,DIG,True,True,DIG,60,strong,2
MINDY3,DCG,False,True,DCG,60,strong,2
MIR4658,DSG,True,False,DSG,60,strong,2
TIPARP-AS1,DCG,False,False,NEUTRAL,60,strong,2
FAM163B,NEUTRAL,False,False,NEUTRAL,60,strong,2
FECH,NEUTRAL,False,False,NEUTRAL,60,strong,2
AURKC,DSG,True,False,DSG,60,strong,2
DDRGK1,DSG,True,False,DSG,60,strong,2
SCYL3,DCG,False,True,DCG,60,strong,2
UBXN2B,DCG,False,True,DCG,60,strong,2
DENND2B,NEUTRAL,False,False,NEUTRAL,60,strong,2
HIVEP2,DIG,True,True,DIG,60,strong,2
TMEM132A,DIG,True,True,DIG,60,strong,2
TPT1P4,DIG,True,True,DIG,60,strong,2
RPA2P3,NEUTRAL,False,False,NEUTRAL,60,strong,2
MCM8,DSG,True,False,DSG,60,strong,2
LPP-AS2,DCG,True,True,DIG,60,strong,2
CCNG1,DIG,True,True,DIG,60,strong,2
RPL18P13,NEUTRAL,False,False,NEUTRAL,60,strong,2
WASF3,NEUTRAL,False,False,NEUTRAL,60,strong,2
TXNL4B,NEUTRAL,False,False,NEUTRAL,60,strong,2
EIF1P7,DIG,True,True,DIG,60,strong,2
NTRK2,NEUTRAL,False,False,NEUTRAL,60,strong,2
JAM2,DIG,True,True,DIG,60,strong,2
LINC01772,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC01556,DSG,True,False,DSG,60,strong,2
RPS6KL1,NEUTRAL,False,False,NEUTRAL,60,strong,2
GOLGA7B,NEUTRAL,False,False,NEUTRAL,60,strong,2
RSPH3,NEUTRAL,False,False,NEUTRAL,60,strong,2
RABEP1,NEUTRAL,False,False,NEUTRAL,60,strong,2
VAPA,NEUTRAL,False,False,NEUTRAL,60,strong,2
MIR6717,DIG,True,True,DIG,60,strong,2
TRANK1,NEUTRAL,False,False,NEUTRAL,60,strong,2
LSM10,NEUTRAL,False,False,NEUTRAL,60,strong,2
ADPRM,NEUTRAL,False,False,NEUTRAL,60,strong,2
RAC3,DCG,False,True,DCG,60,strong,2
LAPTM4BP1,DCG,False,True,DCG,60,strong,2
GSDME,DSG,True,False,DSG,60,strong,2
SRC,DCG,False,True,DCG,60,strong,2
KCNN1,DIG,True,True,DIG,60,strong,2
FGF22,NEUTRAL,False,False,NEUTRAL,60,strong,2
INAFM2,NEUTRAL,False,False,NEUTRAL,60,strong,2
CASKIN2,DCG,False,True,DCG,60,strong,2
LBH,DIG,False,True,DCG,60,strong,2
SLC6A15,DIG,False,False,NEUTRAL,60,strong,2
NPTX1,DCG,False,True,DCG,60,strong,2
MIR6843,NEUTRAL,False,False,NEUTRAL,60,strong,2
STARD13,NEUTRAL,False,False,NEUTRAL,60,strong,2
KCNQ1OT1,NEUTRAL,False,False,NEUTRAL,60,strong,2
NCOA6,DCG,False,True,DCG,60,strong,2
PANTR1,NEUTRAL,False,False,NEUTRAL,60,strong,2
PBRM1,NEUTRAL,False,False,NEUTRAL,60,strong,2
DNMBP,NEUTRAL,False,False,NEUTRAL,60,strong,2
NT5DC3,NEUTRAL,False,False,NEUTRAL,60,strong,2
OFCC1,DSG,True,False,DSG,60,strong,2
COX5A,NEUTRAL,False,False,NEUTRAL,60,strong,2
GPIHBP1,DCG,False,True,DCG,60,strong,2
PKD2L1,NEUTRAL,False,False,NEUTRAL,60,strong,2
OSTCP1,NEUTRAL,False,False,NEUTRAL,60,strong,2
HOXA3,DSG,True,False,DSG,60,strong,2
CPSF2,NEUTRAL,False,False,NEUTRAL,60,strong,2
RPL35AP14,NEUTRAL,False,False,NEUTRAL,60,strong,2
ANG,DIG,True,True,DIG,60,strong,2
GJC3,DSG,True,False,DSG,60,strong,2
PDK1,NEUTRAL,False,False,NEUTRAL,60,strong,2
EYA1,DCG,False,True,DCG,60,strong,2
NFE2L3P1,NEUTRAL,False,False,NEUTRAL,60,strong,2
ZNF417,DSG,False,False,NEUTRAL,60,strong,2
ATP6V0A4,DSG,True,False,DSG,60,strong,2
RPS3AP49,NEUTRAL,False,False,NEUTRAL,60,strong,2
SFT2D2,DCG,False,True,DCG,60,strong,2
CADPS2,DIG,True,True,DIG,60,strong,2
SERPINA5,NEUTRAL,False,False,NEUTRAL,60,strong,2
GXYLT1,DIG,True,True,DIG,60,strong,2
POP1,DCG,True,True,DIG,60,strong,2
FOXK2,DCG,True,True,DIG,60,strong,2
PDE6D,NEUTRAL,False,False,NEUTRAL,60,strong,2
KBTBD8,NEUTRAL,False,False,NEUTRAL,60,strong,2
