,p_naive,p_aware,sample_size,rep
0,0.006948507072497957,0.006948645778955537,10,0
1,0.40710274370068855,0.4071028846355874,10,0
2,0.1493998593882278,0.14940000894790456,10,0
3,0.1453320539801907,0.1453338952387397,10,0
4,0.0735766311818741,0.0736117421114585,10,0
5,0.04980527503795411,0.04980541459131475,10,0
6,0.48223380771671065,0.48223820580528043,10,0
7,0.25460885009825973,0.2546090332386489,10,0
8,0.3626500345131721,0.362724176379533,10,0
9,0.2121106410275846,0.21211461762896755,10,0
10,0.6088297662023213,0.6088304063874126,10,0
11,0.8731326219213488,0.8731328149362453,10,0
12,0.22475360904928787,0.22475412689109597,10,0
13,0.7268841665683063,0.7268852592443653,10,0
14,0.7073439869136547,0.7073443598862172,10,0
15,0.41661600969366164,0.41662545076376545,10,0
16,0.7375190828759791,0.73751920415222,10,0
17,0.22573657420778426,0.22573995137794411,10,0
18,0.37758009498651246,0.3775832717686237,10,0
19,0.011409040835718668,0.9989962435651328,10,0
20,0.3711342057268092,0.37113429672380704,10,0
21,0.1818255550250818,0.18182707054600777,10,0
22,0.8806175754291565,0.8806180092322464,10,0
23,0.05733673346206647,0.057337069595184836,10,0
24,0.04799190118317609,0.04799282896775141,10,0
25,0.45177707166120984,0.45177776607950026,10,0
26,0.7476731692193305,0.7476733696485611,10,0
27,0.28419868572978824,0.284229547999459,10,0
28,0.03122442930079137,0.031224622208635738,10,0
29,0.6685480502663053,0.6685481108378,10,0
30,0.24691484742613978,0.24691495641189876,10,0
31,0.6424982441644642,0.6424982477461665,10,0
32,8.567368576615054e-05,0.845607152967068,10,0
33,0.9974054104174087,0.9974054234962391,10,0
34,0.5402525167571943,0.5402533324278771,10,0
35,0.9278852429091138,0.9278899797710851,10,0
36,0.5304325067806726,0.5304325739502391,10,0
37,0.8854377272017513,0.8854377730532629,10,0
38,0.18590963573588926,0.18590986744180582,10,0
39,0.42659088026138325,0.4265865280863258,10,0
40,0.5212972168693154,0.5212974871448132,10,0
41,0.45515007728395296,0.45515381463438287,10,0
42,0.6152821136364557,0.615282985061834,10,0
43,0.8584521174194965,0.9888344682895415,10,0
44,0.8508831769559512,0.8508826435436009,10,0
45,0.11220490572684676,0.11220703227894721,10,0
46,0.5657356265140769,0.565736705767671,10,0
47,0.6625412466628294,0.6625411434553936,10,0
48,0.6695484791345905,0.6695581571433575,10,0
49,0.720991578938912,0.7209975176532647,10,0
50,0.07533255341793792,0.07533306889052091,10,0
51,0.6409718021132501,0.6409718520884731,10,0
52,0.5829404053978713,0.58294064166248,10,0
53,0.8766614853088028,0.8766615786922816,10,0
54,0.8839386895683403,0.8839391712724148,10,0
55,0.4533428576336205,0.4533433077129243,10,0
56,0.05867150807784077,0.05870353891897553,10,0
57,0.4563021213538052,0.9999711064979656,10,0
58,0.9546908959126542,0.9546925616592334,10,0
