,padjScreen,p_naive,p_aware
MAP2K5,0.026028209704771474,0.017063938173231954,0.8241983817701524
MAP2K6,0.1787778320542905,,
MAP2K7,0.03121522507413551,0.020464514339260238,1.0
MAP3K1,0.1422767795096814,,
MAP3K10,1.1656803448645886e-07,7.642130427001524e-08,0.020304335066072824
MAP3K11,0.0006264846401958193,0.00041071957264971593,0.6252904440783201
MAP3K12,0.012635975223450512,0.008284069569791547,0.7118213854161585
MAP3K13,0.018320892498610845,0.012011067238997005,1.0
MAP3K14,0.010827962238380392,0.51673600283167,0.007098747100686753
MAP3K14-AS1,0.004496384328093521,0.6117046685024112,0.002947802597564426
MAP3K2,9.796100735725976e-14,9.550398576975739e-06,6.422264888335231e-14
MAP3K2-DT,0.00200715024091152,0.0013158756596702514,0.21148001690791943
MAP3K20,0.06323787257982684,,
MAP3K20-AS1,0.17170317406269256,,
MAP3K21,0.10376934074531864,,
MAP3K3,0.00018721288369102148,0.7157704241882618,0.00012273564370239516
MAP3K4,0.7218852802326285,,
MAP3K5,0.0055442814674660015,0.007605256419955255,0.003634797677171483
MAP3K6,5.6082254817884085e-15,0.800851825783844,3.676718989444673e-15
MAP3K7,0.5710228643050541,,
MAP3K7CL,1.364042446174985e-05,8.942580466042232e-06,0.00017110459603723153
MAP3K8,0.41102190553511186,,
MAP3K9,3.412933864366151e-24,2.2374989717482356e-24,7.0661357839142e-23
MAP4,4.235320939670806e-09,2.776651005892602e-09,0.007299162492750131
MAP4K1,0.00848247861607301,0.22993102242700403,0.005561062105393194
MAP4K2,5.691832824624814e-17,3.7315314619570295e-17,7.509880709787796e-09
MAP4K3,0.0005830979450754685,0.0003822755155489,0.9946012495353188
MAP4K3-DT,1.7351013291976024e-06,0.3775388643528605,1.1375220248165135e-06
MAP4K4,5.772810470425294e-10,3.784619920864748e-10,0.00044234005454021083
MAP4K5,0.21401554973346912,,
MAP6,0.0028102088109059563,0.0018423560416596836,0.013908214928695598
MAP7,1.3926947575066377e-06,3.850429663958729e-06,9.13042330065482e-07
MAP7D1,2.6225518911999083e-07,1.7193292906090288e-07,8.388946188755214e-05
MAP7D2,3.3303062586913284e-17,1.1108833767551042e-13,2.1833288090428502e-17
MAP7D3,0.1353015549305008,,
MAP9,0.5193906994235745,,
MAPK1,0.002374139272167795,0.00155647146747425,0.6516023480238697
MAPK10,2.286004985564965e-71,0.004590432469258736,1.4986911577798458e-71
MAPK11,1.3514923123943744e-13,8.860302541695068e-14,1.3547221508726672e-09
MAPK12,9.517010711536313e-21,6.239295142372827e-21,2.3678791505363784e-15
MAPK13,1.323623582994043e-05,8.677596823227381e-06,0.0691174759539162
