"","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90"
"CDKN2AIPNL",1,1.5,1,0.5,2,1,1,1.5,1,1,2,1,0.5,1,1,1,1.5,1,0.5,1,1,0.5,1,2,2,1,1,1,2,2,2.5,2,1.5,1,1,1.5,1.5,1.5,0.5,1,3,1,1,1,1
"CDKN2B",0,0,1.5,1,1.5,1,0.5,1.5,1,0,1,1,1,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1,1,0,1,0.5,1.5,1,1.5,1,1.5,1,0.5,1,1.5,1,0,1,2,2,1,0.5,0.5
"CDKN2B-AS1",0,0,1.5,1,1.5,1,0.5,1.5,1,0,1,1,1,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1,1,0,1,0.5,1.5,1,1.5,1,1.5,1,0.5,1,1.5,1,0,1,2,2,1,0.5,0.5
"CDKN2C",1,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1,2.5,1,1.5,2,1,1,1,0.5,1,2.5,2.5,2,1.5,1,1,2,3,1.5,1.5,1,1,1.5,1.5,1.5,0.5,1.5,2.5,0.5,1,1,1
"CDKN2D",0.5,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1,1.5,1,0.5,1,1,0.5,0.5,1.5,1,2,1,0.5,2,1.5,1.5,2,1,1,2.5,1,1.5,1,0.5,1,2,1,1,0.5,1
"CDKN3",1,1.5,2,1,1,1,1.5,2,1,2,1.5,1,1,0.5,2,1,1.5,2,0.5,2,1,1,1,2.5,1,2.5,1,1,4,2.5,3,1,1,1,1,1,1,3,1,1.5,2.5,2,1.5,1,1
"CDNF",1,1.5,1,1,1,1,0.5,3,1.5,1,2,0.5,1,1,1,1.5,1.5,2,1,1,1,0.5,1,2,1,2,1,1,1.5,1,3.5,1.5,3,1,2,1.5,3,2,1,1.5,2,2.5,1,1,1
"CDO1",1,1.5,1,0.5,2,1,1,1.5,1,1,2,1,0.5,1,1,1,1.5,1,0.5,1,1,0.5,1,2,2,1,1,1,2,2,1.5,2,1.5,1,1,1.5,1,1.5,0.5,1,3,1,1,1,1
"CDON",1,2,1.5,1,1.5,1,1,1.5,1.5,2,1.5,1,1,0.5,2,1,1,2,0.5,1,1,0.5,0.5,1.5,2,2,2,1,1.5,2.5,3,2,1.5,1,0.5,2,1,1,0.5,2,2.5,1.5,1,1,1
"CDPF1",0.5,2,0.5,1,3,1,1,1.5,1,1.5,1,1,0.5,0.5,2,1,1,1,0.5,1,1,0.5,1,1,1,1.5,1,0.5,1,3,1.5,1.5,1,1,1.5,1,1.5,1,0.5,2,2,1,1,1,1
"CDPF1P1",1,2,1,1,2,1,1,2.5,2,2.5,2,1,1,1,2,1,1.5,1.5,1,1,1,1,1,2,2,2,2,1,1.5,2.5,3.5,1.5,2,1,1.5,1,3,2,1,2.5,2,1.5,1,1,1
"CDR2",1,1.5,2,1,2,1,1,1.5,1,1.5,2,1,1,1.5,2,1,1.5,1,1,1,1,1,1,1,2.5,2,1,1,2,2,2,2,1.5,1,1,1.5,1.5,1.5,1,1.5,3.5,1.5,1,1,1
"CDR2L",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1,1,2.5,1.5,2.5,1.5,1,1,1.5,1,1,3.5,2,2.5,2.5,1,2.5,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"CDRT1",1,2,1,0.5,1,1,1.5,1.5,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1,1.5,0.5,1,1,1,1,1,1,2,1,2,1,1,1,0.5,1,1,1.5,0.5,1,1,1,1,1,1
"CDRT4",1,2,1,0.5,1,1,1.5,1.5,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1,1.5,0.5,1,1,1,1,1,1,2,1,2,1,1,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1,1
"CDS1",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,2,0.5,1,1,0.5,1,1.5,1.5,1.5,1,1,1.5,2,1.5,1.5,1.5,1,1,1.5,2,1,1,1,2,2,1,1,1
"CDS2",1,2,2,1,2.5,1,0.5,2,2,2.5,1,1,0.5,1,1.5,1,1.5,2,0.5,1.5,1,0.5,1,3,1,2,1,0.5,2,2.5,3,1.5,2,1,3,0.5,2,1.5,0.5,1,0.5,2,1,1,0.5
"CDT1",1,1.5,2,0.5,2,1,0.5,1.5,1,1.5,1,1,0.5,0.5,2,1,1,2,1,1,1,1,1,1,1.5,2.5,1,1,2,2,4,1,1.5,1,0.5,0.5,2,1,1,1,3,1.5,1.5,1,1
"CDV3",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,2,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"CDYL",1.5,2,1.5,1,2,1,1.5,3,1.5,2,2,1.5,1,1,2,1,2,2,1,1,1,1,1,2,1.5,3,1,1,2,2,5,1.5,2.5,1,1.5,2,2,1.5,1,1.5,2.5,2,1,1,1
"CDYL2",1,1.5,2,0.5,2,1,0.5,1.5,1,1.5,1,1,0.5,0.5,2,1,1,2,1,1,1,1,1,1,1.5,2.5,1,1,2,2,4,1,1.5,1,1,1,2,1,1,1,3,1.5,1.5,1,1
"CEACAM1",1.5,2,1.5,2,2,1,2,3,2,1.5,2,1.5,0.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,2,1,1,0.5,1,2,2,1.5,1.5,1,1,1.5,3.5,4.5,0.5,1,2,2,1,0.5,1
"CEACAM19",1.5,2,1.5,2,2,1,2,1.5,2,1.5,2,1.5,0.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,2,2.5,1,0.5,1,2,2,1.5,1.5,1,1,1.5,7.5,6,0.5,2,2,2,1,0.5,1
"CEACAM21",1,2,1.5,2,2,1,2,3,2,1.5,2,1.5,0.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,2,2.5,1,0.5,1,2,2,1.5,1.5,1,1,1.5,3.5,2,0.5,1,2,2,1,0.5,1
"CEACAM3",1,2,1.5,2,2,1,2,3,2,1.5,2,1.5,0.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,2,2.5,1,0.5,1,2,2,1.5,1.5,1,1,1.5,3.5,2,0.5,1,2,2,1,0.5,1
"CEACAM4",1,2,1.5,2,2,1,2,3,2,1.5,2,1.5,0.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,2,2.5,1,0.5,1,2,2,1.5,1.5,1,1,1.5,3.5,2,0.5,1,2,2,1,0.5,1
"CEACAM5",1,2,1.5,2,2,1,2,3,2,1.5,2,1.5,0.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,2,2.5,1,0.5,1,2,2,1.5,1.5,1,1,1.5,3.5,2,0.5,1,2,2,1,0.5,1
"CEACAM6",1,2,1.5,2,2,1,2,3,2,1.5,2,1.5,0.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,2,2.5,1,0.5,1,2,2,1.5,1.5,1,1,1.5,3.5,2,0.5,1,2,2,1,0.5,1
"CEACAM8",1.5,2,1.5,2,2,1,2,3,2,1.5,2,1.5,0.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,2,1,1,0.5,1,2,2,1.5,1.5,1,1,1.5,3.5,4.5,0.5,1,2,2,1,0.5,1
"CEBPA",1,2,2,2.5,2,1,3,3,1.5,1.5,2,1.5,2.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,5.5,2.5,1,0.5,2,2,5,1.5,1,1,1,1,3,2,0.5,2,2,2,1,0.5,1
"CEBPA-DT",1,2,2,2.5,2,1,3,3,1.5,1.5,2,1.5,2.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,5.5,2.5,1,0.5,2,2,5,1.5,1,1,1,1,3,2,0.5,2,2,2,1,0.5,1
"CEBPB",1,2,2,1,2.5,1,1.5,2,2.5,5.5,1,1,1,1,1.5,1,1.5,2,1,1.5,1,0.5,1,3,2,2,1,1,2,2,2,1.5,2,1,2.5,1.5,2.5,1.5,1,1.5,3.5,3,1,1,1
"CEBPB-AS1",1,2,2,1,2.5,1,1.5,2,2.5,5.5,1,1,1,1,1.5,1,1.5,2,1,1.5,1,0.5,1,3,2,2,1,1,2,2,2,1.5,2,1,2.5,1.5,2.5,1.5,1,1.5,3.5,3,1,1,1
"CEBPD",0.5,2,3.5,0.5,2,1,1.5,3,3,2.5,2,1,1,0.5,3,1,2.5,2.5,0.5,1,1,2,1,2,2,2.5,2,1,1.5,2.5,2.5,2,1.5,1,3.5,2.5,4.5,2,1,1,3,2.5,1,1,1
"CEBPE",1,1.5,2,1,1,1,1.5,2,1,2.5,1.5,1,1,1,2,1,1,2,0.5,1,1,1,1,4.5,1,2.5,1,1,1.5,2.5,2.5,1.5,2.5,1,1.5,1,2,3,1,1.5,2.5,2,1.5,1,1
"CEBPG",1,2,2,2.5,2,1,3,3,1.5,1.5,2,1.5,2.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,5.5,2.5,1,0.5,2,2,5,1.5,1,1,1,1,3,2,0.5,2,2,2,1,0.5,1
"CEBPZ",1,2,1,1,2,1,1,2.5,2,2.5,2,1,1,1,2,1,1.5,1.5,1,1,1,1,1,2,2,2,2,1,1.5,2.5,3.5,1.5,2.5,1,1.5,1,3,2,1,2.5,2,1.5,1,1,1
"CEBPZOS",1,2,1,1,2,1,1,2.5,2,2.5,2,1,1,1,2,1,1.5,1.5,1,1,1,1,1,2,2,2,2,1,1.5,2.5,3.5,1.5,2.5,1,1.5,1,3,2,1,2.5,2,1.5,1,1,1
"CECR2",0.5,2,1.5,1,3,1,1,1.5,1,1,1,1,0.5,0.5,1.5,1,1,1,0.5,1,1,0.5,1,3,1,1.5,1,0.5,1,3,1.5,2,1,1,2,1,1,1,0.5,2,2,1,1,1,1
"CECR7",0.5,2,1.5,1,3,1,1,1.5,1,1,1,1,0.5,0.5,1.5,1,1,1,0.5,1,1,0.5,1,3,1,1.5,1,0.5,1,3,1.5,2,1,1,2,1,1,1,0.5,2,2,1,1,1,1
"CEL",0.5,1.5,1.5,1,1.5,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1.5,2,1,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1.5,1,2,1,1,1,1.5,2,0.5,1,2,2,1,1,1
"CELA2B",0.5,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1.5,2,1,1,2,1,1,1,0.5,1,2,1.5,2,1,1,1,2,2.5,1.5,1.5,1,1,1,2,1.5,0.5,2,3,2,1,1,1
"CELF1",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1,1.5,2,1,1,1,1,1,1.5,1,2,1,1,1.5,2.5,3,1.5,1.5,1,1.5,1,1,2,1,2,2.5,1.5,1,1,1
"CELF2",1,1.5,1,1,1,1,0.5,3,1.5,1,2,0.5,1,1,1,1.5,1.5,2,1,1,1,0.5,1,2,1,2,1,1,1.5,1,3.5,1.5,3,1,1.5,1.5,3,2,1,1.5,1,2.5,1,1,1
"CELF2-AS1",1,1.5,1,1,1,1,0.5,3,1.5,1,2,0.5,1,1,1,1.5,1.5,2,1,1,1,0.5,1,2,1,2,1,1,1.5,1,3.5,1.5,3,1,2.5,1.5,3,2,1,1.5,1,2.5,1,1,1
"CELF4",1,1.5,1,0.5,2,1,1,2,1.5,2,1,1,1,1,1.5,1.5,3,3.5,0.5,1,1,1,1,1.5,1,1.5,1.5,0.5,1.5,1.5,2,1,1,1,1.5,1,1,1,0.5,1,1,1.5,1,1,1
"CELSR1",0.5,2,0.5,1,3,1,1,1.5,1,1.5,1,1,0.5,0.5,2,1,1,1,0.5,1,1,0.5,1,1,1,1.5,1,0.5,1,3,1.5,1.5,1,1,1.5,1,1.5,1,0.5,2,2,1,1,1,1
"CELSR2",0.5,2,1,1,2,1,1,1.5,1.5,2,1.5,1,1,1,1,1,1,2,0.5,1,1,0.5,1,2.5,2,2,1.5,1,1,2,3,1.5,1,1,1.5,1.5,2.5,1,0.5,1,2,1,1,1,1
"CELSR3",0.5,1.5,1,1,1,1,0.5,1.5,1,1,1,0.5,1,0.5,1,1,1.5,1,0.5,0.5,1,1,1,1.5,1,1,1,0.5,1,1.5,2.5,1,1.5,1,1.5,1.5,2,2,0.5,1,2,2,1,1,1
"CEMIP",1,2,0.5,1,2,1,0.5,1.5,1,2,2.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,2,1,1,1,1,2.5,1,1,1,1,1,2,1.5,1,1,2,2,1,1,1
"CEMIP2",0.5,1.5,1,0.5,1.5,1,0.5,1.5,1,1,1,1,0.5,0.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1.5,1,2,1,1,1,1.5,1.5,0.5,1,2,2,1,1,1
"CENATAC",1,2,1.5,1,1.5,1,0.5,1.5,1.5,1.5,1.5,1,1,0.5,2,1,1,2,0.5,1,1,1,0.5,1.5,2,2,2,1,1.5,2.5,3,2,1,1,1,2,5,1,0.5,2,2.5,1.5,1,1,1
"CENATAC-DT",1,2,1.5,1,1.5,1,0.5,1.5,1.5,1.5,1.5,1,1,0.5,2,1,1,2,0.5,1,1,1,0.5,1.5,2,2,2,1,1.5,2.5,3,2,1,1,1,2,5,1,0.5,2,2.5,1.5,1,1,1
"CENPA",1,2,1,1,2,1,1,2.5,2,2.5,2,1,1,1,2,1,1.5,1.5,1,1,1,1,1,2,2,2,2,1,1.5,2.5,3.5,1.5,2.5,1,1.5,1,3,2,1,2.5,2,1.5,1,1,1
"CENPB",1,2,2,1,2.5,1,0.5,2,2,2.5,1,1,0.5,1,1.5,1,1.5,2,0.5,1.5,1,0.5,1,3,1,2,1,0.5,2,2.5,3,1.5,2,1,1.5,0.5,2,1.5,0.5,1,0.5,2,1,1,0.5
"CENPBD1",1,1.5,2,0.5,2,1,0.5,1.5,1,1.5,1,1,0.5,0.5,2,1,1,2,1,1,1,1,1,1,1.5,2.5,1,1,2,2,4,1,1.5,1,0.5,0.5,2,1,1,1,3,1.5,1.5,1,1
"CENPBD1P1",0.5,1,1,0.5,2,1,1,1.5,2,1.5,2,1.5,0.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,1,2.5,2,0.5,1,2,2,1.5,1,1,1,1,1.5,1.5,0.5,2.5,2,1,1,0.5,1
"CENPC",1,2,1,0.5,2,1,1,1.5,1,1,1,1,1,1,2,1,1,2,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1.5,2,1.5,1.5,1.5,1,1,1.5,2,1,1,1,2,2,1,1,1
"CENPE",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1.5,2,1.5,1.5,1.5,1,1.5,1.5,2,1.5,1,1,2,2,1,1,1
"CENPF",2,3,2.5,1,3.5,1,1,3.5,2,2,2,1.5,1,1.5,2.5,1,2.5,3,1,1.5,1,1,1.5,2.5,2,2.5,1.5,1,4,2,4,2.5,1.5,1,2,1.5,3,2,1,2.5,2,3,1,2,1
"CENPH",1,1.5,1,0.5,2,1,1,1.5,1,2.5,2,1,0.5,1,1,1,2,1,0.5,1,1,0.5,1,2,2,1,1,1,2,1,1.5,2,1.5,1,1,1.5,1,1.5,0.5,2,3,1,1,1,1
"CENPI",0.5,1,1,1,2,1,1,2,1,1,1,1,0.5,1.5,0.5,1,1,1,0.5,1,0.5,0.5,1,1,1,1.5,1,0.5,2.5,1.5,1,1.5,1,1,0.5,1,1.5,1,0.5,1,5,1,1,0.5,0.5
"CENPJ",1,2,0.5,0.5,1,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,0.5,1,1.5,1,1.5,1,0.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1.5,1,1,0.5
"CENPK",1,1.5,1.5,0.5,2,1,1,1.5,1.5,2.5,2,1,0.5,1,1,1,2,1,0.5,1,1,0.5,1,2,2,1,1,1,2,1,1.5,2,1.5,1,1,1.5,1,1.5,0.5,2,3,1,1,1,1
"CENPL",1.5,3,2.5,1,3.5,1,2,3.5,2,2,2,1.5,1,1.5,2.5,1,2.5,3,1,1.5,1,1,1.5,2.5,2,2.5,1.5,1,4,2,3,2.5,1.5,1,2,2.5,3,2,1,2.5,2,3.5,1,2,1
"CENPM",0.5,2,1,1,3,1,1,1.5,1,1.5,1,1,0.5,0.5,2,1,1,1,0.5,1,1,0.5,1,2,1,1.5,1,0.5,1,3,1.5,1.5,1,1,2,1,1.5,1,0.5,2,2,1,1,1,1
"CENPN",1,1.5,2,0.5,2,1,0.5,1.5,1,1.5,1,1,0.5,0.5,2,1,1,2,1,1,1,1,1,1,1.5,2.5,1,1,2,2,4,1,1.5,1,1,1,2,1,1,1,3,1.5,1.5,1,1
"CENPO",1,2,1,1,2,1,1,2.5,2,2.5,2,1,1,1,2,1,1.5,1.5,1,1,1,1,1,2,2,2,2,1,1.5,2.5,3.5,1.5,2,1,1.5,1,3,2,1,2.5,2,1.5,1,1,1
"CENPP",0.5,1.5,1,1,2,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1.5,1,2,1,1,1,1.5,1.5,0.5,1,2,2,1,1,1
"CENPQ",1.5,2,1.5,1,2.5,1,3,3,1.5,2,2,1,1,1,2,1,2,1.5,1,1,1,1,1,2,1.5,3,1,0.5,2,2.5,2.5,1.5,1,1,1.5,1.5,2,1,1,1.5,2.5,1,1,1,1
"CENPS",0.5,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1.5,2,1,1,2,1,1,1,0.5,1,2,1.5,2,1,1,1,2,2.5,1.5,1.5,1,1,1,2,1.5,0.5,2,3,2,1,1,1
"CENPT",1,1.5,2,0.5,2,1,0.5,1.5,1.5,2,2,1,0.5,1.5,2,1,1,2,1,1,1,1,1,1,1.5,2.5,1,1,2,2,2,1,1.5,1,1,1,2,1,1,0.5,3,1.5,1.5,1,1
"CENPU",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,2,1,0.5,1.5,2,1.5,1.5,2.5,1,3,1.5,2,1,1,0.5,1.5,2,1,1,1
"CENPV",1,2,1,0.5,1,1,1.5,1.5,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1,1.5,0.5,1,1,1,1,1,1,2,1,2,1,1,1,0.5,1,1,1.5,0.5,1,1,1,1,1,1
"CENPW",0.5,2,1,1,2,1,1,1.5,1,1,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,2,1.5,1,1,1,1.5,1.5,2.5,1,2.5,0.5,2,1,1,1,1,1.5,1.5,1,1,1,1
"CENPX",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1,1,2.5,1.5,2.5,2.5,1,1,1.5,1,1,3.5,2,2.5,2.5,1,2.5,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"CEP104",0.5,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1.5,2.5,1,1,2,1,1,1,0.5,1,2,1.5,2,1,1,1,2,2.5,1.5,1.5,1,0.5,1,2,1.5,0.5,1.5,3,2,1,1,1
"CEP112",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1.5,1,2.5,1.5,2.5,1.5,1,1,1.5,1,1,1,2,2.5,2.5,1,2,3,2.5,2,2.5,1,1,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"CEP120",1,1.5,1,0.5,2,1,1,1.5,1,1,2,1,0.5,1,1,1,1.5,1,0.5,1,1,0.5,1,2,2,1,1,1,2,2,1.5,2,1.5,1,1,1.5,1,1.5,0.5,1,3,1,1,1,1
"CEP126",1,2,1.5,1,1.5,1,0.5,1.5,1.5,2,1.5,1,1,1,2,1.5,1,2,0.5,1,1,1,1.5,1.5,2,2,2,1,1.5,2.5,3,2,2.5,1,1,2,2,1,1,1.5,2.5,1.5,1,1,1
"CEP128",1,1.5,2.5,1,1,1,1.5,2,1,2,1.5,1,1,0.5,1,0.5,1.5,2,0.5,2,1,1,1,2.5,1,2.5,1,1,1.5,2,1.5,1,2,1,1,1,1,3,1,1.5,2.5,2,1.5,1,1
"CEP131",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1,1,2.5,1.5,2.5,2.5,1,1,1.5,1,1,3.5,2,2.5,2.5,1,2.5,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"CEP135",1,2,1,0.5,2,1,1,1.5,1.5,1,1,1,1,1,2,1,1.5,2,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1.5,2,2,1.5,1.5,1,1,1.5,2,1,1,1,2,2,1,1,1
"CEP152",1,2,0.5,0.5,2,1,0.5,1.5,0.5,1,2.5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,2,1.5,1,1.5,2,1,1,1,0.5
"CEP162",0.5,2,1,1,2,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1.5,1,1,0.5,1.5,1.5,2.5,1,1.5,1,2,1,1,1,1,1.5,1.5,1,1,1,1
"CEP164",1,2,1.5,1,1.5,1,0.5,1.5,1.5,1.5,1.5,1,1,0.5,2,1,1,2,0.5,1,1,1,0.5,1.5,2,2,2,1,1.5,2.5,3,2,1,1,1,2,5,1,0.5,1.5,2.5,1.5,1,1,1
"CEP170",2,3,2.5,1,3.5,1,1.5,3.5,1.5,2,2,1.5,1,1.5,3,1,1.5,2,1,1.5,1,1,1.5,2,2,2.5,1.5,1,4,2,4,2.5,1.5,1,2,2,3,2,1,3,2,3.5,1,2,1
"CEP170B",1,1.5,1.5,1,1,1,1.5,2,1,2,1.5,1,1,0.5,1,0.5,1,2.5,0.5,1,1,1,1,2.5,1,2.5,1,1,1.5,2,1.5,1,2,1,1.5,0.5,1,3,1,0.5,2.5,2,1.5,1,1
"CEP170P1",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1.5,2,1.5,1.5,2.5,1,1.5,1.5,2,2,1,1,2,2,1,1,1
"CEP19",0.5,1.5,1.5,1,3.5,1,0.5,1.5,1.5,1.5,2,0.5,1,1,1,1,1.5,1.5,1,2,1,0.5,1,1.5,2,2.5,1.5,1.5,1,2.5,3,1.5,1.5,1,1.5,1,1.5,1.5,0.5,2,2,1,1,1,1
"CEP192",1,1.5,1,0.5,2,1,1,2,1.5,1.5,1,1,1,1,1.5,1,2.5,1,0.5,1,1,0.5,1,1.5,2,1.5,1.5,1,1.5,2.5,3.5,1,1,1,1,1,1,2,0.5,1,1,1.5,1,1,1
"CEP20",1,1.5,2,1,2,1,1,1.5,1,1.5,2,1,1,1.5,2,1,1.5,1,1,1,1,1,1,1,2.5,2,1,1,2,2,2,2,1.5,1,1,1.5,1.5,1.5,0.5,1.5,3.5,1.5,1,1,1
"CEP250",1,2,2,1,2.5,1,1.5,2,2,2.5,3,1,1,1,1.5,1,1.5,2,1,1.5,1,3,1,3,2,2,1,1,2,2,3,1.5,2,1,1.5,1.5,2,1.5,1,1.5,3.5,2,1,1,1
"CEP290",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,1,1,0.5,1,1,1.5,2,1,1.5,1,1,0.5,1.5,1.5,2,1,0.5,1.5,1,2,1.5,3,0.5,1.5,1.5,1.5,1.5,1,1,2,1.5,1,1,1
"CEP295",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1.5,1,2,1,1,1,1,1.5,1.5,2,2,2,1,1.5,2.5,3,2,2.5,1,1,2,4,1,1,2,2.5,1.5,1,1,1
"CEP350",1.5,3,2.5,1,3.5,1,2,3.5,2,2,2,1.5,1,1.5,2.5,1,2.5,3,1,1.5,1,1,1.5,2.5,2,2.5,1.5,1,4,2,3,2.5,1.5,1,2,1.5,3,2,1,2.5,2,3.5,1,2,1
"CEP41",1,2,1.5,1,1.5,1,1.5,2,2,1.5,1,1,1,1,1,2,1.5,2,1.5,1.5,1,0.5,1,2.5,3,3,2,1,2,4,2.5,2.5,3,1,2,1.5,3,2,1,1.5,3.5,2.5,1,1,2
"CEP43",0.5,2,1,1,2,1,1,1.5,1,1,2,1,1,0.5,1,1,1,1,1,1,1,1,0.5,2,1,1,1,1,1.5,1.5,2.5,1,2.5,1,1,1,2,1,1,1.5,1.5,1,1,1,1
"CEP44",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,2,1,0.5,1.5,2,1.5,1.5,2.5,1,1.5,1.5,2,1,0.5,1,1.5,2,1,1,1
"CEP55",1,1.5,1,0.5,1.5,1,0.5,3,1.5,2,2,1,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1,1,1,2,1,1,1.5,1,2,1.5,1.5,1,1.5,1.5,2,1,1,1.5,2,2.5,1,1,1
"CEP57",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1.5,1,2,1,1,1,1,1.5,1.5,2,2,2,1,1.5,2.5,3,2,2.5,1,1,2,2,1,1,2,2.5,1.5,1,1,1
"CEP57L1",0.5,2,1,1,2,1,1,1.5,1,1,2,0.5,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1.5,1,1,1,1.5,1.5,2.5,1,1.5,1,2,1,1,1,1,1.5,1.5,1,1,1,1
"CEP63",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,2,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"CEP68",1,2,1,1,2,1,1,2.5,2,2.5,2,1,1,1,2,1,1.5,1.5,1,1,1,1,1,2,2,2,2,1,1.5,2.5,3.5,1.5,2,1,2.5,1,3,2,1,1.5,2,1.5,1,1,1
"CEP70",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,3.5,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"CEP72",1,1.5,2,1.5,4,1.5,1,4.5,4,1.5,2,1,0.5,2,7.5,1,2.5,3.5,1,2,1,1,1,2,7.5,2.5,2,1,2,4.5,6.5,7.5,4.5,1,1.5,2,3.5,2,1,4.5,3,5,1,1.5,1
"CEP76",1,1.5,1,0.5,2,1,1,2,1.5,1.5,1,1,1,1,1.5,1,2.5,1,0.5,1,1,0.5,1,1.5,2,1.5,1.5,1,1.5,2.5,3.5,1,1,1,1,1,1,2,0.5,1,1,1.5,1,1,1
"CEP78",0.5,1.5,1,0.5,1.5,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1.5,1,2,1,1,1,1.5,1.5,0.5,1,2,2,1,1,1
