"","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90"
"AATBC",0.5,2,2,1,2,1,1,1.5,1,2,2,1,0.5,1,1.5,1,1,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1,3,3,2,1.5,1,1.5,1,2,1,1,2,3,1,1,1,1
"AATF",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,2,1,0.5,1,2,1.5,1,1.5,1,1,1.5,1,1,2,2,2.5,2,1,2,2,2.5,2,2.5,1,1.5,1.5,2.5,1.5,1,2,2.5,1.5,1,1,1.5
"AATK",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1,1,2.5,1.5,2.5,2.5,1,1,1.5,1,1,3.5,2,2.5,2.5,1,2.5,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"ABAT",1,1.5,2,1,2,1,1,1.5,1,1,2,1,1,1.5,2,1,1.5,2,1,1,1,1,1,1,2.5,2,1,1,2,2,3.5,2,1.5,1,1,1.5,1.5,1.5,0.5,1.5,3.5,1.5,1,1,1
"ABCA1",0.5,1.5,1,1,1.5,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1.5,1,2,1,1,1,1.5,1.5,0.5,1,2,2,1,1,1
"ABCA10",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1.5,1,2.5,1.5,2.5,1.5,1,1,1.5,1,1,4,2,2.5,2.5,1,2,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"ABCA11P",1,1.5,1,0.5,2,1,1,1.5,1,2,2,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,2.5,2,1.5,1,1,1.5,2,3,1.5,2,1,1,1.5,1,1,1,1,2,2,1,1,1
"ABCA12",1,2,1,1,1.5,1,1,3,1,1.5,1.5,1,1,1,2,1,1.5,2,1,1,1,1,1,1.5,1.5,2.5,1.5,1,1.5,2,2,1,2,1,1,1,2.5,2,1,1.5,2,1.5,1,1,1
"ABCA13",1,3,2,2,1.5,1,1.5,1.5,1,3.5,3,1,1.5,1,2.5,2,4.5,1.5,0.5,2.5,1,0.5,1,2.5,2,3.5,2,0.5,1.5,4,2.5,2,1.5,1,1.5,3,3.5,2,1,1.5,3.5,2.5,1,1,2
"ABCA17P",1,1.5,2,1,2,1,1,1.5,1,1,2,1,1,1.5,2,1,1.5,1,1,1,1,1,1,1,2.5,2,1,1,2,2,3.5,2,1.5,1,1.5,1.5,1.5,1.5,0.5,1.5,3.5,1.5,1,1,1
"ABCA2",0.5,1.5,1.5,1,1.5,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1.5,2,1,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1.5,1,2,1,1,1,1.5,2,0.5,1,2,2,1,1,1
"ABCA3",1,1.5,2,1,2,1,1,1.5,1,1,2,1,1,1.5,2,1,1.5,1,1,1,1,1,1,1,2.5,2,1,1,2,2,3.5,2,1.5,1,1.5,1.5,1.5,1.5,0.5,1.5,3.5,1.5,1,1,1
"ABCA4",1,2,1,1,2,1,1,1.5,1.5,2,2,1,1,1,1,1,1,2,1,1,1,0.5,1,2.5,2,2,1.5,1,1,2,3,1.5,1.5,1,1.5,1.5,3,1,0.5,1.5,1.5,1,1,1,1
"ABCA5",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1.5,1,2.5,1.5,2.5,1.5,1,1,1.5,1,1,4,2,2.5,2.5,1,2,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"ABCA6",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1.5,1,2.5,1.5,2.5,1.5,1,1,1.5,1,1,3,2,2.5,2.5,1,2,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"ABCA7",0.5,1,1,1,1,1,1,1.5,1,1.5,3,1,1,1,1.5,1,1.5,1,0.5,1,1,0.5,0.5,1.5,2,2,1,0.5,1,1.5,1.5,2,1,1,2.5,1,1.5,1,0.5,1,2,1,1,0.5,1
"ABCA8",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1.5,1,2.5,1.5,2.5,1.5,1,1,1.5,1,1,3,2,2.5,2.5,1,2,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"ABCA9",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1.5,1,2.5,1.5,2.5,1.5,1,1,1.5,1,1,3,2,2.5,2.5,1,2,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"ABCB1",1,1,1.5,1,1.5,1,1.5,2,2,1.5,1,1,1,1,1,2,1.5,2,2,1.5,1,0.5,1,2.5,3,3,2,1,2,5,3,2.5,3,1,2,1.5,3,2,1,1.5,3.5,2.5,1,1,2
"ABCB10",2,3,2.5,1,3.5,1,1,3.5,1.5,2,2,1.5,1,1.5,2.5,1,1.5,2,1,1.5,1,1,1.5,2,2,2.5,1.5,1,4,2,4,2.5,1.5,1,2,1.5,3,2,1,2.5,2,3,1,2,1
"ABCB4",1,1,1.5,1,1.5,1,1.5,2,2,1.5,1,1,1,1,1,2,1.5,2,2,1.5,1,0.5,1,2.5,3,3,2,1,2,5,3,2.5,3,1,2,1.5,3,2,1,1.5,3.5,2.5,1,1,2
"ABCB5",1,3,2,2,1.5,1,1.5,1.5,1,3.5,2.5,1,1.5,1,2.5,2,4.5,1.5,0.5,2.5,1,0.5,1,3,2,3.5,2,0.5,1.5,4,6.5,2,1.5,1,1.5,3.5,3.5,2,1,1.5,3.5,2.5,1,1,2
"ABCB7",0.5,1,1,1,2,1,1,2,1,1,1,1,0.5,0.5,1,1,1,1,0.5,1,0.5,0.5,1,1,1,0.5,1,0.5,2.5,1.5,1.5,1.5,1,1,1,0.5,1.5,1.5,0.5,1,5,1,1,1,0.5
"ABCB8",0.5,1,1.5,1.5,1.5,1,1.5,1.5,2,1.5,1,1,1,1,1,2,1.5,2,1.5,1.5,1,0.5,1,2.5,3,3,2,1,2,5,1.5,2.5,3,1,2,1.5,2.5,2,1,1.5,3.5,2.5,1,1,2
"ABCB9",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,0.5,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,1,1.5,1,3,1.5,3,0.5,1.5,1.5,2.5,2,1,3,3,1.5,1,1,1
"ABCC1",1,1.5,2,1,2,1,1,1.5,1,1.5,2,1,1,1.5,2,1,1.5,1,1,1,1,1,1,1,2.5,2,1,1,2,2,2,2,1.5,1,1,1.5,1.5,1.5,0.5,1.5,3.5,1.5,1,1,1
"ABCC10",1.5,2,1.5,1,2,1,1.5,3,1.5,2,2,1,1,1,2,1,2,1.5,1,1,1,1,1,3,1.5,3,1,0.5,2,2,2.5,1.5,1,1,1.5,2,2,1,1,1.5,2.5,1,1,1,1
"ABCC13",0.5,2,2,0.5,2,1,1,1.5,1,1.5,2,1,0.5,1,1.5,1,1,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1,2.5,3,2,1,1,1.5,1,2.5,2,1,2,4.5,1,1,1,1
"ABCC2",1,1.5,1,0.5,1.5,1,0.5,3,1.5,1.5,2,1,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1,1,1,2,1,1,1.5,1,2,1.5,1.5,1,1.5,2.5,2,1,1,1.5,2,2.5,1,1,1
"ABCC3",1,2,1.5,1.5,2,1,2,1.5,1,1.5,2,1,1.5,1,2.5,1.5,1,3,1,1,1.5,1,1,3,2,2.5,2,1,2,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"ABCC4",1,2,0.5,1,1,1,0.5,1.5,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,0.5,1,4,1.5,1.5,1,1,1,1,2,1,1,1,1,1,1,1,0.5,3,1,1.5,1,1.5,1
"ABCC5",0.5,1.5,1.5,1,4,1,0.5,1.5,1.5,1.5,2,0.5,1,1,1,1,1.5,1.5,1,2,1,1,1,1.5,2,2.5,1.5,1.5,1,2.5,5,1.5,1.5,1,1.5,1,1.5,1.5,1,2,2,1,1,1,1
"ABCC6",1,1.5,2,1,2,1,1,1.5,1,1.5,2,1,1,1.5,2,1,1.5,1,1,1,1,1,1,1,2.5,2,1,1,2,2,2,2,1.5,1,1,1.5,1.5,1.5,0.5,1.5,3.5,1.5,1,1,1
"ABCC6P1",1,1.5,2,1,2,1,1,1.5,1,1.5,2,1,1,1.5,2,1,1.5,1,1,1,1,1,1,1,2.5,2,1,1,2,2,2,2,1.5,1,1,1.5,1.5,1.5,0.5,1.5,3.5,1.5,1,1,1
"ABCC6P2",1,1.5,2,1,2,1,1,1.5,1,1.5,2,1,1,1.5,2,1,1.5,1,1,1,1,1,1,1,2.5,2,1,1,2,2,2,2,1.5,1,1,1.5,1.5,1.5,0.5,1.5,3.5,1.5,1,1,1
"ABCC8",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1,1.5,2,1,1,1,1,1,1.5,1,2,1,0.5,1.5,3.5,3,1.5,0.5,1,2,1,1,2,0.5,1,2.5,1.5,1,1,1
"ABCC9",0.5,2,0.5,0.5,2,1,0.5,1.5,1,1.5,2,1,1,1,2,1,1,0.5,1,1.5,1,1,0.5,1.5,1.5,3.5,1,1.5,0.5,3,3,1.5,7.5,1,2,1,2.5,2,1,1,3,1.5,1,0.5,6.5
"ABCD1",0.5,1,1,1,2,1,1,2,1,1,1,1,0.5,1.5,1,1,1,3,0.5,1,0.5,0.5,1,1,1,2.5,1,0.5,2.5,1.5,3,2,1,1,0.5,1,1.5,1.5,0.5,1,5,1,1,0.5,0.5
"ABCD2",1,2,1,0.5,2,1,1.5,1.5,1.5,2,2,1,1,1,1.5,1,1,1.5,1,1.5,1,1,0.5,1.5,1.5,2,1,0.5,1.5,1.5,2,1.5,3,1,1.5,1.5,1.5,3.5,1,3,5.5,1.5,1,1,1
"ABCD3",0.5,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1,1,1,1,2,1,1,1,0.5,1,2.5,2,2,1.5,1,1,2,3,1.5,1.5,1,1.5,1.5,3,1,0.5,1.5,1.5,1,1,1,1
"ABCD4",1,1.5,1.5,1,1,1,1.5,2,1,2,1.5,1,1,0.5,2,0.5,1.5,2,0.5,2,1,1,1,2.5,1,2.5,1,1,1.5,2,1.5,1,1,1,0.5,1,1,3,1,1.5,2.5,2,1.5,1,1
"ABCE1",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,2,1,0.5,1.5,2,1.5,1.5,2.5,1,1.5,1.5,2,1.5,1,1,2,2,1,1,1
"ABCF1",1.5,2,1.5,1,2,1,1.5,3,1.5,2,2,1.5,1,1,2,1,2,2,1,1,1,1,1,2,1.5,3,1,1,2,2,2.5,1.5,1,1,3.5,2,2,1.5,1,1.5,2.5,2,1,1,1
"ABCF2",0.5,1,1.5,1.5,1.5,1,1.5,1.5,2,1.5,1,1,1,1,1,2,1.5,2,1.5,1.5,1,0.5,1,2.5,3,3,2,1,2,5,1.5,2.5,3,1,2,1.5,2.5,2,1,1.5,3.5,2.5,1,1,2
"ABCF3",0.5,1.5,1.5,1,4,1,0.5,1.5,1.5,1.5,2,0.5,1,1,1,1,1.5,1.5,1,2,1,1,1,1.5,2,2.5,1.5,1.5,1,2.5,5,1.5,1.5,1,1.5,1,1.5,1.5,1,2,2,1,1,1,1
"ABCG1",0.5,2,2,0.5,2,1,1,1.5,1,2.5,2,1,0.5,1,1.5,1,1,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1,3,3,2,1.5,1,1.5,1,2,1,1,2,3,1,1,1,1
"ABCG2",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,1.5,1.5,1,1,1.5,2,1.5,1.5,1.5,1,1.5,1.5,2,1,1,1,2,2,1,1,1
"ABHD1",1,2,1,1,2,1,1,2.5,2,2.5,2,1,1,1,2,1,1.5,1.5,1,1,1,1,1,2,2,2,2,1,1.5,2.5,3.5,1.5,2.5,1,1.5,1,3,2,1,2.5,2,1.5,1,1,1
"ABHD10",0.5,1.5,1.5,1,4,1,1.5,1.5,1.5,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,2.5,1.5,1,1,2.5,1.5,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"ABHD11",1,2,1.5,1,1.5,1,1.5,1.5,2,1.5,2.5,1,1,1,3.5,2,1.5,2,0.5,1.5,1,0.5,1,2.5,3,3,2,1,2,5,2,2.5,3,1,2,1.5,2.5,2,1,1.5,3.5,2.5,1,1,2
"ABHD11-AS1",1,2,1.5,1,1.5,1,1.5,1.5,2,1.5,2.5,1,1,1,3.5,2,1.5,2,0.5,1.5,1,0.5,1,2.5,3,3,2,1,2,5,2,2.5,3,1,2,1.5,2.5,2,1,1.5,3.5,2.5,1,1,2
