"","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90","sample91","sample92","sample93","sample94","sample95","sample96","sample97","sample98","sample99","sample100","sample101","sample102"
"ABCD2",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABCD3",1,1,2,2,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2.5,1,1,2,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1
"ABCD4",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABCE1",1,1,2.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABCF1",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABCF2",1,1,3.5,2,1,1,1.5,0.5,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABCG1",0.5,1,2,2,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABCG2",1,1,2.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABCG4",1,1,2.5,2,0.5,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABHD1",1,1,2.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABHD10",1,1,2,2,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1
"ABHD11",1,1,3.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABHD11-AS1",1,1,3.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABHD12",1,1,2,2,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,1,1,2,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1
"ABHD12B",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABHD13",1,1,3,2,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1
"ABHD14A",1,1,2,2,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABHD14B",1,1,2,2,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABHD15",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0.5,1,1,1,1,1,1,1,1.5,1,1,1,0.5,1
"ABHD17A",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABHD17C",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABHD5",1,1,2,2,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABHD6",1,1,2,2,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABHD8",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABI2",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABI3",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1
"ABI3BP",1,1,2,2,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1
"ABITRAM",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1
"ABL1",1,1,2,2,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1
"ABL2",1,1,2.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,2.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
