,padjScreen,p_naive,p_aware
AC004593.1,1.0,1.0,1.0
AC004594.1,1.0,1.0,1.0
AC004706.1,1.0,1.0,1.0
AC004706.3,1.0,1.0,0.0
AC004765.1,1.0,1.0,1.0
AC004771.2,1.0,1.0,0.0
AC004801.6,1.0,1.0,1.0
AC004803.1,1.0,1.0,1.0
AC004812.2,1.0,1.0,1.0
AC004816.1,1.0,1.0,1.0
AC004825.2,1.0,1.0,1.0
AC004839.1,0.0,0.0,0.0
AC004846.1,1.0,1.0,1.0
AC004847.1,1.0,1.0,1.0
AC004854.2,1.0,1.0,1.0
AC004870.1,1.0,1.0,1.0
AC004870.2,1.0,1.0,1.0
AC004870.4,1.0,1.0,1.0
AC004877.1,1.0,1.0,1.0
AC004877.2,1.0,1.0,1.0
AC004890.2,1.0,1.0,0.0
AC004918.1,1.0,1.0,1.0
AC004918.3,1.0,1.0,1.0
AC004938.2,1.0,1.0,1.0
AC004943.1,0.0,0.0,0.0
AC004943.2,0.0,0.0,0.0
AC004947.1,1.0,1.0,1.0
AC004947.2,1.0,0.0,1.0
AC004951.2,1.0,1.0,0.0
AC004980.1,1.0,1.0,0.0
AC004982.1,0.0,0.0,0.0
AC004982.2,0.0,0.0,0.0
AC005005.3,1.0,1.0,1.0
AC005034.4,1.0,1.0,1.0
AC005034.5,1.0,1.0,1.0
AC005034.6,1.0,1.0,1.0
AC005041.1,1.0,1.0,1.0
AC005046.1,1.0,1.0,1.0
AC005062.1,1.0,1.0,1.0
AC005070.3,1.0,1.0,1.0
AC005076.1,1.0,1.0,1.0
AC005081.1,1.0,1.0,1.0
AC005082.1,1.0,1.0,1.0
AC005083.1,0.0,0.0,0.0
AC005099.1,1.0,1.0,0.0
AC005154.2,1.0,1.0,0.0
AC005162.2,1.0,0.0,1.0
AC005165.1,1.0,1.0,1.0
AC005208.1,1.0,1.0,1.0
AC005224.3,1.0,1.0,1.0
AC005225.2,1.0,1.0,0.0
AC005225.4,1.0,1.0,1.0
AC005229.4,1.0,0.0,1.0
AC005253.1,1.0,1.0,1.0
AC005261.1,1.0,1.0,1.0
AC005261.5,1.0,0.0,1.0
AC005280.1,0.0,0.0,0.0
AC005281.1,1.0,1.0,1.0
AC005332.2,1.0,1.0,1.0
AC005332.3,1.0,1.0,1.0
AC005332.4,1.0,1.0,0.0
AC005332.5,1.0,1.0,1.0
AC005332.6,1.0,1.0,1.0
AC005336.1,0.0,0.0,0.0
AC005383.1,1.0,1.0,1.0
AC005476.2,0.0,0.0,0.0
AC005487.1,1.0,1.0,1.0
AC005498.2,1.0,1.0,1.0
