,padjScreen,p_naive,p_aware
CLPB,4.8321262190288466e-11,1.2146643679886033e-07,1.1907953237003461e-11
CLPP,0.0006429256960281221,0.00026577389675538703,0.20209954708485933
CLPTM1,1.698558113694218e-05,0.02485190134335066,6.198204439899222e-06
CLPTM1L,2.962196080791259e-25,3.178537328205879e-26,9.190961900262549e-15
CLPX,3.202907667848643e-26,3.6490192655514254e-19,3.274064845172012e-27
CLRN3,1.7692668052874752e-12,5.847003821145511e-13,7.977780675871142e-13
CLSPN,2.2643349181084936e-28,3.297151856683479e-29,4.136552941804818e-29
CLSTN1,0.15893431472727962,,
CLSTN2,6.490861704526581e-44,2.5817128611723745e-45,6.732812519416221e-06
CLSTN3,3.824048589251663e-25,4.1369683252670444e-26,1.0898373559470381e-14
CLTA,0.114195506533268,,
CLTB,3.6616401724748643e-06,0.4854078450517734,1.2693717739096199e-06
CLTC,1.8675525440442345e-13,2.970463388310157e-07,3.964701260517388e-14
CLU,0.0002567592551900829,0.0026304005794414503,0.00010257656869018101
CLUAP1,3.041861701855518e-08,0.1290073958652351,9.076634695744525e-09
CLUH,0.0014044531894862736,0.004611358178661987,0.0005993503342904122
CLUL1,7.51355519612353e-103,9.892287241481367e-102,1.7867272438498197e-105
CLYBL,2.0331255812688162e-18,2.3738203727954088e-17,3.186982962103571e-19
CMA1,0.47158728528388155,,
CMAHP,0.13458251436181096,,
CMAS,2.7557525862215998e-08,8.19238976541088e-09,0.3826053611164595
CMBL,0.06509630601624578,,
CMC1,1.0553551767693028e-06,3.514527321686293e-07,0.0037496936003882718
CMC2,7.908082619499359e-10,0.00017808150774434553,2.1121366016442518e-10
CMIP,2.716684967575384e-15,5.115134247373028e-16,6.574021720337432e-08
CMKLR1,1.1041496663940094e-05,3.968363824785037e-06,0.0007007025051353973
CMPK1,0.021915852693691163,0.01051743898245678,0.052869980077518204
CMPK2,2.1219811940773814e-15,3.962902529691063e-16,8.24187953100327e-11
CMSS1,0.7941628424686283,,
CMTM1,7.125532717522351e-05,2.7287693865135434e-05,0.06435209544511099
CMTM2,3.277231503150627e-05,1.2226898301382542e-05,0.003766059294748247
CMTM3,1.786325817190645e-25,1.8964218640381497e-26,1.5455340759876932e-16
CMTM4,2.7763632247438127e-64,7.094822070218017e-54,4.2326470427392805e-66
CMTM5,1.1504369921027985e-08,3.331987522570194e-09,2.9270834791663723e-06
CMTM6,2.1153631066773112e-07,0.00013326854766474764,6.686912367970756e-08
CMTM7,2.7959038669890817e-26,4.7388796413716345e-08,2.848911100378477e-27
CMTM8,0.00014874662005503016,0.06660012237751672,5.839290892837216e-05
CMTR1,0.7402256918480515,,
CMTR2,1.693907319114852e-14,1.5901136618212094e-06,3.3659634655679843e-15
CMYA5,0.7375874518807728,,
CNBD2,3.3957558749174553e-12,4.116943773325564e-08,7.789729907866545e-13
CNBP,0.2409862467731876,,
CNDP1,8.05780900619657e-06,2.863202183842341e-06,0.0077344789845573084
CNDP2,4.1173262736519956e-22,5.2107018610782477e-23,1.1827888652842323e-21
CNEP1R1,2.5543190982267806e-20,3.611227078736148e-21,1.066375114759365e-08
CNFN,0.0006042974565114085,0.00024917575101053514,0.011017813452635373
CNGA1,8.755458404201855e-36,4.3675129743394634e-35,5.3249204640839345e-37
CNGA3,2.022901470275204e-24,2.388969672877772e-24,2.2793720065417714e-25
CNGA4,0.02947065836695424,0.1724234504093934,0.014342681477695495
CNGB1,4.332257328490514e-15,3.8862945789030895e-12,8.272751469024495e-16
CNIH1,4.973588852527462e-07,0.6805635702486449,1.6135243788624988e-07
CNIH3,0.0002362833810668203,0.03122854846634008,9.411781899001186e-05
CNIH4,1.5053516864896595e-15,2.781404249713124e-16,1.6534264682165074e-08
CNKSR1,9.519295441772347e-41,1.476219634564403e-41,4.518083737918532e-42
