"","TCGA.CZ.5467..01A","TCGA.CJ.5677..01A","TCGA.B0.5697..01A","TCGA.CZ.5457..01A","TCGA.B0.5709..01A","TCGA.CJ.5679..01A","TCGA.CW.5587..01A","TCGA.CW.5580..01A","TCGA.B0.5691..01A","TCGA.CZ.4864..01A","TCGA.B0.5703..01A","TCGA.B0.4700..01A","TCGA.B0.5696..01A","TCGA.CW.5585..01A","TCGA.CZ.5461..01A","TCGA.CZ.5466..01A","TCGA.CZ.5453..01A","TCGA.CZ.5468..01A","TCGA.CZ.5986..01A","TCGA.CZ.5982..01A","TCGA.B2.5641..01A","TCGA.B8.5549..01A","TCGA.B8.4622..01A","TCGA.CZ.5452..01A","TCGA.CJ.5672..01A","TCGA.CW.5591..01A","TCGA.CZ.5988..01A","TCGA.CJ.6030..01A","TCGA.CW.5584..01A","TCGA.CZ.5984..01A","TCGA.CZ.5989..01A","TCGA.CZ.4865..01A","TCGA.CZ.5985..01A","TCGA.CZ.5469..01A","TCGA.B0.5694..01A","TCGA.B0.4712..01A","TCGA.CJ.5689..01A","TCGA.A3.3358..01A","TCGA.B0.5690..01A","TCGA.CZ.5465..01A","TCGA.B0.5712..01A","TCGA.CZ.5454..01A","TCGA.CZ.5463..01A","TCGA.B0.5699..01A","TCGA.B8.5552..01A","TCGA.B0.5402..01A","TCGA.CJ.5681..01A","TCGA.CJ.5676..01A","TCGA.B0.5706..01A","TCGA.CW.6090..01A","TCGA.CW.5589..01A","TCGA.CZ.5455..01A","TCGA.CJ.5680..01A","TCGA.B0.5705..01A","TCGA.CW.6088..01A","TCGA.CZ.5470..01A","TCGA.CZ.5462..01A","TCGA.CZ.5458..01A","TCGA.CJ.6033..01A","TCGA.CJ.5678..01A","TCGA.A3.3387..01A","TCGA.B0.5711..01A","TCGA.B0.5701..01A","TCGA.CZ.5451..01A","TCGA.CZ.5456..01A","TCGA.B8.4620..01A","TCGA.CW.5581..01A","TCGA.B8.4619..01A","TCGA.CZ.4863..01A","TCGA.CZ.5987..01A"
"BIRC3",1,1,1,1.5,1,1.5,1,1,1,1,1,1,1,1,2.5,1,1,1,1,1,0.5,2,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1.5,1,1,1,2.5,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1,1,1,1
"BIRC5",1,1,1,1.5,1,1.5,1,1,1,1,1,1,1.5,1,2.5,1,1,2.5,1,1,1,2,1,1,1,1,1,1,1,1.5,1,2,1,3,1,1,1,1,1,2.5,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BIRC6",1,1,1,2,1,1.5,1.5,1,1,1,1,1,1,1,3,1,1,1.5,1,1,1,2,1,1,1.5,2,1,1,1,2,1,2,1,3,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
"BIVM",1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,3,0.5,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1.5,1,1.5,2.5,1,1,1,1,1,2,1,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BLACAT1",1,1,1,1,1,2,1.5,1,1,1,1,1,1,1.5,2.5,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1.5,1.5,1,0.5,1,1
"BLCAP",1,1,1,1.5,1,2,1,1,1,1,1,1,1,1,3,1,1,2.5,1,1,1,2,1.5,1,1,2,1,1,1,2,1,2,1,3,1,2,1,1.5,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1
"BLK",1,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1,2.5,0.5,0.5,1,0.5,1,1,1.5,1,1,0.5,2,0.5,0.5,1,1.5,1,1.5,1,3,1,1,0.5,1,1,1.5,0.5,1,0.5,1,1,2,1,1,1,1.5,1,1,1,1,0.5,0.5,0.5,1,0.5,1,1,1,1,1,2.5,1.5,1,1,1,1
"BLM",1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1,1,2,1,1.5,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"BLMH",1,1,1,1.5,1,1.5,1,1,1,1,1,1,1,1,2.5,1,1,1.5,1,1,1,2,1,1,1,1,1,1,1,1.5,1,2,1,3,1,1,1,1,1,2.5,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BLNK",1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,2.5,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0.5,0.5,2,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BLOC1S1",1,1,1.5,1,1,2,1,1,1,1,1,1,1.5,1,3.5,1.5,1,2,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1,2,1,3,1,2,1,1.5,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,1,1,1,1.5
"BLOC1S2",1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,2.5,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0.5,0.5,2,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BLOC1S3",1,1,1,2,1,1.5,1,1,1,1,1,1,1,1,3,1,1,1.5,1,1,1,2,1,1,1,1.5,1,1,1,2,1,2,1,3.5,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1,1,1,1
"BLOC1S4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1.5,1,1,1,1.5,1,1,1,1,1,0.5,1,1.5,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BLOC1S5",1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2.5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
"BLOC1S6",1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"BLVRA",1,1,1,2,1,3,1,1,1,1,1.5,1,1,1,3,1.5,1.5,2.5,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1.5,2,1,2.5,1.5,2,1,1.5,1,3,1,1.5,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2.5,2,1,1.5,1,1
"BLVRB",1,1,1,2,1,1.5,1,1,1,1,1,1,1,1,3,1,1,1.5,1,1,1,2,1,1,1,1.5,1,1,1,2,1,2,1,3.5,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1,1,1,1
"BLZF1",1,1,1,1,1,2,1.5,1,1,1,1,1,1,1,2.5,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1,1.5,2.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1
"BMERB1",1.5,1,1.5,2,1,2,1,1,1,1,1,1,1.5,1,2.5,1,1,1.5,1,1,1,2,1,1,1.5,1.5,1,1,1,2,1,2,1,3.5,1,2,1,1.5,1,3,1,1.5,1,1,1,2.5,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2,1.5,1,1,1
"BMF",1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"BMP1",1,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1,2.5,0.5,0.5,1,0.5,1,1,1.5,1,1,0.5,2,0.5,0.5,1,1.5,1,1.5,1,3,1,0.5,0.5,1,1,1.5,0.5,1,0.5,1,1,2,1,1,1,1.5,1,1,1,1,0.5,0.5,0.5,1,0.5,1,1,1,1,1,2.5,1.5,1,1,1,1
"BMP2",1,1,1,1.5,1,2,1,1,1,1,1,1,1,1,3,1,1,2.5,1,1,1,2,1.5,1,1,2,1,1,1,2,1,2,1,3,1,2,1,1.5,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1
"BMP2K",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BMP3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BMP4",0.5,0.5,0.5,1.5,0.5,1,0.5,0.5,1,0.5,1,1,1,1,2,1,1,1,1,1,0.5,2,1,0.5,0.5,1,1,0.5,0.5,1,0.5,2,0.5,1.5,1,1,0.5,1,1,2.5,0.5,1,0.5,1,1,2,1,0.5,1,1,1,0.5,0.5,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,1.5,1,0.5,0.5,0.5
"BMP5",1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,2.5,1,1,1,1,1,1,2,1,0.5,1,1,1,1,1,1,1,2,1,2.5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
"BMP6",1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2.5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
"BMP7",1,1,1,1.5,1,2,1,1,1,1,1,1,1,1,3,1,1,2.5,1,1,1,2,1.5,1,1,2,1,1,1,2,1,2,1,3,1,2,1,1.5,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1
"BMP8A",1,1,1,1,0.5,1,1,1,1,0.5,0.5,1,1,1,2.5,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1.5,1,1,1,3,1,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,1,1.5,1.5,1,0.5,1,1
"BMP8B",1,1,1,1,0.5,1,1,1,1,0.5,0.5,1,1,1,2.5,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1.5,1,1,1,3,1,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,1,1.5,1.5,1,0.5,1,1
"BMPER",1,1,1,2,1,3,1,1,1,1,1.5,1,1,1,3,1.5,1.5,2.5,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1.5,2,1,2.5,1.5,2,1,1.5,1,3,1,1.5,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2.5,2,1,1.5,1,1
"BMPR1A",1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,2.5,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BMPR1AP1",1,1,1,1.5,1,1,1,1,1,1,1,1,1,0.5,2.5,1,1,1.5,1,0.5,0.5,2,1,0.5,1,1,1,1,0.5,1,1,2,0.5,2.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,0.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5
"BMPR2",1,1,1,2,1,1.5,1.5,1,1,1,1,1,1,1,3,1,1,1.5,1,1,1,1,1,1,1.5,2,0.5,1,1,1.5,1,2,1,3,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
"BMS1",1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,2.5,1,1,1.5,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BMS1P10",1,0.5,1,2,1,1,1,0.5,1,1,1,1,1,1,1.5,1,1,2,1,1,0.5,1,0.5,0.5,1,1,1,0.5,1,1,1,2,0.5,2,0.5,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1.5,1,1,0.5,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1,1,0.5
"BMT2",1,1.5,1,2,1,3,1,1,1,1,1.5,1,1,1,3,1.5,1,3,1,1,1,2,1.5,1,1.5,1.5,2,1,1,2,1,2,1,2.5,1.5,2,1,1.5,1,3,1,1.5,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2.5,2,1,1.5,1,1
"BNC1",1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1,1,2,1,1.5,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"BNC2",1,0.5,1,2,1,1,1,0.5,1,1,1,1,1,1,1.5,0.5,1,1,1,1,0.5,1,0.5,1,1,1,1,0.5,1,1,1,2,0.5,2,0.5,1,1,1,1,2.5,1,1,1,1,1,1.5,1,1,1,1.5,1,1,0.5,1,1,1,1.5,1,0.5,1,1,1,0.5,1,1,1,1,1,1,0.5
"BNC2-AS1",1,0.5,1,2,1,1,1,0.5,1,1,1,1,1,1,1.5,0.5,1,1,1,1,0.5,1,0.5,1,1,1,1,0.5,1,1,1,2,0.5,2,0.5,1,1,1,1,2.5,1,1,1,1,1,1.5,1,1,1,1.5,1,1,0.5,1,1,1,1.5,1,0.5,1,1,1,0.5,1,1,1,1,1,1,0.5
"BNIP1",1.5,1,1.5,2,1.5,2.5,1.5,1,1.5,1.5,1,1,2,1.5,3,1.5,1,2,1.5,1,1.5,2,1,1,1.5,2.5,1,1,1,3.5,1.5,2,1.5,3.5,1.5,2,1,1.5,1,3,1.5,1.5,1.5,1,1.5,3,1,1.5,1,2,1.5,1.5,1,1.5,1,1.5,2,1.5,1.5,1.5,2,1.5,1.5,1.5,2.5,2,1.5,1,1,1
"BNIP2",1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1,1,2,1,1.5,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"BNIP3",1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,2.5,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0.5,0.5,2,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BNIP3L",1,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1,2.5,0.5,0.5,1,0.5,1,1,1.5,1,1,0.5,2,0.5,0.5,1,1.5,1,1.5,1,3,1,0.5,0.5,1,1,1.5,0.5,1,0.5,1,1,2,1,1,1,1.5,1,1,1,1,0.5,0.5,0.5,1,0.5,1,1,1,1,1,2.5,1.5,1,1,1,1
"BNIP3P1",1,0.5,0.5,1.5,0.5,1,0.5,0.5,1,0.5,1,1,1,1,2,1,1,1,1,1,0.5,2,1,0.5,0.5,1,1,0.5,0.5,1,0.5,2,0.5,1.5,1,1,0.5,1,1,2.5,0.5,1,0.5,1,1,2,1,0.5,1,1,1,0.5,0.5,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,1.5,1,0.5,0.5,0.5
"BNIP3P11",1,1,1,2,1,3,1,1,1,1,1.5,1,1,1,3,1.5,1.5,3.5,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1.5,2,1,2.5,1.5,2,1,1.5,1,3,1,1.5,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2.5,2,1,1.5,1,1
"BNIP3P9",1,1,1,2,1,1.5,1,1,1,1,1,1,1,1,3,1,1,1.5,1,1,1,2,1,1,1,1.5,1,1,1,2,1,2,1,3.5,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1,1,1,1
"BNIP5",1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,2.5,1,1,1,1,1,1,2,1,0.5,1,1,1,1,1,1,1,2,1,2.5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
"BNIPL",1,1,1,1,1,2,1.5,1,1,1,1,1,1,1,2.5,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1.5,1,1,1,3,1,1.5,1,1,1,1.5,1,1,1.5,2.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1
"BOD1",1.5,1,1.5,2,1.5,2.5,1.5,1,1.5,1.5,1,1,2,1.5,3,1.5,1,2,1.5,1,1.5,2,1,1,1.5,2.5,1,1,1,3.5,1.5,2,1.5,3.5,1.5,2,1,1.5,1,3,1.5,1.5,1.5,1,1.5,3,1,1.5,1,2,1.5,1.5,1,1.5,1,1.5,2,1.5,1.5,1.5,2,1.5,1.5,1.5,2.5,2,1.5,1,1,1
"BOD1L1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1.5,1,1,1,1.5,1,1,1,1,1,0.5,1,1.5,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BOLA3",1,1,1,2,1,1.5,1.5,1,1,1,1,1,1,1,3,1,1,1.5,1,1,1,2,1,1,1.5,2,1,1,1,1.5,1,2,1,3,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
"BOLA3-AS1",1,1,1,2,1,1.5,1.5,1,1,1,1,1,1,1,3,1,1,1.5,1,1,1,2,1,1,1.5,2,1,1,1,1.5,1,2,1,3,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
"BORA",1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,3,0.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1.5,1,1.5,2.5,1,1,1,1,1,2,1,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BORCS5",1,1,1.5,1,1,2,1,1,1,1,1,1,1.5,1,3.5,1.5,1,2,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1,2,1,3,1,2,1.5,1.5,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,1,1,1,1.5
"BORCS6",1,0.5,1,1.5,1,1.5,1,1,1,1,1,1,1,1,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1.5,1,2,1,3,1,1,1,1,1,2.5,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BORCS7",1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,2.5,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0.5,0.5,2,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BORCS8",1,1,1,2,1,1.5,1,1,1,1,1,1,1,1,3,1,1,1.5,1,1,1,2,1,1,1,1.5,1,1,1,2,1,2,1,3.5,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1,1,1,1
"BPGM",1,1.5,1,2,1,3,1,1,1,1,1.5,1,1,1,3,1.5,1,3,1,1,1,2,1.5,1,1,1.5,2,1,1,2,1,2,1,2.5,1.5,2,1,1.5,1,3,1,1.5,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2.5,2,1,1.5,1,1
"BPHL",1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2.5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
"BPI",1,1,1,1.5,1,2,1,1,1,1,1,1,1,1,3,1,1,2.5,1,1,1,2,1.5,1,1,2,1,1,1,2,1,2,1,3,1,2,1,1.5,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1
"BPNT1",1,1,1,1,1,2,1.5,1,1,1,0.5,1,1,0.5,2.5,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1.5,1.5,1,0.5,1,1
"BPNT2",1,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1,2.5,2.5,0.5,2.5,0.5,1,1,1.5,1,1,0.5,2,0.5,0.5,1,1.5,1,1.5,1,3,1,1.5,0.5,1,1,3.5,1,1,0.5,1,1,2,1,1,1,1.5,1,1,1,1,0.5,1.5,1.5,1,1,1,1,1,1,1,2.5,1.5,1,1,1,1
"BPTF",1,1,1,1.5,1,1.5,1,1,1,1,1,1,1.5,1,2.5,1,1,2.5,1,1,1,2,1,1,1,1,1,1,1,1.5,1,2,1,3,1,1,1,1,1,2.5,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BRAF",1,1.5,1,2,1,3,1,1,1,1,1.5,1,1,1,3,1.5,1,3,1,1,1,2,1.5,1,1,1.5,2,1,1,2,1,2,1,2.5,1.5,2,1,1.5,1,3,1,1.5,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2.5,2,1,1.5,1,1
"BRAP",1,1,1.5,1,1,2,1,1,1,1,1,1,1.5,1,3.5,1.5,1,2,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1,2,1,3,1,2,1,1.5,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,1,1,1,1.5
"BRAT1",1,1,1,2,1,3,1,1,1,1,1.5,1,1,1,3,1.5,1.5,2.5,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1.5,2,1,2.5,1.5,2,1,1.5,1,3,1,1.5,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2.5,2,1,1.5,1,1
"BRCA1",1,1,1,1.5,1,1.5,1,1,1,1,1,1,1,1,2.5,1,1,1.5,1,1,1,2,1,1,1,1,1,1,1,1.5,1,2,1,3,1,1,1,1,1,2.5,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BRCA2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1.5,1,1.5,2.5,1,1,1,1,1,2,1,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1
"BRD2",1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,2.5,1,1,1,1,1,1,2,1,0.5,1,1,1,1,1,1,1,2,1,2.5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
"BRD3",1,0.5,1,2,1,1,1,0.5,1,1,1,1,0.5,1,1.5,0.5,1,2,1,1,0.5,1,0.5,0.5,1,1,1,0.5,1,1,1,2,0.5,2,0.5,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1.5,1,1,0.5,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,0.5
"BRD3OS",1,0.5,1,2,1,1,1,0.5,1,1,1,1,0.5,1,1.5,0.5,1,2,1,1,0.5,1,0.5,0.5,1,1,1,0.5,1,1,1,2,0.5,2,0.5,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1.5,1,1,0.5,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,0.5
"BRD4",1,1,1,2,1,1.5,1,1,1,1,1,1,1,1,3,1,1,1.5,1,1,1,2,1,1,1,1.5,1,1,1,2,1,2,1,3.5,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1,1,1,1
"BRD7",1.5,1,1.5,1,1,2,1,1,1,1,1,1,1.5,1,2.5,1,1,1.5,1,1,1,2,1,1,1.5,1.5,1,1,1,2,1,2,1,3.5,1,2,1,1.5,1,3,1,1,1,1,1,1,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2,1.5,1,1,1
"BRD7P2",1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,2.5,0.5,1,1,2,1,0.5,1,1.5,1,1,1,2,1,2,1,3.5,1,2,0.5,1,1.5,3.5,1,1,0.5,1,1,2,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1.5,1,1,0.5,2,2,1,1,1,0.5
