,padjScreen,p_naive,p_aware
MCM9,0.0002635190219993494,0.00011050903320673511,0.39987585889688565
MCMBP,9.20515389082291e-12,2.309981212463463e-12,0.05016851242352844
MCMDC2,3.547255139739918e-06,1.296105673946223e-06,0.049440604703939246
MCOLN1,0.0006852331498660167,0.6650067206906429,0.00029606022722590867
MCOLN2,4.719476789219632e-17,8.508897640603486e-18,1.4052701510629206e-12
MCOLN3,0.00020058018475589803,0.025707845936796907,8.341723140879606e-05
MCPH1,0.021760227294391227,0.010584858078042096,0.20773860196313085
MCPH1-AS1,0.08706135880316677,,
MCRIP1,0.0006975754437228111,0.19904583438048604,0.00030158349886793596
MCRIP2,6.5394552668278e-27,6.820599839680983e-28,6.612977198251374e-06
MCRS1,5.958825278495022e-06,2.2117548300099814e-06,0.08151731007629288
MCTP1,1.040300026250222e-20,3.0092516694948925e-16,1.5281345564525502e-21
MCTP2,1.1673315625088713e-12,2.4918830729781035e-06,2.7637096908603426e-13
MCTS1,2.3032925930590054e-16,4.327259444216223e-17,2.534037847967046e-05
MCU,1.0603319610691214e-34,1.868585159115085e-20,7.372785355545232e-36
MCUB,1.7099590884415482e-11,4.360735627631005e-12,6.278276984625986e-05
MCUR1,6.7799618519708335e-09,2.0521852722913705e-09,0.463907185393954
MDC1,5.20822758949968e-08,1.6750716069409755e-08,0.06404318826465395
MDFI,9.636292487974521e-06,0.3170139701990353,3.63923302534167e-06
MDFIC,6.130278365328844e-31,2.6492535517941055e-18,5.172041513491905e-32
MDGA1,0.15571466880735652,,
MDH1,2.6056357549984816e-17,8.718762333379445e-06,4.631737712600432e-18
MDH1B,0.0003721065518130127,0.0001577384085692438,0.26665072241699367
MDH2,6.095516362833491e-07,2.11055739272761e-07,0.7276448813811038
MDK,1.9407278012546297e-14,4.095109284406824e-15,3.937233725617548e-08
MDM1,2.1696051398937323e-09,0.2783711683611176,6.357309692963966e-10
MDM2,1.8991815322225782e-11,4.852729750077672e-12,0.41116718790887463
MDM4,1.2239362596980143e-12,4.5917852482366525e-05,2.9028945483493657e-13
MDN1,4.931366938865585e-16,2.3197841536743582e-11,9.43871475227205e-17
ME1,9.25420322434004e-12,7.789416588734879e-09,2.3234397409420337e-12
ME2,7.341192620741311e-08,2.3824213328593634e-08,1.819445616688718e-06
ME3,3.717053398206936e-28,6.675840939431999e-20,3.613596643584874e-29
MEA1,5.640017575435641e-15,1.15645589003279e-15,0.03594928669520249
MEAF6,6.673674837722673e-33,5.064960972764672e-34,4.758125891483804e-12
MEAK7,6.139614016237812e-06,2.2808421950481874e-06,0.00012961920367045402
MECOM,1.2101032812726224e-32,3.7212595578828975e-17,9.295301298244721e-34
MECP2,6.586846067640819e-25,1.3499422820008854e-12,7.668830473881023e-26
MECR,5.871332287675489e-10,6.797117670536469e-05,1.6525524227190007e-10
MED1,3.339749422501889e-10,9.251537478287414e-11,0.8932596571121882
MED10,1.3286244072882135e-10,0.0779795580404358,3.591974385409661e-11
MED11,0.06250442293311134,,
MED12,1.561887787575433e-07,0.19833161594331938,5.183262802008532e-08
MED12L,1.6229163485889825e-14,3.409576245271187e-15,1.399712841978437e-06
MED13,1.0108163025827028e-08,3.095750525106667e-09,0.05269103365079305
MED13L,0.08096163018584338,,
MED14,4.242304394798866e-23,5.444150073245862e-24,5.2423253561780264e-11
MED14OS,1.9605912819730603e-09,1.1566832241269186e-06,5.724400340929793e-10
MED15,0.20476755274356803,,
MED16,0.12578313193192034,,
MED17,0.0007516921774859224,0.0623598921997947,0.0003258951721774205
MED18,8.762731999156396e-09,2.673678516044787e-09,0.0006066474834320296
MED19,4.912513613231025e-14,1.0652732054933878e-14,0.06650254313425706
MED20,1.4894250114631482e-28,1.4176187360596067e-29,0.02135046227127469
MED21,7.923349151559271e-06,2.9708621272049275e-06,0.0035615233846210442
MED22,0.015172928354872717,0.01456058154452696,0.013473667624330696
MED23,0.1387331208382024,,
MED24,6.23466031407418e-09,1.8826381082583337e-09,0.875200010559437
MED25,1.688899418569349e-25,1.9075665649596648e-26,1.6180342516606851e-06
MED26,1.4020546593961147e-09,4.051812533329378e-10,0.27264698301791707
MED27,5.443965267130649e-06,2.0141589189125526e-06,0.3579557212717969
MED28,4.2383405565960985e-09,0.012065781504573384,1.2657092064765236e-09
MED29,4.025785301123169e-19,6.469869170567477e-20,0.7973249356956247
MED30,2.689728129551029e-14,8.61804308175484e-05,5.740403870920536e-15
MED31,0.3371634414903101,,
MED4,0.2701698721109158,,
MED6,9.13623000975742e-08,2.982216232061722e-08,0.9536623404565183
MED7,4.2987554229331423e-13,0.06247710147307476,9.861285116574511e-14
MED8,8.001128074937762e-18,1.3805127292319305e-18,0.013521079596923473
MED8-AS1,0.11757380262768155,,
MED9,7.38937577620901e-05,0.0004889131051740068,2.9799898135268346e-05
MEDAG,5.0253862926074484e-51,1.1340451782021647e-47,1.6672193590037134e-52
MEF2A,2.138835188737476e-15,0.001031346117484192,4.268634542930087e-16
MEF2C,7.3727791339818456e-34,1.4201016224312748e-19,5.344531991507217e-35
MEF2C-AS1,1.5324123622291062e-69,2.7259145627259844e-63,2.3648809069191728e-71
