"","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64"
"SLC35A5",1,0.5,1,1.5,1.5,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"SLC35B1",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"SLC35B3",1,0.5,1,1,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1
"SLC35B4",1.5,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"SLC35C1",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1.5
"SLC35C2",2.5,1.5,1,1.5,3,3.5,1,1,1.5,1,3.5,1,1,2.5,1,1.5,2,1,1,1,1.5,1.5,1,2,1.5,2.5,1.5,1.5,2,3.5,1.5,1.5
"SLC35D3",1,0.5,1,1.5,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,2,1,1,3.5,1.5,1,1
"SLC35E1",1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"SLC35E1P1",1,1,1,2,2.5,1,1,1,1,0.5,1,1,1,1.5,1,0.5,2,1,1,1,1,0.5,1,1.5,1.5,1.5,1,1,2,1,1.5,1
"SLC35E3",1,0.5,1,1,1,1,1,1,1,1,1.5,3.5,1,1,1,1,2,1,1,1,1.5,1,1,2,1,1.5,1,1,1,2,1,1.5
"SLC35E4",1,0.5,1,0.5,1.5,1,1,1,1,1,1.5,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
"SLC35F1",1,0.5,1,1.5,2,2,1,1,0.5,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,2,1,1,1.5,1.5,1,1
"SLC35F2",1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,0.5,1,1,1,1,0.5,1,1.5,1,1.5,0.5,1,1,1,1,1.5
"SLC35F3",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,2,1,1,1,1,1,0.5,1.5,2,2.5,1,1,1.5,2,1,1
"SLC35F6",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1.5,1,1,1.5,1.5,1,1
"SLC35G2",1.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"SLC36A1",0.5,1,1,1.5,1.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1
"SLC36A4",1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,0.5,1,1,1,1,0.5,1,1.5,1,1.5,2,1,1.5,1,1,1.5
"SLC37A1",1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,0.5,1,1.5,1,1,0.5,1,0.5,1,1
"SLC37A2",1,1,1,1,2,1.5,1,1,1,2,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1.5,1,1.5,0.5,1,1,1,1,1.5
"SLC37A3",1.5,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"SLC37A4",1,1,1,1,2,1.5,1,1,1,2,1.5,1,1,1.5,1,1,0.5,1,1,1,1,0.5,1,2.5,1,1.5,0.5,1,1,1,1,1.5
"SLC38A1",1,0.5,1,1,2,1,1,1,0.5,1,1.5,1,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,1,1,0.5,2,1,1.5
"SLC38A10",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1,0.5,2.5,1,1,1,0.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"SLC38A11",1.5,1,1,1,1,2,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"SLC38A2",1,0.5,1,1,1.5,1,1,1,0.5,1,1.5,1,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,1,1,0.5,2,1,1.5
"SLC38A4",1,0.5,1,1,1.5,1,1,1,0.5,1,1.5,1,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,1,1,0.5,2,1,1.5
"SLC38A9",0.5,1,1,1.5,1,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1
"SLC39A1",1.5,0.5,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1.5,3,2.5,1,1,1.5,2,1,1
